original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
CHOLANGIO EXTRAHEPATIC,Extrahepatic Bile Duct Adenocarcinoma,3,2,Extrahepatic Bile Duct Carcinoma,0.7303,Extrahepatic Bile Duct Undifferentiated Carcinoma,0.7004,Extrahepatic Bile Duct Adenocarcinoma,0.6970,Benign Extrahepatic Bile Duct Neoplasm,0.6889,Cholangiocarcinoma,0.6865,Distal Cholangiocarcinoma,0.6848,Extrahepatic Bile Duct Lymphoma,0.6801,Extrahepatic Bile Duct Neuroendocrine Carcinoma,0.6748,Metastatic Cholangiocarcinoma,0.6721,Unresectable Extrahepatic Bile Duct Carcinoma,0.6711,Metastatic Extrahepatic Bile Duct Carcinoma,0.6683,Malignant Extrahepatic Bile Duct Neoplasm,0.6648,Advanced Extrahepatic Bile Duct Carcinoma,0.6628,Extrahepatic Bile Duct Carcinosarcoma,0.6614,Extrahepatic Bile Duct Neoplasm,0.6568,Localized Extrahepatic Bile Duct Carcinoma,0.6553,Extrahepatic Bile Duct Adenoma,0.6538,Unresectable Cholangiocarcinoma,0.6529,Hilar Cholangiocarcinoma,0.6514,"Extrahepatic Bile Duct Adenocarcinoma, Biliary Type",0.6487,CHOLANGIO EXTRAHEPATIC,False,True,True
CHOLANGIO INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,1,2,Intrahepatic Cholangiocarcinoma,0.8354,Unresectable Intrahepatic Cholangiocarcinoma,0.7567,Small Duct Intrahepatic Cholangiocarcinoma,0.7537,Advanced Intrahepatic Cholangiocarcinoma,0.7502,Metastatic Intrahepatic Cholangiocarcinoma,0.7455,Clear Cell Intrahepatic Cholangiocarcinoma,0.7427,Cholangiocarcinoma,0.7378,Large Duct Intrahepatic Cholangiocarcinoma,0.7349,Mucin-Producing Intrahepatic Cholangiocarcinoma,0.7237,Stage I Intrahepatic Cholangiocarcinoma AJCC v8,0.7208,Unresectable Cholangiocarcinoma,0.7207,Locally Advanced Intrahepatic Cholangiocarcinoma,0.7160,Stage I Intrahepatic Cholangiocarcinoma AJCC v7,0.7124,Hilar Cholangiocarcinoma,0.7123,Liver and Intrahepatic Bile Duct Carcinoma,0.7050,Stage IA Intrahepatic Cholangiocarcinoma AJCC v8,0.6929,Stage 0 Intrahepatic Cholangiocarcinoma AJCC v7,0.6928,Cholangiolocellular Carcinoma,0.6882,Stage I Intrahepatic Bile Duct Cancer AJCC v8,0.6882,Intrahepatic Bile Duct Adenoma,0.6848,CHOLANGIO INTRAHEPATIC,True,True,True
CHOLANGIOCARCINOMA,Cholangiocarcinoma,1,2,Cholangiocarcinoma,1.0000,Intrahepatic Cholangiocarcinoma,0.9069,Advanced Cholangiocarcinoma,0.8789,Adult Cholangiocarcinoma,0.8763,Distal Cholangiocarcinoma,0.8687,Hilar Cholangiocarcinoma,0.8482,Advanced Intrahepatic Cholangiocarcinoma,0.8456,Unresectable Cholangiocarcinoma,0.8435,Metastatic Cholangiocarcinoma,0.8355,Clear Cell Intrahepatic Cholangiocarcinoma,0.8147,Small Duct Intrahepatic Cholangiocarcinoma,0.8052,Metastatic Intrahepatic Cholangiocarcinoma,0.8052,Locally Advanced Cholangiocarcinoma,0.8033,Large Duct Intrahepatic Cholangiocarcinoma,0.8029,Mucin-Producing Intrahepatic Cholangiocarcinoma,0.7998,Advanced Hilar Cholangiocarcinoma,0.7893,Unresectable Intrahepatic Cholangiocarcinoma,0.7881,Combined Hepatocellular Carcinoma and Cholangiocarcinoma,0.7834,Advanced Distal Cholangiocarcinoma,0.7717,Locally Advanced Intrahepatic Cholangiocarcinoma,0.7687,CHOLANGIOCARCINOMA,True,True,True
"CHOLANGIOCARCINOMA, INTRAHEPATIC",Intrahepatic Cholangiocarcinoma,1,2,Intrahepatic Cholangiocarcinoma,0.9705,Clear Cell Intrahepatic Cholangiocarcinoma,0.8924,Advanced Intrahepatic Cholangiocarcinoma,0.8818,Small Duct Intrahepatic Cholangiocarcinoma,0.8698,Cholangiocarcinoma,0.8692,Unresectable Intrahepatic Cholangiocarcinoma,0.8663,Large Duct Intrahepatic Cholangiocarcinoma,0.8557,Mucin-Producing Intrahepatic Cholangiocarcinoma,0.8500,Metastatic Intrahepatic Cholangiocarcinoma,0.8468,Locally Advanced Intrahepatic Cholangiocarcinoma,0.8412,Hilar Cholangiocarcinoma,0.8258,Sarcomatoid Intrahepatic Cholangiocarcinoma,0.8211,Unresectable Cholangiocarcinoma,0.8166,Stage 0 Intrahepatic Cholangiocarcinoma AJCC v7,0.8023,Oligometastatic Intrahepatic Cholangiocarcinoma,0.7943,Signet Ring Cell Intrahepatic Cholangiocarcinoma,0.7803,Unresectable Hilar Cholangiocarcinoma,0.7795,Stage I Intrahepatic Cholangiocarcinoma AJCC v7,0.7783,Advanced Cholangiocarcinoma,0.7716,Distal Cholangiocarcinoma,0.7709,"CHOLANGIOCARCINOMA, INTRAHEPATIC",True,True,True
CHOLANGIOCARCINOMA; DISTAL,Distal Cholangiocarcinoma,1,2,Distal Cholangiocarcinoma,0.9586,Advanced Distal Cholangiocarcinoma,0.8977,Metastatic Distal Cholangiocarcinoma,0.8730,Unresectable Distal Cholangiocarcinoma,0.8259,Cholangiocarcinoma,0.8213,Advanced Cholangiocarcinoma,0.8173,Metastatic Cholangiocarcinoma,0.8131,Hilar Cholangiocarcinoma,0.7984,Distal Bile Duct Carcinoma,0.7935,Adult Cholangiocarcinoma,0.7879,Advanced Hilar Cholangiocarcinoma,0.7877,Large Duct Intrahepatic Cholangiocarcinoma,0.7862,Advanced Intrahepatic Cholangiocarcinoma,0.7855,Recurrent Distal Cholangiocarcinoma,0.7833,Metastatic Intrahepatic Cholangiocarcinoma,0.7734,Intrahepatic Cholangiocarcinoma,0.7725,Refractory Distal Cholangiocarcinoma,0.7677,Small Duct Intrahepatic Cholangiocarcinoma,0.7647,Metastatic Hilar Cholangiocarcinoma,0.7597,Unresectable Cholangiocarcinoma,0.7377,CHOLANGIOCARCINOMA; DISTAL,True,True,True
CHOLANGIOCARCINOMA; HILAR/PERIHILAR,Hilar Cholangiocarcinoma,1,2,Hilar Cholangiocarcinoma,0.8533,Advanced Hilar Cholangiocarcinoma,0.8190,Unresectable Hilar Cholangiocarcinoma,0.7774,Metastatic Hilar Cholangiocarcinoma,0.7571,Cholangiocarcinoma,0.7506,Hilar Cholangiocarcinoma by AJCC v7 Stage,0.7487,Intrahepatic Cholangiocarcinoma,0.7409,Locally Advanced Cholangiocarcinoma,0.7385,Advanced Cholangiocarcinoma,0.7356,Advanced Intrahepatic Cholangiocarcinoma,0.7345,Combined Hepatocellular Carcinoma and Cholangiocarcinoma,0.7333,Hilar Cholangiocarcinoma by AJCC v8 Stage,0.7278,Stage 0 Hilar Cholangiocarcinoma AJCC v7,0.7273,Distal Cholangiocarcinoma,0.7264,Unresectable Cholangiocarcinoma,0.7150,Large Duct Intrahepatic Cholangiocarcinoma,0.7121,Clear Cell Intrahepatic Cholangiocarcinoma,0.7106,Adult Cholangiocarcinoma,0.7073,Locally Advanced Intrahepatic Cholangiocarcinoma,0.7073,Cholangiolocellular Carcinoma,0.7053,CHOLANGIOCARCINOMA; HILAR/PERIHILAR,True,True,True
CHOLANGIOCARCINOMA; INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,1,2,Intrahepatic Cholangiocarcinoma,0.9673,Advanced Intrahepatic Cholangiocarcinoma,0.8889,Clear Cell Intrahepatic Cholangiocarcinoma,0.8836,Cholangiocarcinoma,0.8720,Unresectable Intrahepatic Cholangiocarcinoma,0.8707,Small Duct Intrahepatic Cholangiocarcinoma,0.8662,Large Duct Intrahepatic Cholangiocarcinoma,0.8556,Metastatic Intrahepatic Cholangiocarcinoma,0.8518,Mucin-Producing Intrahepatic Cholangiocarcinoma,0.8498,Hilar Cholangiocarcinoma,0.8403,Locally Advanced Intrahepatic Cholangiocarcinoma,0.8380,Unresectable Cholangiocarcinoma,0.8296,Sarcomatoid Intrahepatic Cholangiocarcinoma,0.8077,Stage 0 Intrahepatic Cholangiocarcinoma AJCC v7,0.7996,Unresectable Hilar Cholangiocarcinoma,0.7967,Advanced Cholangiocarcinoma,0.7939,Oligometastatic Intrahepatic Cholangiocarcinoma,0.7914,Distal Cholangiocarcinoma,0.7855,Advanced Hilar Cholangiocarcinoma,0.7823,Locally Advanced Cholangiocarcinoma,0.7805,CHOLANGIOCARCINOMA; INTRAHEPATIC,True,True,True
CHONDROBLASTIC OSTEOSARCOMA,Chondroblastic Osteosarcoma,1,2,Chondroblastic Osteosarcoma,1.0000,Chondroblastoma,0.7750,Conventional Osteosarcoma,0.7706,Fibroblastic Osteosarcoma,0.7595,Osteoblastic Osteosarcoma,0.7481,Metastasizing Chondroblastoma,0.7442,Osteosarcoma,0.7425,Mixed Osteosarcoma,0.7309,Giant Cell-Rich Osteosarcoma,0.7296,Small Cell Osteosarcoma,0.7288,Cardiac Extraskeletal Osteosarcoma,0.7268,Bone Osteosarcoma,0.7205,Childhood Conventional Osteosarcoma,0.7149,Chondrosarcoma,0.7107,Extraskeletal Osteosarcoma,0.7059,Mesenchymal Chondrosarcoma of Bone,0.7024,Metastatic Osteosarcoma,0.6965,Childhood Chondroblastoma,0.6956,Clear Cell Chondrosarcoma,0.6943,Secondary Osteosarcoma,0.6915,CHONDROBLASTIC OSTEOSARCOMA,True,True,True
CHONDROBLASTOMA,Chondroblastoma,1,2,Chondroblastoma,1.0000,Childhood Chondroblastoma,0.8773,Maxillofacial Chondroblastoma,0.8227,Chondroma,0.8185,Metastasizing Chondroblastoma,0.8091,Chondroblastic Osteosarcoma,0.7750,Mediastinal Chondroma,0.7724,Soft Tissue Chondroma,0.7638,Chondrogenic Neoplasm,0.7637,Chondroid Chordoma,0.7631,Lung Chondroma,0.7546,Chondrosarcoma,0.7533,Mesenchymal Chondrosarcoma,0.7498,Chondromatosis,0.7489,Mesenchymal Chondrosarcoma of Bone,0.7451,Maxillofacial Chondroma,0.7449,Benign Chondrogenic Neoplasm,0.7285,Chondroid Lipoma,0.7280,Laryngeal Chondroma,0.7262,Central Nervous System Chondroma,0.7152,CHONDROBLASTOMA,True,True,True
CHONDROSARCOMA,Chondrosarcoma,1,2,Chondrosarcoma,1.0000,Mesenchymal Chondrosarcoma,0.9335,Mesenchymal Chondrosarcoma of Bone,0.9102,Synovial Chondrosarcoma,0.8977,Localized Chondrosarcoma,0.8650,Chondrosarcoma NCI Grade 1,0.8597,Secondary Chondrosarcoma,0.8537,"Chondrosarcoma, Grade 1",0.8535,Adult Mesenchymal Chondrosarcoma,0.8486,Childhood Chondrosarcoma,0.8412,Chondrosarcoma NCI Grade 2,0.8394,Clear Cell Chondrosarcoma,0.8378,Chondrosarcoma NCI Grade 3,0.8286,Mesenchymal Extraskeletal Chondrosarcoma,0.8257,"Chondrosarcoma, Grade 2",0.8248,"Chondrosarcoma, Grade 3",0.8172,Central Nervous System Mesenchymal Chondrosarcoma,0.8155,Childhood Mesenchymal Chondrosarcoma,0.8115,Primary Central Chondrosarcoma,0.8113,Periosteal Chondrosarcoma,0.7945,CHONDROSARCOMA,True,True,True
CHORDOMA,Chordoma,1,2,Chordoma,1.0000,Conventional Chordoma,0.9517,Spinal Chordoma,0.9364,Thoracic Chordoma,0.8896,Childhood Chordoma,0.8856,Advanced Chordoma,0.8776,Chondroid Chordoma,0.8721,Poorly Differentiated Chordoma,0.8480,Chordoid Glioma,0.8247,Metastatic Chordoma,0.8166,Sacral Chordoma,0.8084,Skull Base Chordoma,0.8045,Dedifferentiated Chordoma,0.8034,Chordoid Meningioma,0.8027,Sellar Chordoma,0.7921,Refractory Chordoma,0.7881,Unresectable Chordoma,0.7838,Clivus Chordoma,0.7719,Recurrent Chordoma,0.7645,Locally Advanced Chordoma,0.7612,CHORDOMA,True,True,True
"CHORDOMA, SACRAL",Sacral Chordoma,1,2,Sacral Chordoma,0.9750,Spinal Chordoma,0.8300,Chordoma,0.7792,Conventional Chordoma,0.7701,Thoracic Chordoma,0.7500,Advanced Chordoma,0.7426,Childhood Chordoma,0.7414,Skull Base Chordoma,0.7244,Sacral Spinal Cord Meningioma,0.7061,Sellar Chordoma,0.6992,Chondroid Chordoma,0.6956,Clivus Chordoma,0.6948,Unresectable Chordoma,0.6825,Locally Advanced Chordoma,0.6812,Poorly Differentiated Chordoma,0.6805,Chordoid Glioma,0.6741,Chordoid Meningioma,0.6688,Sacral Spine Neoplasm,0.6682,Metastatic Chordoma,0.6653,Clivus Chondroid Chordoma,0.6651,"CHORDOMA, SACRAL",True,True,True
CHORDOMA_SACRAL,Sacral Chordoma,1,2,Sacral Chordoma,0.9601,Spinal Chordoma,0.8345,Chordoma,0.7887,Conventional Chordoma,0.7793,Advanced Chordoma,0.7529,Thoracic Chordoma,0.7492,Childhood Chordoma,0.7416,Skull Base Chordoma,0.7323,Unresectable Chordoma,0.7167,Sacral Spinal Cord Meningioma,0.7102,Sellar Chordoma,0.6955,Metastatic Chordoma,0.6949,Locally Advanced Chordoma,0.6930,Clivus Chordoma,0.6922,Chondroid Chordoma,0.6906,Chordoid Meningioma,0.6842,Chordoid Glioma,0.6803,Refractory Chordoma,0.6787,Poorly Differentiated Chordoma,0.6748,Sacral Spine Neoplasm,0.6685,CHORDOMA_SACRAL,True,True,True
CHORIOCARCINOMA,Choriocarcinoma,1,2,Choriocarcinoma,1.0000,Placental Choriocarcinoma,0.9251,Gestational Choriocarcinoma,0.9066,Central Nervous System Choriocarcinoma,0.9014,Ovarian Choriocarcinoma,0.8879,Childhood Choriocarcinoma,0.8792,Testicular Choriocarcinoma,0.8783,Gastric Choriocarcinoma,0.8546,Uterine Corpus Choriocarcinoma,0.8508,Mediastinal Choriocarcinoma,0.8375,Childhood Central Nervous System Choriocarcinoma,0.8217,Ovarian Gestational Choriocarcinoma,0.8153,Pineal Region Choriocarcinoma,0.8104,Childhood Ovarian Choriocarcinoma,0.8060,Breast Carcinoma with Choriocarcinomatous Features,0.8048,Non-Gestational Ovarian Choriocarcinoma,0.7929,Adult Central Nervous System Choriocarcinoma,0.7924,Childhood Testicular Choriocarcinoma,0.7856,Pulmonary Artery Choriocarcinoma,0.7803,Sellar Choriocarcinoma,0.7599,CHORIOCARCINOMA,True,True,True
CHOROID PLEXUS PAPILLOMA,Choroid Plexus Papilloma,1,2,Choroid Plexus Papilloma,1.0000,Childhood Choroid Plexus Papilloma,0.9078,Atypical Choroid Plexus Papilloma,0.8993,Childhood Atypical Choroid Plexus Papilloma,0.8496,Choroid Plexus Neoplasm,0.8242,Adult Choroid Plexus Neoplasm,0.7889,Choroid Plexus Carcinoma,0.7849,Childhood Choroid Plexus Neoplasm,0.7668,Choroid Plexus Meningioma,0.7638,Benign Choroid Plexus Neoplasm,0.7541,Malignant Choroid Plexus Neoplasm,0.7267,Papilloma,0.7217,Breast Central Papilloma,0.7193,Eyelid Papilloma,0.7186,Childhood Choroid Plexus Carcinoma,0.7164,Skin Papilloma,0.6954,Nasal Cavity Papilloma,0.6927,Conjunctival Squamous Papilloma,0.6904,Middle Ear Papilloma,0.6900,Papillary Ependymoma,0.6870,CHOROID PLEXUS PAPILLOMA,True,True,True
CHOROID PLEXUS TUMOR,Choroid Plexus Neoplasm,1,2,Choroid Plexus Neoplasm,0.9735,Childhood Choroid Plexus Neoplasm,0.8912,Choroid Plexus Carcinoma,0.8758,Adult Choroid Plexus Neoplasm,0.8591,Malignant Choroid Plexus Neoplasm,0.8392,Choroid Plexus Papilloma,0.8288,Benign Choroid Plexus Neoplasm,0.8188,Choroid Plexus Meningioma,0.8162,Choroid Neoplasm,0.8131,Childhood Choroid Plexus Carcinoma,0.7981,Childhood Choroid Plexus Papilloma,0.7670,Atypical Choroid Plexus Papilloma,0.7473,Childhood Atypical Choroid Plexus Papilloma,0.7036,Papillary Tumor of the Pineal Region,0.6916,Nerve Plexus Neoplasm,0.6887,Recurrent Malignant Choroid Plexus Neoplasm,0.6881,Cerebral Neoplasm,0.6856,Pineal Parenchymal Cell Neoplasm,0.6839,Pineal Region Neoplasm,0.6753,Choroid Melanoma,0.6720,CHOROID PLEXUS TUMOR,True,True,True
CHROMOPHOBE,Chromophobe Renal Cell Carcinoma,3,2,Pituitary Gland Chromophobe Adenoma,0.7968,Hepatocellular Chromophobe Carcinoma,0.7674,Chromophobe Renal Cell Carcinoma,0.7377,Advanced Chromophobe Renal Cell Carcinoma,0.6857,Classic Variant of Chromophobe Renal Cell Carcinoma,0.6805,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.6671,Metastatic Chromophobe Renal Cell Carcinoma,0.6620,Melanocytoma,0.6540,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.6241,Retinocytoma,0.6123,Unresectable Chromophobe Renal Cell Carcinoma,0.6110,Clear Cell Adenofibroma,0.6070,Choroid Melanoma,0.6037,Locally Advanced Chromophobe Renal Cell Carcinoma,0.6005,Oncocytic Adenocarcinoma,0.5988,Pineocytoma,0.5983,Oncocytic Neoplasm,0.5914,Recurrent Chromophobe Renal Cell Carcinoma,0.5908,Choriocarcinoma,0.5907,Benign Choroid Neoplasm,0.5836,CHROMOPHOBE,False,True,True
CHROMOPHOBE KIDNEY RENAL CELL CARCINOMA,Chromophobe Renal Cell Carcinoma,1,2,Chromophobe Renal Cell Carcinoma,0.9849,Classic Variant of Chromophobe Renal Cell Carcinoma,0.9183,Advanced Chromophobe Renal Cell Carcinoma,0.8977,Metastatic Chromophobe Renal Cell Carcinoma,0.8538,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.8370,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.8326,Hepatocellular Chromophobe Carcinoma,0.8315,Locally Advanced Chromophobe Renal Cell Carcinoma,0.8238,Unresectable Chromophobe Renal Cell Carcinoma,0.7978,Clear Cell Renal Cell Carcinoma,0.7819,Papillary Renal Cell Carcinoma,0.7672,Recurrent Chromophobe Renal Cell Carcinoma,0.7664,Renal Cell Carcinoma,0.7487,Non-Clear Cell Renal Cell Carcinoma,0.7467,Clear Cell Papillary Renal Tumor,0.7451,Childhood Renal Cell Carcinoma,0.7201,Kidney Carcinoma,0.7181,Pituitary Gland Chromophobe Adenoma,0.7179,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.7122,Advanced Clear Cell Renal Cell Carcinoma,0.7072,CHROMOPHOBE KIDNEY RENAL CELL CARCINOMA,True,True,True
CHROMOPHOBE RENAL CELL CARCINOMA,Chromophobe Renal Cell Carcinoma,1,2,Chromophobe Renal Cell Carcinoma,1.0000,Classic Variant of Chromophobe Renal Cell Carcinoma,0.9270,Advanced Chromophobe Renal Cell Carcinoma,0.9025,Metastatic Chromophobe Renal Cell Carcinoma,0.8611,Hepatocellular Chromophobe Carcinoma,0.8594,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.8543,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.8450,Locally Advanced Chromophobe Renal Cell Carcinoma,0.8307,Unresectable Chromophobe Renal Cell Carcinoma,0.8009,Clear Cell Renal Cell Carcinoma,0.7795,Recurrent Chromophobe Renal Cell Carcinoma,0.7722,Papillary Renal Cell Carcinoma,0.7616,Renal Cell Carcinoma,0.7516,Pituitary Gland Chromophobe Adenoma,0.7463,Non-Clear Cell Renal Cell Carcinoma,0.7408,Clear Cell Papillary Renal Tumor,0.7365,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.7049,Childhood Renal Cell Carcinoma,0.7031,Hereditary Clear Cell Renal Cell Carcinoma,0.7023,Hereditary Papillary Renal Cell Carcinoma,0.6992,CHROMOPHOBE RENAL CELL CARCINOMA,True,True,True
CHROMOPHOBE RENAL CELL CARCINOMAÃ‚Â ,Chromophobe Renal Cell Carcinoma,1,2,Chromophobe Renal Cell Carcinoma,0.8834,Classic Variant of Chromophobe Renal Cell Carcinoma,0.8505,Advanced Chromophobe Renal Cell Carcinoma,0.8261,Locally Advanced Chromophobe Renal Cell Carcinoma,0.8118,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.7863,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.7797,Unresectable Chromophobe Renal Cell Carcinoma,0.7755,Metastatic Chromophobe Renal Cell Carcinoma,0.7524,Clear Cell Renal Cell Carcinoma,0.7499,Renal Cell Carcinoma,0.7426,Hepatocellular Chromophobe Carcinoma,0.7393,Non-Clear Cell Renal Cell Carcinoma,0.7359,Papillary Renal Cell Carcinoma,0.7315,Recurrent Chromophobe Renal Cell Carcinoma,0.7175,Pituitary Gland Chromophobe Adenoma,0.7153,Adrenal Cortical Clear Cell Adenoma,0.6943,Clear Cell Papillary Renal Tumor,0.6937,Childhood Renal Cell Carcinoma,0.6912,Type 1 Papillary Renal Cell Carcinoma,0.6906,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.6876,CHROMOPHOBE RENAL CELL CARCINOMAÃ‚Â,True,True,True
"CHROMOPHOBE, CLASSIC",Classic Variant of Chromophobe Renal Cell Carcinoma,3,2,Pituitary Gland Chromophobe Adenoma,0.8058,Hepatocellular Chromophobe Carcinoma,0.7838,Classic Variant of Chromophobe Renal Cell Carcinoma,0.7700,Chromophobe Renal Cell Carcinoma,0.7415,Advanced Chromophobe Renal Cell Carcinoma,0.6947,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.6913,Metastatic Chromophobe Renal Cell Carcinoma,0.6700,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.6547,Melanocytoma,0.6409,Clear Cell Adenofibroma,0.6144,Clear Cell Adenoma,0.6090,Locally Advanced Chromophobe Renal Cell Carcinoma,0.6089,Unresectable Chromophobe Renal Cell Carcinoma,0.6075,Retinocytoma,0.5887,Adenocarcinofibroma,0.5880,Oncocytic Adenocarcinoma,0.5879,Pineocytoma,0.5852,Clear Cell Neoplasm,0.5841,Classic Thyroid Gland Papillary Carcinoma,0.5835,Oncocytic Adenoma,0.5816,"CHROMOPHOBE, CLASSIC",False,True,True
"CHROMOPHOBE, EOSINOPHILIC",Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,1,2,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.7894,Hepatocellular Chromophobe Carcinoma,0.7292,Pituitary Gland Chromophobe Adenoma,0.7055,Chromophobe Renal Cell Carcinoma,0.6778,Classic Variant of Chromophobe Renal Cell Carcinoma,0.6704,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.6605,Advanced Chromophobe Renal Cell Carcinoma,0.6424,Metastatic Chromophobe Renal Cell Carcinoma,0.6378,Melanocytoma,0.6333,Pineocytoma,0.6135,Eosinophilic Granuloma,0.6127,Pituitary Gland Mixed Acidophil-Basophil Carcinoma,0.5986,Clear Cell Adenoma,0.5918,Endometrial Neuroendocrine Carcinoma,0.5877,Clear Cell Neoplasm,0.5841,Oncocytic Adenocarcinoma,0.5837,Histiocytoma,0.5769,Cellular Ependymoma,0.5730,Endometrial Clear Cell Adenocarcinoma,0.5693,Adrenal Gland Composite Pheochromocytoma,0.5685,"CHROMOPHOBE, EOSINOPHILIC",True,True,True
"CHRONIC LYMPHOBLASTIC LEUKEMIA CLL, B-CELL",Chronic Lymphoblastic Lymphoma,4,2,B-Cell Leukemia,0.8165,Chronic Lymphocytic Leukemia,0.8050,B Lymphoblastic Leukemia/Lymphoma,0.8030,Chronic Lymphoblastic Lymphoma,0.7829,B Lymphoblastic Lymphoma,0.7789,Stage B Chronic Lymphocytic Leukemia,0.7715,"Monoclonal B-Cell Lymphocytosis, Chronic Lymphocytic Leukemia Type",0.7711,Cutaneous B Lymphoblastic Leukemia/Lymphoma,0.7681,Transformed Chronic Lymphocytic Leukemia to Diffuse Large B-Cell Lymphoma,0.7536,B Acute Lymphoblastic Leukemia,0.7527,Aleukemic Chronic Lymphocytic Leukemia,0.7503,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified",0.7426,Childhood B Lymphoblastic Leukemia/Lymphoma,0.7395,Childhood B Lymphoblastic Lymphoma,0.7251,"B Acute Lymphoblastic Leukemia, Not Otherwise Specified",0.7237,B-Cell Prolymphocytic Leukemia,0.7220,T-Cell Chronic Lymphocytic Leukemia,0.7181,Burkitt Leukemia,0.7158,Childhood B Acute Lymphoblastic Leukemia,0.6994,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.6955,"CHRONIC LYMPHOBLASTIC LEUKEMIA CLL, B-CELL",False,False,True
CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,1,2,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,1.0000,Chronic Lymphocytic Leukemia,0.8216,Small Lymphocytic Lymphoma,0.8201,Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.8192,Small Lymphocytic Lymphoma Variant,0.7805,Recurrent Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7787,Chronic Lymphoblastic Lymphoma,0.7709,Cutaneous Chronic Lymphocytic Leukemia,0.7383,Splenic Small Lymphocytic Lymphoma,0.7238,Splenic Manifestation of Chronic Lymphocytic Leukemia,0.7220,Aleukemic Chronic Lymphocytic Leukemia,0.7192,Stage A Chronic Lymphocytic Leukemia,0.7110,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene,0.6982,Stage 0 Chronic Lymphocytic Leukemia,0.6980,Refractory Small Lymphocytic Lymphoma,0.6923,Refractory Chronic Lymphocytic Leukemia,0.6916,T-Cell Chronic Lymphocytic Leukemia,0.6894,Transformed Small Lymphocytic Lymphoma to Diffuse Large B-Cell Lymphoma,0.6790,Recurrent Chronic Lymphocytic Leukemia,0.6708,Chronic Leukemia,0.6699,CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA,True,True,True
CHRONIC MYELOGENOUS LEUKEMIA,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",99,2,Chronic Monocytic Leukemia,0.8720,Chronic Myelomonocytic Leukemia,0.8568,Chronic Leukemia,0.8301,Atypical Chronic Myeloid Leukemia,0.7982,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7767,Chronic Neutrophilic Leukemia,0.7756,Myeloproliferative Chronic Myelomonocytic Leukemia,0.7704,Chronic Lymphocytic Leukemia,0.7662,Myeloid Leukemia,0.7629,Chronic Myelomonocytic Leukemia-1,0.7538,Chronic Myelomonocytic Leukemia-2,0.7436,Myeloid Neoplasm,0.6779,Chronic Myelomonocytic Leukemia-0,0.6772,Aleukemic Chronic Lymphocytic Leukemia,0.6620,Philadelphia Chromosome Negative BCR-ABL1 Negative Chronic Myelogenous Leukemia,0.6518,Acute Myeloid Leukemia,0.6507,Chronic Myelomonocytic Leukemia with Eosinophilia,0.6499,"Monoclonal B-Cell Lymphocytosis, Chronic Lymphocytic Leukemia Type",0.6433,Refractory Chronic Myelomonocytic Leukemia,0.6356,Leukemia,0.6348,CHRONIC MYELOGENOUS LEUKEMIA,False,False,False
