original_colname,normalized_colname
CUMULATIVE_TREATMENT_TYPE_COUNT,cumulative_treatment_type_count
CUMULATIVE_TREATMENT_TYPES,cumulative_treatment_types
CURRENT_REGIMEN,current_regimen
CYTOGENETIC_ABNORMALITY_TYPE,cytogenetic_abnormality_type
CYTOGENETIC_CODE_OTHER,cytogenetic_code_other
CYTOTOXIC_TX,cytotoxic_treatment
DAYS_FROM_SURGERY_TO_LAST_FOLLOWUP,days_from_surgery_to_last_followup
DAYS_TO_BIOCHEMICAL_RECURRENCE_FIRST,days_to_biochemical_recurrence_first
DAYS_TO_BONE_SCAN_PERFORMED,days_to_bone_scan_performed
DAYS_TO_CT_SCAN_AB_PELVIS,days_to_computed_tomography_scan_ab_pelvis
DAYS_TO_MRI,days_to_mri
DAYS_TO_PSA,days_to_prostate_specific_antigen
DEATH,death
DEFINITIVE_SURGICAL_PROCEDURE,definitive_surgical_procedure
DETAILED_METASTATIC_SITE,detailed_metastatic_site
DETAILED_PRIMARY_SITE,detailed_primary_site
DETAILED_SAMPLE_HISTOLOGY_CATEGORY,detailed_sample_histology_category
DIAGNOSTIC_MRI_RESULT,diagnostic_mri_result
DISEASE,disease
DISEASE_MULTIFOCAL_INDICATOR,disease_multifocal_indicator
DISTANT_RECURRENCE,distant_recurrence
DNA_INDEX,deoxyribonucleic_acid_index
DOSAGE,dosage
DRIVER_MUTATIONS,driver_mutations
DRUG_TYPE,drug_type
DX_BIOPSY_LOCATION,diagnosis_biopsy_location
DX_ER,diagnosis_estrogen_receptor
DX_GRADE,diagnosis_grade
DX_HER2_RATIO,diagnosis_human_epidermal_growth_factor_receptor_2_ratio
DX_HER2FISH,diagnosis_her2fish
DX_HER2IHC,diagnosis_her2ihc
DX_HER2OVERALL,diagnosis_her2overall
DX_HISTOLOGY,diagnosis_histology
DX_LOCATION,diagnosis_location
DX_PERCENT_ER,diagnosis_percent_estrogen_receptor
DX_PERCENT_PR,diagnosis_percent_progesterone_receptor
DX_PR,diagnosis_progesterone_receptor
DX_SIDEDNESS,diagnosis_sidedness
DX_STAGE,diagnosis_stage
DX_TYPE,diagnosis_type
EBV_PRESENT,epstein_barr_virus_present
ECOG_STATUS,eastern_cooperative_oncology_group_status
EFS_MONTHS,efs_months
EFS_STATUS,efs_status
EQD_TERTILES,eqd_tertiles
ER_POSITIVITY_SCALE_OTHER,estrogen_receptor_positivity_scale_other
ER_POSITIVITY_SCALE_USED,estrogen_receptor_positivity_scale_used
ER_STATUS_IHC_PERCENT_POSITIVE,estrogen_receptor_status_immunohistochemistry_percent_positive
ERG_FISH_RESULT,erg_fluorescence_in_situ_hybridization_result
ESOPHAGEAL_TUMOR_LOCATION_CENTERED,esophageal_tumor_location_centered
ESTIMATE_IMMUNE_SCORE,estimate_immune_score
ESTIMATE_IMMUNESCORE,estimate_immunescore
ESTIMATE_STROMAL_SCORE,estimate_stromal_score
ESTIMATE_STROMALSCORE,estimate_stromalscore
ESTIMATE_TUMORPURITY,estimate_tumorpurity
ESTIMATED_LEUKOCYTE_PERCENTAGE,estimated_leukocyte_percentage
ETS_FUSION_SEQ,ets_fusion_seq
EVENT_TYPE,event_type
EVER_METS_SITES,ever_mets_sites
EXOME,exome
EXPERIMENT,experiment
EXPRESSION_SUBTYPE,expression_subtype
EXTENT_OF_RESECTION,extent_of_resection
EXTRACAPSULAR_EXTENSION,extracapsular_extension
EXTRACAPSULAR_EXTENSION_PRESENT,extracapsular_extension_present
EXTRACAPSULAR_SPREAD,extracapsular_spread
EXTRATHYROIDAL_EXTENSION,extrathyroidal_extension
FACETS,facets
FAMILY_HISTORY_CANCER_NUMBER_RELATIVES,family_history_cancer_number_relatives
FEV1_FVC_RATIO_POSTBRONCHOLIATOR,fev1_fvc_ratio_postbroncholiator
FEV1_FVC_RATIO_PREBRONCHOLIATOR,fev1_fvc_ratio_prebroncholiator
FEV1_PERCENT_REF_POSTBRONCHOLIATOR,fev1_percent_ref_postbroncholiator
FEV1_PERCENT_REF_PREBRONCHOLIATOR,fev1_percent_ref_prebroncholiator
FGA_FACETS,fraction_genome_altered_facets
FIRST_LINE_THERAPY,first_line_therapy
FIRST_SITE_OF_METS,first_site_of_mets
FIRST_SURGICAL_PROCEDURE_OTHER,first_surgical_procedure_other
FIRST_THERAPY,first_therapy
FLT3_ITD,flt3_itd
FOLIC_ACID_TX,folic_acid_treatment
FOLLICULAR_COMPONENT_PERCENT,follicular_component_percent
FRACTION_CNA,fraction_copy_number_alteration
FUSION_OTHER,fusion_other
GALLBLADDER_STONES,gallbladder_stones
GENOMIC_BURDEN,genomic_burden
GEOGRAPHIC_DISTRIBUTION,geographic_distribution
GERMLINE_CONTROL,germline_control
GERMLINE_MUTKNOWN_BRCA1,germline_mutknown_brca1
GERMLINE_MUTKNOWN_BRCA2,germline_mutknown_brca2
GERMLINE_MUTKNOWN_PALB2,germline_mutknown_palb2
GLEASON_PATTERN_PRIMARY,gleason_pattern_primary
GLEASON_PATTERN_SECONDARY,gleason_pattern_secondary
GLEASON_PATTERN_TERTIARY,gleason_pattern_tertiary
GLEASON_SCORE_1,gleason_score_1
GLEASON_SCORE_PERCENT_4_AND_5,gleason_score_percent_4_and_5
HAS_OTHER_CANCER,has_other_cancer
HBV,hbv
HCV,hcv
HEPATIC_VEIN_INVASION,hepatic_vein_invasion
HER2_AMPLIFICATION_STATUS,human_epidermal_growth_factor_receptor_2_amplification_status
HER2_AND_CENT17_CELLS_COUNT,human_epidermal_growth_factor_receptor_2_and_cent17_cells_count
HER2_AND_CENT17_SCALE_OTHER,human_epidermal_growth_factor_receptor_2_and_cent17_scale_other
HER2_CENT17_RATIO,human_epidermal_growth_factor_receptor_2_cent17_ratio
HER2_COPY_NUMBER,human_epidermal_growth_factor_receptor_2_copy_number
HER2_FISH_METHOD,human_epidermal_growth_factor_receptor_2_fluorescence_in_situ_hybridization_method
HER2_IHC_PERCENT_POSITIVE,human_epidermal_growth_factor_receptor_2_immunohistochemistry_percent_positive
HER2_POSITIVITY_METHOD_TEXT,human_epidermal_growth_factor_receptor_2_positivity_method_text
HER2_POSITIVITY_SCALE_OTHER,human_epidermal_growth_factor_receptor_2_positivity_scale_other
HISPANIC,hispanic
HISTOPATHOLOGY,histopathology
HISTORY_COLORECTAL_CANCER,history_colorectal_cancer
HISTORY_HEPATO_CARCINOMA_RISK_FACTORS,history_hepato_carcinoma_risk_factors
HISTORY_MENOPAUSAL_HORMONE_THERAPY,history_menopausal_hormone_therapy
HISTORY_TAMOXIFEN_USE,history_tamoxifen_use
HYPERDIPLOID,hyperdiploid
HYPERMUTATED,hypermutated
ICD_0_3_T,international_classification_diseases_0_3_t
IDH_1P19Q_SUBTYPE,isocitrate_dehydrogenase_1p19q_subtype
IDH_CODEL_SUBTYPE,isocitrate_dehydrogenase_codel_subtype
IDH_STATUS,isocitrate_dehydrogenase_status
IGCCCG_STAGE,igcccg_stage
IGHV_GENE,ighv_gene
IHC_SCORE,immunohistochemistry_score
IHC_SUBTYPE,immunohistochemistry_subtype
IMMUNE_STATUS,immune_status
INDUCTION,induction
INITIAL_PATHOLOGIC_DIAGNOSIS_METHOD,initial_pathologic_diagnosis_method
INITIAL_TREATMENT,initial_treatment
INTESTINAL_TYPE_SUBCLASS,intestinal_type_subclass
INVASION_DEPTH,invasion_depth
IO_RESPONSE,io_response
IO_TX,io_treatment
IPI_AGE,international_prognostic_index_age
IPI_ECOG,international_prognostic_index_eastern_cooperative_oncology_group
IPI_LDH,international_prognostic_index_lactate_dehydrogenase
KNOWN_MOLECULAR_CLASSIFIER,known_molecular_classifier
KRAS_MUTATION_IDENTIFIED_TYPE,kirsten_rat_sarcoma_viral_oncogene_mutation_identified_type
LAST_CONTACT_DAYS_TO,last_contact_days_to
LDH,lactate_dehydrogenase
LDH_ELEVATED,lactate_dehydrogenase_elevated
LDH_LEVEL,lactate_dehydrogenase_level
LEIOMYO_MAJOR_VESSEL_INVOLVEMENT,leiomyo_major_vessel_involvement
LN_STATUS,ln_status
LNI,lni
LOCAL_RECURRENCE_MONTHS,local_recurrence_months
LOCAL_REGIONAL_RECURRENCE,local_regional_recurrence
LOCALIZED_VS_METS_AT_DX,localized_vs_mets_at_diagnosis
LOCATION_LUNG_PARENCHYMA,location_lung_parenchyma
LVSI,lvsi
LYMPH_NODE_METASTASIS,lymph_node_metastasis
LYMPH_NODES_AORTIC_EXAMINED_COUNT,lymph_nodes_aortic_examined_count
LYMPH_NODES_AORTIC_POS_BY_HE,lymph_nodes_aortic_positive_by_hematoxylin_eosin
LYMPH_NODES_AORTIC_POS_BY_IHC,lymph_nodes_aortic_positive_by_immunohistochemistry
LYMPH_NODES_AORTIC_POS_TOTAL,lymph_nodes_aortic_positive_total
LYMPH_NODES_PELVIC_EXAMINED_COUNT,lymph_nodes_pelvic_examined_count
LYMPH_NODES_PELVIC_POS_BY_HE,lymph_nodes_pelvic_positive_by_hematoxylin_eosin
LYMPH_NODES_PELVIC_POS_BY_IHC,lymph_nodes_pelvic_positive_by_immunohistochemistry
LYMPH_NODES_PELVIC_POS_TOTAL,lymph_nodes_pelvic_positive_total
LYMPHOVASCULAR_INVASION_INDICATOR,lymphovascular_invasion_indicator
MAPK_PATHWAY_ALTERATION,mitogen_activated_protein_kinase_pathway_alteration
MARGIN_STATUS,margin_status
MARGIN_STATUS_REEXCISION,margin_status_reexcision
MATCHED_STATUS,matched_status
MEAN_COVERAGE,mean_coverage
MENOPAUSAL_STATUS_AT_DIAGNOSIS,menopausal_status_at_diagnosis
MET_SKIPPED_EXON_2,met_proto_oncogene_receptor_tyrosine_kinase_skipped_exon_2
MET_SKIPPED_EXONS_18_AND_19,met_proto_oncogene_receptor_tyrosine_kinase_skipped_exons_18_and_19
METASTATIC_DISEASE,metastatic_disease
METASTATIC_DX_CONFIRMED_BY,metastatic_diagnosis_confirmed_by
METASTATIC_DX_CONFIRMED_BY_OTHER,metastatic_diagnosis_confirmed_by_other
METHOD_OF_SAMPLE_PROCUREMENT,method_of_sample_procurement
METS_SITES_AT_METS_ABST_ADRENAL_GLAND,mets_sites_at_mets_abst_adrenal_gland
METS_SITES_AT_METS_ABST_ASCITES,mets_sites_at_mets_abst_ascites
METS_SITES_AT_METS_ABST_BRAIN_CNS,mets_sites_at_mets_abst_brain_central_nervous_system
METS_SITES_AT_METS_ABST_CHEST_WALL,mets_sites_at_mets_abst_chest_wall
METS_SITES_AT_METS_ABST_DIST_LYMPH,mets_sites_at_mets_abst_dist_lymph
METS_SITES_AT_METS_ABST_INTRA_ABDOMINAL,mets_sites_at_mets_abst_intra_abdominal
METS_SITES_AT_METS_ABST_OVARY,mets_sites_at_mets_abst_ovary
METS_SITES_AT_METS_ABST_PLEURAL_EFFUSION,mets_sites_at_mets_abst_pleural_effusion
METS_SITES_AT_METS_ABST_SKIN,mets_sites_at_mets_abst_skin
METS_SITES_AT_METS_ABST_SOFT_TISSUE,mets_sites_at_mets_abst_soft_tissue
METS_SITES_AT_METS_DX_ADRENAL_GLAND,mets_sites_at_mets_diagnosis_adrenal_gland
METS_SITES_AT_METS_DX_ASCITES,mets_sites_at_mets_diagnosis_ascites
METS_SITES_AT_METS_DX_BRAIN_CNS,mets_sites_at_mets_diagnosis_brain_central_nervous_system
METS_SITES_AT_METS_DX_CHEST_WALL,mets_sites_at_mets_diagnosis_chest_wall
METS_SITES_AT_METS_DX_DIST_LYMPH,mets_sites_at_mets_diagnosis_dist_lymph
METS_SITES_AT_METS_DX_INTRA_ABDOMINAL,mets_sites_at_mets_diagnosis_intra_abdominal
METS_SITES_AT_METS_DX_OVARY,mets_sites_at_mets_diagnosis_ovary
METS_SITES_AT_METS_DX_PLEURAL_EFFUSION,mets_sites_at_mets_diagnosis_pleural_effusion
METS_SITES_AT_METS_DX_SKIN,mets_sites_at_mets_diagnosis_skin
METS_SITES_AT_METS_DX_SOFT_TISSUE,mets_sites_at_mets_diagnosis_soft_tissue
MICROMET_DETECTION_BY_IHC,micromet_detection_by_immunohistochemistry
MICROTUBULE_TX,microtubule_treatment
MITOTIC_RATE,mitotic_rate
MKI,mki
MLL_STATUS,mll_status
MOLECULAR_SMOKING_SIGNATURE,molecular_smoking_signature
MOLECULAR_STUDIES_OTHERS_PERFORMED,molecular_studies_others_performed
MONTHS_ON_TREATMENT,months_on_treatment
MORPHOLOGY_SUBTYPE,morphology_subtype
MOST_RECENT_TREATMENT_DURATION,most_recent_treatment_duration
MOST_RECENT_TREATMENT_TYPE,most_recent_treatment_type
MRI_RESULTS,mri_results
MSI,microsatellite_instability
MSI_SOMATIC_SITES,microsatellite_instability_somatic_sites
MSI_TOTAL_SITES,microsatellite_instability_total_sites
MULTIPLE_TUMORS,multiple_tumors
MUTATION_RATE_CLUSTER,mutation_rate_cluster
MUTS_CLONAL,muts_clonal
MUTS_SUBCLONAL,muts_subclonal
MYB_NFIB_REARRANGEMENT,myb_nfib_rearrangement
MYCN,mycn
MYCN_AMP,mycn_amplification
NEOANTIGEN_BURDEN,neoantigen_burden
NGS_TEST,ngs_test
NONINVASIVE_BLADDER_CA_TX_TYPE,noninvasive_bladder_ca_treatment_type
NONINVASIVE_BLADDER_HISTORY,noninvasive_bladder_history
NONSENSE_MUTATION,nonsense_mutation
NONSILENT_MUTATION_DENSITY,nonsilent_mutation_density
NONSILENT_PER_MB,nonsilent_per_mb
NORMAL_GENOME_COVERAGE,normal_genome_coverage
NORMAL_SITE,normal_site
NTE_CENT_17_HER2_RATIO,nte_cent_17_human_epidermal_growth_factor_receptor_2_ratio
NTE_ER_IHC_INTENSITY_SCORE,nte_estrogen_receptor_immunohistochemistry_intensity_score
NTE_ER_STATUS,nte_estrogen_receptor_status
NTE_HER2_FISH_STATUS,nte_human_epidermal_growth_factor_receptor_2_fluorescence_in_situ_hybridization_status
NTE_HER2_POSITIVITY_IHC_SCORE,nte_human_epidermal_growth_factor_receptor_2_positivity_immunohistochemistry_score
NTE_HER2_STATUS,nte_human_epidermal_growth_factor_receptor_2_status
NTE_PR_IHC_INTENSITY_SCORE,nte_progesterone_receptor_immunohistochemistry_intensity_score
NTE_PR_STATUS_BY_IHC,nte_progesterone_receptor_status_by_immunohistochemistry
NUCLEOSIDE_TX,nucleoside_treatment
NUM_SILENT_MUTATION,number_silent_mutation
NUM_SOMATIC_MUTATION,number_somatic_mutation
NUMBER_OF_TUMORS,number_of_tumors
OCCUPATION_CURRENT,occupation_current
OCCUPATION_PRIMARY_CHEMICAL_EXPOSURE,occupation_primary_chemical_exposure
OCCUPATION_PRIMARY_INDUSTRY,occupation_primary_industry
OFF_STUDY_REASON,off_study_reason
ORGAN_SYSTEM,organ_system
OTHER_CYTOTOXIC_TX,other_cytotoxic_treatment
OTHER_HEPATO_CARCINOMA_RISK_FACTORS,other_hepato_carcinoma_risk_factors
OTHER_SITE_OF_RELAPSE,other_site_of_relapse
OVERALL_RESPONSE,overall_response
OXALIPLATIN_TX,oxaliplatin_treatment
PACK_YEARS_SMOKED,pack_years_smoked
PATHOLOGY_CLASSIFICATION,pathology_classification
PATHOLOGY_LAUREN,pathology_lauren
PDL1_EXPRESSION,programmed_death_ligand_1_expression
PDX_SAMPLE_DAYS_FROM_DIAGNOSIS,patient_derived_xenograft_sample_days_from_diagnosis
PERCENT_LYMPHOCYTE_INFILTRATION,percent_lymphocyte_infiltration
PERCENT_TUMOR_CELLS,percent_tumor_cells
PERCENT_TUMOR_NUCLEI,percent_tumor_nuclei
PERFORMANCE_STATUS,performance_status
PERIPHERAL_BLASTS_PERCENTAGE,peripheral_blasts_percentage
PERITONEAL_WASHING,peritoneal_washing
PLATELET_NORM_RANGE_LOWER,platelet_normal_range_lower
PLATELET_NORM_RANGE_UPPER,platelet_normal_range_upper
PLATINUM_TX,platinum_treatment
PNI,pni
PORTAL_VEIN_INVASION,portal_vein_invasion
PR_POSITIVITY_DEFINE_METHOD,progesterone_receptor_positivity_define_method
PR_POSITIVITY_IHC_INTENSITY_SCORE,progesterone_receptor_positivity_immunohistochemistry_intensity_score
PR_POSITIVITY_SCALE_OTHER,progesterone_receptor_positivity_scale_other
PR_POSITIVITY_SCALE_USED,progesterone_receptor_positivity_scale_used
PR_STATUS_IHC_PERCENT_POSITIVE,progesterone_receptor_status_immunohistochemistry_percent_positive
PRD_DIAGNOSIS_LOC,prd_diagnosis_loc
PRD_EVER_LOCATION,prd_ever_location
PRD_LOCATION_AT_ENROLLMENT,prd_location_at_enrollment
PRD_OTHER_CANCER_LIST,prd_other_cancer_list
PRD_OTHER_CANCER_RADIATION,prd_other_cancer_radiation
PRD_RACE,prd_race
PRD_RADIATION,prd_radiation
PRD_RADIATION_SURGERY,prd_radiation_surgery
PRD_SURGERY,prd_surgery
PRD_SURGERY_CLEAN_MARGINS,prd_surgery_clean_margins
PREGNANCIES_FULL_TERM_COUNT,pregnancies_full_term_count
PREOPERATIVE_PSA,preoperative_prostate_specific_antigen
PRETREATED,pretreated
PRIMARY_MELANOMA_TUMOR_ULCERATION,primary_melanoma_tumor_ulceration
PRIMARY_SITE_NOTES,primary_site_notes
PRIMARY_TISSUE,primary_tissue
PRIMARY_TUMOR_SIZE,primary_tumor_size
PRIOR_MDS,prior_mds
PRIOR_MPN,prior_mpn
PRIOR_THERAPY,prior_therapy
PRIOR_TREATMENT_OF_CYTOTOXIC_CHEMOTHERAPY,prior_treatment_of_cytotoxic_chemotherapy
PROTHROM_TIME_INR_NORM_RANGE_LOWER,prothrom_time_inr_normal_range_lower
PROTHROMBIN_TIME_INR_AT_PROCUREMENT,prothrombin_time_inr_at_procurement
PROTHROMBIN_TIME_NORM_RANGE_UPPER,prothrombin_time_normal_range_upper
PSA_MOST_RECENT_RESULTS,prostate_specific_antigen_most_recent_results
PSTAGE_CATEGORY,pstage_category
PULMONARY_FUNCTION_TEST_INDICATOR,pulmonary_function_test_indicator
RADICALITY,radicality
RADIOTHERAPY_TX,radiotherapy_treatment
RECIST,response_evaluation_criteria_in_solid_tumors
REGIONAL_LYMPH_NODE,regional_lymph_node
REVIEWED_GLEASON_CATEGORY,reviewed_gleason_category
RHOA_MUTATION,rhoa_mutation
RNA,ribonucleic_acid
RNA_SEQ_ANALYSIS,ribonucleic_acid_seq_analysis
RNA_SEQUENCED,ribonucleic_acid_sequenced
SAMPLE_COLLECTION_TIMEPOINT,sample_collection_timepoint
SAMPLE_NAME,sample_name
SECONDHAND_SMOKE,secondhand_smoke
SERUM_ALBUMIN_NORM_RANGE_LOWER,serum_albumin_normal_range_lower
SERUM_ALBUMIN_NORM_RANGE_UPPER,serum_albumin_normal_range_upper
SERUM_ALBUMIN_PRERESECTION,serum_albumin_preresection
SERUM_LACTATE_DEHYDROGENASE,serum_lactate_dehydrogenase
SIGNET_RING,signet_ring
SILENT_RATE,silent_rate
SITE_SEQUENCED,site_sequenced
SPECIMEN_COLLECTION_PRE_OR_POST_CHEMO,specimen_collection_pre_or_post_chemo
STAGE_AT_PRESENTATION,stage_at_presentation
STAGING_SYSTEM_OTHER,staging_system_other
STEMNESS_SCORE,stemness_score
SURGERY_AT_DX,surgery_at_diagnosis
SURGERY_FOR_POSITIVE_MARGINS,surgery_for_positive_margins
SURGERY_FOR_POSITIVE_MARGINS_OTHER,surgery_for_positive_margins_other
SURGERY_TYPE,surgery_type
SURGICAL_APPROACH_AT_DIAGNOSIS,surgical_approach_at_diagnosis
SURGICAL_PROCEDURE_FIRST,surgical_procedure_first
SYNOVIAL_SS18SSX_FUSION_STATUS,synovial_ss18ssx_fusion_status
SYSTEMIC_TREATMENT,systemic_treatment
TARGET_THERAPY,target_therapy
TARGETED_TX,targeted_treatment
TAXANE_TX,taxane_treatment
TERT_ALKYLATING_TX,telomerase_reverse_transcriptase_alkylating_treatment
TERT_ANTHRACYCLINE_TX,telomerase_reverse_transcriptase_anthracycline_treatment
TERT_ANTIMETABOLITE_TX,telomerase_reverse_transcriptase_antimetabolite_treatment
TERT_CARBOLATIN_TX,telomerase_reverse_transcriptase_carbolatin_treatment
TERT_CISPLATIN_TX,telomerase_reverse_transcriptase_cisplatin_treatment
TERT_CYTOTOXIC_TX,telomerase_reverse_transcriptase_cytotoxic_treatment
TERT_IO_TX,telomerase_reverse_transcriptase_io_treatment
TERT_MICROTUBULE_TX,telomerase_reverse_transcriptase_microtubule_treatment
TERT_OTHER_CYTOTOXIC_TX,telomerase_reverse_transcriptase_other_cytotoxic_treatment
TERT_OXALIPLATIN_TX,telomerase_reverse_transcriptase_oxaliplatin_treatment
TERT_PLATINUM_TX,telomerase_reverse_transcriptase_platinum_treatment
TERT_PROMOTER_MUTATION,telomerase_reverse_transcriptase_promoter_mutation
TERT_TARGETED_TX,telomerase_reverse_transcriptase_targeted_treatment
TERT_TAXANE_TX,telomerase_reverse_transcriptase_taxane_treatment
TERT_TOPO_I_INH_TX,telomerase_reverse_transcriptase_topo_i_inh_treatment
TERT_TOPO_II_INH_TX,telomerase_reverse_transcriptase_topo_ii_inh_treatment
TIME_FROM_DX_TO_SEQ,time_from_diagnosis_to_seq
TIME_TO_BLOOD_DRAW_FROM_TX,time_to_blood_draw_from_treatment
TIME_TO_COMPLETE_RESPONSE,time_to_complete_response
TIME_TO_MET_MONTHS,time_to_met_proto_oncogene_receptor_tyrosine_kinase_months
TIME_TO_METASTASIS_MONTHS,time_to_metastasis_months
TIME_TO_RECURRENCE_MONTHS,time_to_recurrence_months
TIMEPOINT,timepoint
TISSUE_TYPE,tissue_type
TMT_CHANNEL,tmt_channel
TOPO_I_TX,topo_i_treatment
TOPO_II_TX,topo_ii_treatment
TOTAL_CNA,total_copy_number_alteration
TOTAL_PER_MB,total_per_mb
TREATMENT_GROUP,treatment_group
TREATMENT_PRIOR_TO_SURGERY_INDICATOR,treatment_prior_to_surgery_indicator
TUMOR_FRACTION,tumor_fraction
TUMOR_GENOME_COVERAGE,tumor_genome_coverage
TUMOR_INVASION_PERCENT,tumor_invasion_percent
TUMOR_LATERALITY,tumor_laterality
TUMOR_LEVEL,tumor_level
TUMOR_PLOIDY,tumor_ploidy
TUMOR_RESECTED_MAX_DIMENSION,tumor_resected_maximum_dimension
TUMOR_SAMPLE_PROCUREMENT_COUNTRY,tumor_sample_procurement_country
TUMOR_TOTAL_DEPTH,tumor_total_depth
TX_90DAYS_POST_RESECTION,treatment_90days_post_resection
TX_COMPLETE_RESPONSE,treatment_complete_response
TX_INDUCTION_COURSES_INDICATOR,treatment_induction_courses_indicator
TX_MAINTENANCE_COURSES_INDICATOR,treatment_maintenance_courses_indicator
ULCERATION,ulceration
VARIANT_HISTOLOGY,variant_histology
VASCULAR_INVASION_INDICATOR,vascular_invasion_indicator
WGS_BASED_PURITY_ESTIMATION,whole_genome_sequencing_based_purity_estimation
WHOLE_GENOME_SEQUENCING,whole_genome_sequencing
XCELL_IMMUNESCORE,xcell_deconvolution_immunescore
XCELL_MICROENVIRONMENTSCORE,xcell_deconvolution_microenvironmentscore
XCELL_STROMASCORE,xcell_deconvolution_stromascore
XRT_TX,xrt_treatment
YEAR_OF_SURGERY,year_of_surgery
1P19Q_STATUS,1p19q_status
2L_TREATMENT,2l_treatment
3L_TREATMENT,3l_treatment
8Q_ARM,8q_arm
ABNORMAL_LYMPHOCYTE_PERCENT,abnormal_lymphocyte_percent
ABSOLUTE_GENOME_DOUBLINGS,absolute_genome_doublings
ACCESS,access
ACCESS_TIMEPOINTS,access_timepoints
ACHIEVED_6_MONTHS,achieved_6_months
ACINAR_FRACTION,acinar_fraction
ACQUIRED_AFTER_ALKALATOR_TREATMENT,acquired_after_alkalator_treatment
ACQUIRED_AFTER_ANY_SYSTEMIC_TREATMENT,acquired_after_any_systemic_treatment
ACQUIRED_AFTER_RADIOTHERAPY,acquired_after_radiotherapy
ACTIONABLE_ALTERATIONS,actionable_alterations
ACTIONABLE_LESION1,actionable_lesion1
ADC_THERAPY,antibody_drug_conjugate_therapy
ADC+IMMUNOTHERAPY,adc+immunotherapy
ADDITIONAL_PATHOLOGIC_FINDINGS,additional_pathologic_findings
ADENOCARCINOMA_SUBTYPE_WHO2015,adenocarcinoma_subtype_who2015
ADJ_XRT,adj_xrt
ADJUVANT,adjuvant
ADJUVANT_CHEMO_REGIMEN,adjuvant_chemo_regimen
ADJUVANT_CHEMOTHERAPY,adjuvant_chemotherapy
ADJUVANT_CT,adjuvant_computed_tomography
ADJUVANT_CYCLES_NUM,adjuvant_cycles_number
ADJUVANT_HORMONE_THERAPY,adjuvant_hormone_therapy
ADJUVANT_IMMUNOTHERAPY,adjuvant_immunotherapy
ADJUVANT_RADIATION_THERAPY,adjuvant_radiation_therapy
ADJUVANT_TARGETED,adjuvant_targeted
ADJUVANT_XRT,adjuvant_xrt
ADMINISTRATION_OF_DRUG_WEEKS,administration_of_drug_weeks
ADRENAL_MONTHS,adrenal_months
ADRENAL_STATUS,adrenal_status
AFP_UG_L,alpha_fetoprotein_ug_l
AGE_AT_CHEMOTHERAPY_START,age_at_chemotherapy_start
AGE_AT_CHEMOTHERAPY_STOP,age_at_chemotherapy_stop
AGE_AT_DEATH,age_at_death
AGE_AT_DERIVATION,age_at_derivation
AGE_AT_DOS_BX,age_at_dos_bx
AGE_AT_EVIDENCE_OF_METS,age_at_evidence_of_mets
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,age_at_initial_pathologic_diagnosis
AGE_AT_LAST_CONTACT,age_at_last_contact
AGE_AT_LAST_FOLLOWUP,age_at_last_followup
AGE_AT_LAST_KNOWN_CLINICAL_STATUS,age_at_last_known_clinical_status
AGE_AT_MET,age_at_met_proto_oncogene_receptor_tyrosine_kinase
AGE_AT_METS,age_at_mets
AGE_AT_PD1,age_at_programmed_cell_death_protein_1
AGE_AT_RADIATION_START,age_at_radiation_start
AGE_AT_RADIATION_STOP,age_at_radiation_stop
AGE_AT_RESECTION,age_at_resection
AGE_AT_SAMPLE_COLLECTION,age_at_sample_collection
AGE_AT_SAMPLING,age_at_sampling
AGE_AT_SCC,age_at_scc
AGE_AT_SPECIMEN_ACQUISITION,age_at_specimen_acquisition
AGE_AT_SPECIMEN_DIAGNOSIS,age_at_specimen_diagnosis
AGE_AT_TCGA_SPECIMEN,age_at_the_cancer_genome_atlas_specimen
AGE_D,age_day
AGE_GT_MEDIAN,age_gt_median
AGE_RESECTED,age_resected
AGE_START_IO,age_start_io
AGE_TESTING_YEARS,age_testing_years
AGE_YRS,age_years
AJCC_7,american_joint_committee_on_cancer_7
AJCC_8,american_joint_committee_on_cancer_8
AJCC_TUMOR_CLINICAL_CT,american_joint_committee_on_cancer_tumor_clinical_computed_tomography
AKT1_MUTATION,akt1_mutation
ALB_G_DL,alb_g_dl
ALBUMIN,albumin
ALCOHOL_CONSUMPTION,alcohol_consumption
ALCOHOL_EXPOSURE_INTENSITY,alcohol_exposure_intensity
ALCOHOL_HISTORY_INTENSITY,alcohol_history_intensity
ALIQUOT_BARCODE,aliquot_barcode
ALIQUOT_ID,aliquot_id
ALK_DRIVER,anaplastic_lymphoma_kinase_driver
ALK_FUSION,anaplastic_lymphoma_kinase_fusion
ALK_PROTEIN,anaplastic_lymphoma_kinase_protein
ALKYLATING_AGENT,alkylating_agent
ALKYLATING_CHEMOTHERAPY,alkylating_chemotherapy
ALL_MUTS,acute_lymphoblastic_leukemia_muts
ALL_SYNS,acute_lymphoblastic_leukemia_syns
ALLELIC_RATIO,allelic_ratio
ALLEN_AND_LISA_TYPE,allen_and_lisa_type
ALP_U_L,alp_u_l
ALPELISIB_DOSE,alpelisib_dose
ALPELISIB_SCHEDULING,alpelisib_scheduling
ALPHA_FETOPROTIEN_AT_PROCUREMENT,alpha_fetoprotien_at_procurement
ALT_TYPE,alt_type
ALTERNATE_THERAPY,alternate_therapy
AML_FAB,acute_myeloid_leukemia_french_american_british
