original_value,top1_match,top2_match,top3_match,top4_match,top5_match,top1_confidence,top1_quality,top1_rationale,top2_confidence,top2_quality,top2_rationale,top3_confidence,top3_quality,top3_rationale,top4_confidence,top4_quality,top4_rationale,top5_confidence,top5_quality,top5_rationale,best_match_rank,best_match_confidence,overall_assessment
CARCINOMA WITH OSSEOUS METAPLASIA,Adenocarcinoma with Osseous Metaplasia,Breast Carcinoma with Osseous Metaplasia,Adenocarcinoma with Cartilaginous and Osseous Metaplasia,Adenocarcinoma with Cartilaginous Metaplasia,Adenocarcinoma with Metaplasia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.9,excellent,All key terms present (3/3 terms matched),0.45,fair,2/3 key terms matched; 56.0% term overlap,0.2,poor,1/3 key terms matched; 28.0% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,2,0.9,good_confidence
CARCINOMA WITH SQUAMOUS DIFFERENTIATION,Squamous Cell Carcinoma,Squamous Cell Neoplasm,Skin Squamous Cell Carcinoma,Advanced Squamous Cell Carcinoma,Adenocarcinoma with Squamous Metaplasia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.3,fair,1/3 key terms matched; 28.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
"CARCINOMA, BRENNER",Brenner Tumor,Malignant Ovarian Brenner Tumor,Ovarian Brenner Tumor,Benign Ovarian Brenner Tumor,Paratesticular Brenner Tumor,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.3,fair,1/2 key terms matched; 38.0% term overlap,0.45,fair,1/2 key terms matched; 40.0% term overlap,0.2,poor,1/2 key terms matched; 38.0% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,1,0.55,moderate_confidence
"CARCINOMA, FOLLICULAR",Thyroid Gland Follicular Carcinoma,Childhood Thyroid Gland Follicular Carcinoma,Thyroid Gland Papillary and Follicular Carcinoma,"Thyroid Gland Follicular Carcinoma, Widely Invasive",Classic Follicular Lymphoma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 40.0% term overlap,1,0.95,high_confidence
"CARCINOMA, GIANT CELL",Giant Cell Carcinoma,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,Giant Cell and Spindle Cell Carcinoma,Malignant Giant Cell Neoplasm,Giant Cell Neoplasm,0.95,excellent,All key terms present (3/3 terms matched),0.5,moderate,2/3 key terms matched; 51.4% term overlap,0.85,excellent,All key terms present (3/3 terms matched),0.4,fair,2/3 key terms matched; 56.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,0.95,high_confidence
"CARCINOMA, GINGIVAL",Gingival Carcinoma,Lower Gingival Carcinoma,Upper Gingival Carcinoma,Malignant Gingival Neoplasm,Gingival Squamous Cell Carcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.4,fair,1/2 key terms matched; 40.0% term overlap,0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
"CARCINOMA, MUCOEPIDERMOID",Mucoepidermoid Carcinoma,Skin Mucoepidermoid Carcinoma,Salivary Gland Mucoepidermoid Carcinoma,Lung Mucoepidermoid Carcinoma,Breast Mucoepidermoid Carcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
"CARCINOMA, PAPILLARY",Papillary Carcinoma,Papillary Adenocarcinoma,Thyroid Gland Papillary Carcinoma,Papillary Squamous Cell Carcinoma,Invasive Papillary Adenocarcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 40.0% term overlap,1,0.95,high_confidence
"CARCINOMA, VULVAR",Vulvar Carcinoma,Vulvar Adenocarcinoma,Vulvar Squamous Cell Carcinoma,Advanced Vulvar Carcinoma,Vulvar Verrucous Carcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
CARCINOSARCOMA-MALIGNANT_MESODERMAL_MIXED_TUMOUR,Metastatic Carcinosarcoma,Carcinosarcoma,Malignant Mixed Mesodermal (Mullerian) Tumor,Mixed Mesodermal (Mullerian) Tumor,Advanced Carcinosarcoma,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 50.0% term overlap,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.55,moderate_confidence
CARCINOSARCOMA-MAMMARY GLAND,Carcinosarcoma,Salivary Gland Carcinosarcoma,Metastatic Carcinosarcoma,Parotid Gland Carcinosarcoma,Uterine Carcinosarcoma,0.35,fair,1/3 key terms matched; 33.3% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,2,0.65,low_confidence
CARCINOSARCOMA-MAMMARY GLAND; BREAST,Breast Sarcoma,Breast Rhabdomyosarcoma,Carcinosarcoma,Salivary Gland Carcinosarcoma,Breast Solid Neuroendocrine Carcinoma,0.35,fair,1/4 key terms matched; 23.0% term overlap,0.3,fair,1/4 key terms matched; 23.0% term overlap,0.25,poor,1/4 key terms matched; 25.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.15,poor,1/4 key terms matched; 20.7% term overlap,4,0.4,low_confidence
CASTRATION-RESISTANT PROSTATE CANCER,Castration-Resistant Prostate Carcinoma,Castration-Sensitive Prostate Carcinoma,Unresectable Castration-Resistant Prostate Carcinoma,Hormone-Resistant Prostate Carcinoma,Castration-Naive Prostate Carcinoma,0.7,good,3/4 key terms matched; 69.0% term overlap,0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.6,moderate,3/4 key terms matched; 65.0% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.35,fair,2/4 key terms matched; 43.3% term overlap,1,0.7,good_confidence
CCOV,Carcinoma,Carcinoma Simplex,Hereditary Ovarian Carcinoma,Ovarian Undifferentiated Carcinoma,Unresectable Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CCRCC,Kidney Carcinoma,Renal Cell Carcinoma,Clear Cell Renal Cell Carcinoma,Non-Hereditary Clear Cell Renal Cell Carcinoma,Classic Variant of Chromophobe Renal Cell Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CD30+_ANAPLASTIC_LARGE_CELL_LYMPHOMA,Anaplastic Large Cell Lymphoma,Advanced Anaplastic Large Cell Lymphoma,Systemic Anaplastic Large Cell Lymphoma,Common Variant Anaplastic Large Cell Lymphoma,"Anaplastic Large Cell Lymphoma, ALK-Positive",0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CELLULAR SCHWANNOMA,Cellular Schwannoma,Conventional Schwannoma,Schwannoma,Cutaneous Schwannoma,Cellular Nerve Sheath Myxoma,1.0,excellent,Exact match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.15,poor,1/2 key terms matched; 38.0% term overlap,1,1.0,high_confidence
CENTRAL NEUROCYTOMA,Central Neurocytoma,Olfactory Neurocytoma,Extraventricular Neurocytoma,Sellar Neurocytoma,Central Nervous System Ganglioneuroblastoma,1.0,excellent,Exact match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.15,poor,1/2 key terms matched; 38.0% term overlap,1,1.0,high_confidence
CENTROBLASTIC,Centroblastic Lymphoma,Diffuse Centroblastic-Centrocytic Lymphoma,"Malignant Lymphoma Centroblastic, Follicular",Refractory Centroblastic Lymphoma,Centroblastic Lymphoma by Ann Arbor Stage,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,0.95,high_confidence
CERVICAL ADENOCARCINOMA,Cervical Adenocarcinoma,Cervical Carcinoma,"Cervical Adenocarcinoma, Not Otherwise Specified",Advanced Cervical Adenocarcinoma,Advanced Cervical Carcinoma,1.0,excellent,Exact match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 40.0% term overlap,1,1.0,high_confidence
CERVICAL ADENOCARCINOMA IN SITU,Cervical Adenocarcinoma In Situ,Adenocarcinoma In Situ,Cervical Squamous Cell Carcinoma In Situ,Human Papillomavirus-Independent Cervical Adenocarcinoma In Situ,Carcinoma In Situ,1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 66.7% term overlap,0.45,fair,2/3 key terms matched; 53.3% term overlap,0.8,good,All key terms present (3/3 terms matched),0.15,poor,1/3 key terms matched; 30.0% term overlap,1,1.0,high_confidence
CERVICAL ADENOID CYSTIC CARCINOMA,Cervical Adenoid Cystic Carcinoma,Adenoid Cystic Carcinoma,Nasopharyngeal Adenoid Cystic Carcinoma,Salivary Gland Adenoid Cystic Carcinoma,Advanced Adenoid Cystic Carcinoma,1.0,excellent,Exact match,0.65,moderate,3/4 key terms matched; 75.0% term overlap,0.6,moderate,3/4 key terms matched; 69.0% term overlap,0.55,moderate,3/4 key terms matched; 65.0% term overlap,0.5,fair,3/4 key terms matched; 69.0% term overlap,1,1.0,high_confidence
CERVICAL ADENOSQUAMOUS CARCINOMA,Cervical Adenosquamous Carcinoma,Cervical Poorly Differentiated Adenosquamous Carcinoma,Advanced Cervical Adenosquamous Carcinoma,Adenosquamous Carcinoma,Metastatic Cervical Adenosquamous Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.55,moderate,2/3 key terms matched; 66.7% term overlap,0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
CERVICAL CANCER,Cervical Carcinoma,Cervical Adenocarcinoma,Cervical Neoplasm,Malignant Cervical Neoplasm,Invasive Cervical Carcinoma,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 40.0% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,1,0.55,moderate_confidence
"CERVICAL CANCER, NOS",Cervical Carcinoma,Malignant Cervical Neoplasm,Cervical Adenocarcinoma,Cervical Neoplasm,"Cervical Adenocarcinoma, Not Otherwise Specified",0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 40.0% term overlap,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.55,moderate_confidence
CERVICAL CLEAR CELL CARCINOMA,Cervical Carcinoma,Clear Cell Adenocarcinoma,Cervical Squamous Cell Carcinoma,"Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type","Squamous Cell Carcinoma, Clear Cell Type",0.55,moderate,2/4 key terms matched; 50.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.6,moderate,3/4 key terms matched; 69.0% term overlap,0.4,fair,3/4 key terms matched; 58.3% term overlap,0.5,fair,3/4 key terms matched; 65.0% term overlap,3,0.6,moderate_confidence
CERVICAL ENDOMETRIOID CARCINOMA,Cervical Endometrioid Adenocarcinoma,Endometrioid Adenocarcinoma,Endometrial Endometrioid Adenocarcinoma,Endometrioid Tumor,Ovarian Endometrioid Adenocarcinoma,0.7,good,2/3 key terms matched; 60.0% term overlap,0.3,fair,1/3 key terms matched; 30.0% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.2,poor,1/3 key terms matched; 30.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
CERVICAL NEUROENDOCRINE TUMOR,Cervical Neuroendocrine Tumor,Cervical Neuroendocrine Neoplasm,Cervical Neuroendocrine Carcinoma,Cervical Neuroendocrine Tumor G1,Cervical Neuroendocrine Tumor G2,1.0,excellent,Exact match,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
CERVICAL SQUAMOUS CELL,Cervical Squamous Cell Carcinoma,Cervical Squamous Neoplasm,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",Cervical Carcinoma,Cervical Squamous Papilloma,0.95,excellent,All key terms present (3/3 terms matched),0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.85,excellent,All key terms present (3/3 terms matched),0.2,poor,1/3 key terms matched; 30.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,0.95,high_confidence
CERVICAL SQUAMOUS CELL CARCINOMA,Cervical Squamous Cell Carcinoma,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",Cervical Carcinoma,Cervical Squamous Neoplasm,Advanced Cervical Squamous Cell Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (4/4 terms matched),0.45,fair,2/4 key terms matched; 50.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.75,good,All key terms present (4/4 terms matched),1,1.0,high_confidence
CERVICAL_ADENOCARCINOMA,Cervical Adenocarcinoma,"Cervical Adenocarcinoma, Not Otherwise Specified",Cervical Carcinoma,Advanced Cervical Adenocarcinoma,Adenocarcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CERVICAL_CARCINOMA,Cervical Carcinoma,Cervical Adenocarcinoma,Malignant Cervical Neoplasm,"Cervical Adenocarcinoma, Not Otherwise Specified",Invasive Cervical Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CERVICAL_SMALL_CELL,Cervical Small Cell Neuroendocrine Carcinoma,Cervical Undifferentiated Carcinoma,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",Cervical Squamous Cell Carcinoma,Early Stage Cervical Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CERVICAL_SQUAMOUS,Cervical Squamous Neoplasm,Cervical Squamous Cell Carcinoma,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",Cervical Carcinoma,Cervical Squamous Papilloma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CESC,Serous Endometrial Intraepithelial Carcinoma,Microsatellite Stable Endometrial Carcinoma,Endometrial Neuroendocrine Carcinoma,Endometrial Undifferentiated Carcinoma,Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CESC_SQUAMOUSCARCINOMA,Adenoid Cystic Skin Carcinoma,Squamoid Eccrine Ductal Carcinoma,Squamous Cell Carcinoma,Cervical Undifferentiated Carcinoma,Sebaceous Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CHOL,Cholangiocarcinoma,Carcinoma,Lymphoma,Advanced Cholangiocarcinoma,Gallbladder Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CHOL EXTRA,Cholangiocarcinoma,Composite Lymphoma,Metastatic Cholangiocarcinoma,Gallbladder Lymphoma,Advanced Cholangiocarcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CHOL INTRA,Intrahepatic Cholangiocarcinoma,Cholangiocarcinoma,Advanced Intrahepatic Cholangiocarcinoma,Biliary Intraepithelial Neoplasia,Large Duct Intrahepatic Cholangiocarcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CHOLANGIO EXTRAHEPATIC,Extrahepatic Bile Duct Carcinoma,Extrahepatic Bile Duct Undifferentiated Carcinoma,Extrahepatic Bile Duct Adenocarcinoma,Benign Extrahepatic Bile Duct Neoplasm,Cholangiocarcinoma,0.35,fair,1/2 key terms matched; 38.0% term overlap,0.3,fair,1/2 key terms matched; 36.7% term overlap,0.25,poor,1/2 key terms matched; 38.0% term overlap,0.2,poor,1/2 key terms matched; 36.7% term overlap,0.0,poor,No key term overlap - likely poor match,1,0.35,low_confidence
CHOLANGIO INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,Unresectable Intrahepatic Cholangiocarcinoma,Small Duct Intrahepatic Cholangiocarcinoma,Advanced Intrahepatic Cholangiocarcinoma,Metastatic Intrahepatic Cholangiocarcinoma,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 40.0% term overlap,0.25,poor,1/2 key terms matched; 38.0% term overlap,0.4,fair,1/2 key terms matched; 40.0% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,1,0.55,moderate_confidence
CHOLANGIOCARCINOMA,Cholangiocarcinoma,Intrahepatic Cholangiocarcinoma,Advanced Cholangiocarcinoma,Adult Cholangiocarcinoma,Hilar Cholangiocarcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
"CHOLANGIOCARCINOMA, INTRAHEPATIC",Intrahepatic Cholangiocarcinoma,Clear Cell Intrahepatic Cholangiocarcinoma,Advanced Intrahepatic Cholangiocarcinoma,Small Duct Intrahepatic Cholangiocarcinoma,Cholangiocarcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 50.0% term overlap,1,0.95,high_confidence
CHOLANGIOCARCINOMA; DISTAL,Cholangiocarcinoma,Advanced Cholangiocarcinoma,Metastatic Cholangiocarcinoma,Hilar Cholangiocarcinoma,Distal Bile Duct Carcinoma,0.55,moderate,1/2 key terms matched; 50.0% term overlap,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.15,poor,1/2 key terms matched; 38.0% term overlap,1,0.55,moderate_confidence
CHOLANGIOCARCINOMA; HILAR/PERIHILAR,Hilar Cholangiocarcinoma,Advanced Hilar Cholangiocarcinoma,Unresectable Hilar Cholangiocarcinoma,Metastatic Hilar Cholangiocarcinoma,Cholangiocarcinoma,0.7,good,2/3 key terms matched; 66.7% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.15,poor,1/3 key terms matched; 33.3% term overlap,1,0.7,good_confidence
CHOLANGIOCARCINOMA; INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,Advanced Intrahepatic Cholangiocarcinoma,Clear Cell Intrahepatic Cholangiocarcinoma,Cholangiocarcinoma,Unresectable Intrahepatic Cholangiocarcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.4,fair,1/2 key terms matched; 50.0% term overlap,0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
CHONDROBLASTIC OSTEOSARCOMA,Chondroblastic Osteosarcoma,Chondroblastoma,Conventional Osteosarcoma,Fibroblastic Osteosarcoma,Osteoblastic Osteosarcoma,1.0,excellent,Exact match,0.15,poor,No key term overlap - likely poor match,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,1.0,high_confidence
CHONDROBLASTOMA,Chondroblastoma,Childhood Chondroblastoma,Maxillofacial Chondroblastoma,Chondroma,Metastasizing Chondroblastoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.05,poor,No key term overlap - likely poor match,0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
CHONDROSARCOMA,Chondrosarcoma,Mesenchymal Chondrosarcoma,Mesenchymal Chondrosarcoma of Bone,Synovial Chondrosarcoma,Localized Chondrosarcoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
CHORDOMA,Chordoma,Conventional Chordoma,Spinal Chordoma,Thoracic Chordoma,Childhood Chordoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
"CHORDOMA, SACRAL",Sacral Chordoma,Spinal Chordoma,Chordoma,Conventional Chordoma,Thoracic Chordoma,0.95,excellent,All key terms present (2/2 terms matched),0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.95,high_confidence
CHORDOMA_SACRAL,Sacral Chordoma,Spinal Chordoma,Chordoma,Conventional Chordoma,Advanced Chordoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
CHORIOCARCINOMA,Choriocarcinoma,Placental Choriocarcinoma,Gestational Choriocarcinoma,Central Nervous System Choriocarcinoma,Ovarian Choriocarcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,1.0,high_confidence
CHOROID PLEXUS PAPILLOMA,Choroid Plexus Papilloma,Childhood Choroid Plexus Papilloma,Atypical Choroid Plexus Papilloma,Childhood Atypical Choroid Plexus Papilloma,Choroid Plexus Neoplasm,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
CHOROID PLEXUS TUMOR,Choroid Plexus Neoplasm,Childhood Choroid Plexus Neoplasm,Choroid Plexus Carcinoma,Adult Choroid Plexus Neoplasm,Malignant Choroid Plexus Neoplasm,0.7,good,2/3 key terms matched; 60.0% term overlap,0.5,moderate,2/3 key terms matched; 56.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.7,good_confidence
CHROMOPHOBE,Pituitary Gland Chromophobe Adenoma,Chromophobe Hepatocellular Carcinoma,Chromophobe Renal Cell Carcinoma,Advanced Chromophobe Renal Cell Carcinoma,Classic Variant of Chromophobe Renal Cell Carcinoma,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,0.95,high_confidence
CHROMOPHOBE KIDNEY RENAL CELL CARCINOMA,Chromophobe Renal Cell Carcinoma,Classic Variant of Chromophobe Renal Cell Carcinoma,Advanced Chromophobe Renal Cell Carcinoma,Metastatic Chromophobe Renal Cell Carcinoma,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.85,excellent,4/5 key terms matched; 80.0% term overlap,0.65,moderate,4/5 key terms matched; 70.9% term overlap,0.6,moderate,4/5 key terms matched; 74.7% term overlap,0.55,moderate,4/5 key terms matched; 74.7% term overlap,0.5,fair,4/5 key terms matched; 70.9% term overlap,1,0.85,high_confidence
CHROMOPHOBE RENAL CELL CARCINOMA,Chromophobe Renal Cell Carcinoma,Classic Variant of Chromophobe Renal Cell Carcinoma,Advanced Chromophobe Renal Cell Carcinoma,Metastatic Chromophobe Renal Cell Carcinoma,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (4/4 terms matched),0.85,excellent,All key terms present (4/4 terms matched),0.8,good,All key terms present (4/4 terms matched),0.75,good,All key terms present (4/4 terms matched),1,1.0,high_confidence
