original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
CHRONIC MYELOMONOCYTIC LEUKEMIA 2,Chronic Myelomonocytic Leukemia-2,1,2,Chronic Myelomonocytic Leukemia-2,0.9739,Chronic Myelomonocytic Leukemia,0.8491,Chronic Myelomonocytic Leukemia-1,0.8275,Chronic Monocytic Leukemia,0.7912,Myelodysplastic Chronic Myelomonocytic Leukemia,0.7852,True,True,True
CHRONIC_LYMPHOCYTIC_LEUKAEMIA-SMALL_LYMPHOCYTIC_LYMPHOMA,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,1,2,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.8844,Small Lymphocytic Lymphoma,0.8106,Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7683,Small Lymphocytic Lymphoma Variant,0.7680,Recurrent Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,0.7155,True,True,True
CHRONIC_MYELOID_LEUKAEMIA,Chronic Myelogenous Leukemia,99,2,Chronic Leukemia,0.8588,Chronic Monocytic Leukemia,0.8236,Chronic Myelomonocytic Leukemia,0.7854,Atypical Chronic Myeloid Leukemia,0.7702,Chronic Neutrophilic Leukemia,0.7681,False,False,False
CILIATED MUCONODULAR PAPILLARY TUMOR OF THE LUNG,Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor,1,2,Bronchiolar Adenoma/Ciliated Muconodular Papillary Tumor,0.8128,Pulmonary Mucinous Cystic Tumor of Borderline Malignancy,0.6763,Lung Papillary Adenoma,0.6584,Papillary Cystic Neoplasm,0.6515,Lung Myoepithelial Tumor,0.6512,True,True,True
CLASSICAL HCA,Hepatocellular Adenoma,99,2,Colon Conventional Adenoma,0.6944,Hereditary Colon Carcinoma,0.6701,Colorectal Conventional Adenoma,0.6692,Hepatocellular Carcinoma,0.6611,Combined Hepatocellular Carcinoma and Cholangiocarcinoma,0.6440,False,False,False
CLASSICAL HODGKIN LYMPHOMA,Classic Hodgkin Lymphoma,1,2,Classic Hodgkin Lymphoma,0.9816,Hodgkin Lymphoma,0.9295,Childhood Classic Hodgkin Lymphoma,0.8271,Adult Classic Hodgkin Lymphoma,0.8258,Hodgkin Lymphoma by Clinical Course,0.8243,True,True,True
CLEAR CELL ADENOCARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,1.0000,Water-Clear Cell Adenocarcinoma,0.8853,Clear Cell Malignant Neoplasm,0.8663,Clear Cell Adenoma,0.8643,Ovarian Clear Cell Adenocarcinoma,0.8531,True,True,True
CLEAR CELL BORDERLINE OVARIAN TUMOR,Borderline Ovarian Clear Cell Tumor,1,2,Borderline Ovarian Clear Cell Tumor,0.9814,Borderline Ovarian Clear Cell Tumor/Atypical Proliferative Ovarian Clear Cell Tumor,0.8576,Benign Ovarian Clear Cell Tumor,0.8517,Ovarian Clear Cell Tumor,0.8502,Borderline Ovarian Clear Cell Cystadenofibroma,0.8319,True,True,True
CLEAR CELL CARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,0.9345,Clear Cell Malignant Neoplasm,0.9082,Clear Cell Neoplasm,0.9057,Clear Cell Renal Cell Carcinoma,0.8854,Clear Cell Adenoma,0.8502,True,True,True
CLEAR CELL CARCINOMA OF THE LUNG,"Lung Large Cell Carcinoma, Clear Cell Variant",3,2,Lung Clear Cell Adenocarcinoma,0.9021,Lung Clear Cell Tumor,0.8800,"Lung Large Cell Carcinoma, Clear Cell Variant",0.8567,"Lung Squamous Cell Carcinoma, Clear Cell Variant",0.8436,Lung Hyalinizing Clear Cell Carcinoma,0.8263,False,True,True
CLEAR CELL ODONTOGENIC CARCINOMA,Clear Cell Odontogenic Carcinoma,1,2,Clear Cell Odontogenic Carcinoma,1.0000,Odontogenic Carcinoma,0.8526,Clear Cell Calcifying Epithelial Odontogenic Tumor,0.8333,Ghost Cell Odontogenic Carcinoma,0.7713,Clear Cell Adenocarcinoma,0.7598,True,True,True
CLEAR CELL OVARIAN CANCER,Ovarian Clear Cell Tumor,1,2,Ovarian Clear Cell Tumor,0.9414,Ovarian Clear Cell Adenocarcinoma,0.9263,Malignant Ovarian Clear Cell Tumor,0.9194,Benign Ovarian Clear Cell Tumor,0.8656,Ovarian Clear Cell Cystadenocarcinoma,0.8418,True,True,True
CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,Clear Cell Papillary Renal Neoplasm,99,2,Papillary Renal Cell Carcinoma,0.9310,Clear Cell Papillary Renal Tumor,0.9243,Clear Cell Renal Cell Carcinoma,0.8866,Sporadic Papillary Renal Cell Carcinoma,0.8519,Type 1 Papillary Renal Cell Carcinoma,0.8492,False,False,False
CLEAR CELL RENAL CELL CARCINOMA,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,1.0000,Non-Clear Cell Renal Cell Carcinoma,0.9067,Renal Cell Carcinoma,0.8818,Early Stage Clear Cell Renal Cell Carcinoma,0.8555,Advanced Clear Cell Renal Cell Carcinoma,0.8511,True,True,True
CLEAR CELL SARCOMA,Clear Cell Sarcoma of Soft Tissue,1,2,Clear Cell Sarcoma of Soft Tissue,0.9133,Clear Cell Sarcoma of the Kidney,0.8799,Clear Cell Malignant Neoplasm,0.8179,Clear Cell Neoplasm,0.8103,Childhood Clear Cell Sarcoma of Soft Tissue,0.7982,True,True,True
CLEAR_CELL_CARCINOMA,Clear Cell Adenocarcinoma,1,2,Clear Cell Adenocarcinoma,0.8506,Clear Cell Malignant Neoplasm,0.8499,Clear Cell Neoplasm,0.8457,"Squamous Cell Carcinoma, Clear Cell Type",0.8080,Clear Cell Renal Cell Carcinoma,0.7899,True,True,True
CLEAR_CELL_RENAL_CELL_CARCINOMA,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,0.9150,Non-Clear Cell Renal Cell Carcinoma,0.8723,Renal Cell Carcinoma,0.8170,Grade 1 Clear Cell Renal Cell Carcinoma,0.8061,Advanced Clear Cell Renal Cell Carcinoma,0.8048,True,True,True
CLL,Chronic Lymphocytic Leukemia,1,2,Chronic Lymphocytic Leukemia,0.8151,Leukemia,0.7657,Chronic Leukemia,0.7642,Lymphoma,0.7510,Cutaneous Chronic Lymphocytic Leukemia,0.7436,True,True,True
CML,"Chronic Myelogenous Leukemia, BCR-ABL1 Positive",99,2,Chronic Leukemia,0.7053,Atypical Chronic Myeloid Leukemia,0.7012,Mast Cell Leukemia,0.6964,Chronic Monocytic Leukemia,0.6530,Myeloid Leukemia,0.6514,False,False,False
CMML,Chronic Myelomonocytic Leukemia,1,2,Chronic Myelomonocytic Leukemia,0.7289,Myeloproliferative Chronic Myelomonocytic Leukemia,0.7257,Chronic Monocytic Leukemia,0.6939,Myelodysplastic Chronic Myelomonocytic Leukemia,0.6895,Mast Cell Leukemia,0.6727,True,True,True
CNS,Malignant Central Nervous System Neoplasm,99,2,Nervous System Neoplasm,0.7084,Central Nervous System Neoplasm,0.7023,Central Nervous System Carcinoma,0.7007,Central Nervous System Sarcoma,0.6873,Cerebral Neoplasm,0.6808,False,False,False
CNS CANCER,Malignant Central Nervous System Neoplasm,99,2,Central Nervous System Carcinoma,0.8662,Central Nervous System Neoplasm,0.7968,Cerebral Neoplasm,0.7787,Nervous System Neoplasm,0.7617,Intracranial Neoplasm,0.7418,False,False,False
CNS EMBRYONAL NOS,Central Nervous System Embryonal Tumor,1,2,Central Nervous System Embryonal Tumor,0.8713,Childhood Central Nervous System Embryonal Tumor,0.8257,"Central Nervous System Embryonal Tumor, Not Elsewhere Classified",0.8189,Embryonal Neoplasm,0.8186,Central Nervous System Embryonal Carcinoma,0.8162,True,True,True
"CNS EMBRYONAL TUMOR, NOS","Central Nervous System Embryonal Tumor, Not Otherwise Specified",2,2,Central Nervous System Embryonal Tumor,0.9497,"Central Nervous System Embryonal Tumor, Not Otherwise Specified",0.9133,"Central Nervous System Embryonal Tumor, Not Elsewhere Classified",0.8977,Childhood Central Nervous System Embryonal Tumor,0.8963,"Childhood Central Nervous System Embryonal Tumor, Not Otherwise Specified",0.8771,False,True,True
CNS GERMINOMA,Central Nervous System Germinoma,1,2,Central Nervous System Germinoma,0.9677,Brain Germinoma,0.9252,Intracranial Germinoma,0.9151,Adult Central Nervous System Germinoma,0.8756,Childhood Central Nervous System Germinoma,0.8633,True,True,True
COAD,Colon Adenocarcinoma,99,2,Crohn Disease-Associated Colorectal Adenocarcinoma,0.6511,Adenocarcinoma,0.6400,Disseminated Adenocarcinoma,0.6276,Colorectal Adenocarcinoma,0.6266,Inflammatory Bowel Disease-Associated Colorectal Adenocarcinoma,0.6230,False,False,False
COAD_GS,Colon Adenocarcinoma,99,2,Colorectal Adenoma with Severe Dysplasia,0.5779,Hybrid Salivary Gland Carcinoma,0.5681,Disseminated Adenocarcinoma,0.5651,Colon Adenoma with Severe Dysplasia,0.5599,Sporadic Gastric Adenocarcinoma,0.5549,False,False,False
COLLECTING DUCT RENAL CELL CARCINOMA,Collecting Duct Carcinoma,1,2,Collecting Duct Carcinoma,0.9001,Renal Cell Carcinoma,0.8176,Tubulocystic Renal Cell Carcinoma,0.7953,Clear Cell Renal Cell Carcinoma,0.7703,Kidney Medullary Carcinoma,0.7684,True,True,True
COLON ADENOCARCINOMA,Colon Adenocarcinoma,1,2,Colon Adenocarcinoma,1.0000,Colorectal Adenocarcinoma,0.9220,Colon Carcinoma,0.9174,Advanced Colon Adenocarcinoma,0.8739,Cecum Adenocarcinoma,0.8520,True,True,True
COLON ADENOCARCINOMA IN SITU,Colon Adenocarcinoma,99,2,Adenocarcinoma In Situ,0.8474,Cecum Carcinoma In Situ,0.8029,Cervical Adenocarcinoma In Situ,0.7839,Carcinoma In Situ,0.7786,Stage 0 Colon Cancer AJCC v8,0.7681,False,False,False
COLON CANCER,Colon Carcinoma,1,2,Colon Carcinoma,0.9604,Colon Neoplasm,0.8995,Malignant Colon Neoplasm,0.8986,Colon Adenocarcinoma,0.8880,Colorectal Carcinoma,0.8680,True,True,True
COLON CARCINOMA,Colon Carcinoma,1,2,Colon Carcinoma,1.0000,Colon Adenocarcinoma,0.9174,Colorectal Carcinoma,0.9028,Malignant Colon Neoplasm,0.8920,Colon Neoplasm,0.8634,True,True,True
COLON MUCINOUS ADENOCARCINOMA,Colon Mucinous Adenocarcinoma,1,2,Colon Mucinous Adenocarcinoma,1.0000,Colorectal Mucinous Adenocarcinoma,0.9397,Mucinous Adenocarcinoma,0.8913,Appendix Mucinous Adenocarcinoma,0.8668,Cervical Mucinous Adenocarcinoma,0.8469,True,True,True
COLONIC TYPE ADENOCARCINOMA OF THE APPENDIX,Appendix Adenocarcinoma,2,2,Appendix Goblet Cell Adenocarcinoma,0.7849,Appendix Adenocarcinoma,0.7752,Colon Mucinous Adenocarcinoma,0.7577,Colon Adenocarcinoma,0.7532,Appendix Mucinous Adenocarcinoma,0.7402,False,True,True
COLON_CANCER,Colon Carcinoma,1,2,Colon Carcinoma,0.8897,Malignant Colon Neoplasm,0.8514,Colon Neoplasm,0.8469,Colorectal Carcinoma,0.8257,Colon Adenocarcinoma,0.8184,True,True,True
COLON_CARCINOMA,Colon Carcinoma,1,2,Colon Carcinoma,0.9392,Colorectal Carcinoma,0.8717,Malignant Colon Neoplasm,0.8611,Colon Adenocarcinoma,0.8547,Colon Neoplasm,0.8221,True,True,True
COLORECTAL ADENOCARCINOMA,Colorectal Adenocarcinoma,1,2,Colorectal Adenocarcinoma,1.0000,Colon Adenocarcinoma,0.9220,Colorectal Carcinoma,0.9077,Advanced Colorectal Adenocarcinoma,0.8824,Crohn Disease-Associated Colorectal Adenocarcinoma,0.8554,True,True,True
COLORECTAL CANCER,Colorectal Carcinoma,1,2,Colorectal Carcinoma,0.9624,Colorectal Neoplasm,0.8954,Malignant Colorectal Neoplasm,0.8897,Colorectal Adenocarcinoma,0.8763,Colon Carcinoma,0.8621,True,True,True
COLORECTAL CARCINOMA,Colorectal Carcinoma,1,2,Colorectal Carcinoma,1.0000,Colorectal Adenocarcinoma,0.9077,Colon Carcinoma,0.9028,Malignant Colorectal Neoplasm,0.8801,Colorectal Neoplasm,0.8634,True,True,True
COLORECTAL CARCINOMA OTHER,Colorectal Carcinoma,1,2,Colorectal Carcinoma,0.8556,Colorectal Neoplasm,0.8179,Childhood Colorectal Carcinoma,0.7705,Colorectal Adenocarcinoma,0.7697,Colon Carcinoma,0.7672,True,True,True
COLORECTAL HYPERMUTATED,Microsatellite Stable Colorectal Carcinoma,99,2,Hypermutated Colorectal Carcinoma,0.8667,Hereditary Colon Carcinoma,0.6599,Colorectal High Grade Intraepithelial Neoplasia,0.6552,Hereditary Malignant Neoplasm,0.6506,Colorectal Hodgkin Lymphoma,0.6448,False,False,False
COLORECTAL MSS,Microsatellite Stable Colorectal Carcinoma,1,2,Microsatellite Stable Colorectal Carcinoma,0.7978,Microsatellite Stable Colon Carcinoma,0.7866,Colorectal Sarcoma,0.7577,Metastatic Microsatellite Stable Colorectal Carcinoma,0.7549,Metastatic Microsatellite Stable Colon Carcinoma,0.7412,True,True,True
COLORECTAL NEUROENDOCRINE TUMOR,Colorectal Neuroendocrine Tumor,1,2,Colorectal Neuroendocrine Tumor,1.0000,Colorectal Neuroendocrine Neoplasm,0.9593,Colon Neuroendocrine Tumor,0.9252,Colorectal Neuroendocrine Carcinoma,0.8880,Colon Neuroendocrine Neoplasm,0.8861,True,True,True
COLORECTAL_ADENOCARCINOMA,Colorectal Adenocarcinoma,1,2,Colorectal Adenocarcinoma,0.9531,Colon Adenocarcinoma,0.8779,Colorectal Carcinoma,0.8610,Advanced Colorectal Adenocarcinoma,0.8465,Crohn Disease-Associated Colorectal Adenocarcinoma,0.8334,True,True,True
COLORECTAL_CANCER,Colorectal Carcinoma,1,2,Colorectal Carcinoma,0.8864,Colorectal Neoplasm,0.8557,Malignant Colorectal Neoplasm,0.8417,Colorectal Adenocarcinoma,0.7996,Colon Carcinoma,0.7861,True,True,True
COLUMNAR CELL VARIANT,Columnar Cell Variant Thyroid Gland Papillary Carcinoma,1,2,Columnar Cell Variant Thyroid Gland Papillary Carcinoma,0.7431,Breast Columnar Cell Lesion,0.7387,Columnar Cell Change of the Breast,0.7122,Polygonal Cell Carcinoma,0.6736,Breast Columnar Cell Hyperplasia,0.6721,True,True,True
COMBINED SMALL CELL LUNG CARCINOMA,Combined Lung Small Cell Carcinoma,1,2,Combined Lung Small Cell Carcinoma,0.9912,Combined Lung Small Cell and Squamous Cell Carcinoma,0.9114,Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma,0.8871,Combined Lung Carcinoma,0.8450,Lung Small Cell Carcinoma,0.8145,True,True,True
CONGENITAL FIBROSARCOMA,Congenital Peribronchial Myofibroblastic Tumor,99,2,Childhood Fibrosarcoma,0.8499,Infantile Fibrosarcoma,0.8498,Conventional Fibrosarcoma,0.8123,Fibrosarcoma,0.8085,Localized Fibrosarcoma,0.7774,False,False,False
CONVENTIONAL LEIOMYOSARCOMA,Conventional Leiomyosarcoma,1,2,Conventional Leiomyosarcoma,1.0000,Leiomyosarcoma,0.9201,Well Differentiated Leiomyosarcoma,0.8790,Non-Cutaneous Leiomyosarcoma,0.8747,Adult Leiomyosarcoma,0.8589,True,True,True
COPY-NUMBER HIGH SEROUS-LIKE,Endometrial Serous Adenocarcinoma,99,2,"Nodular Sclerosis Classic Hodgkin Lymphoma, Syncytial Variant",0.6103,Nodular Sclerosis Classic Hodgkin Lymphoma,0.5991,High Grade Cervical Squamous Intraepithelial Neoplasia,0.5842,Hairy Cell Leukemia Variant,0.5809,Secondary Choroidal Non-Hodgkin Lymphoma,0.5785,False,False,False
COPY-NUMBER LOW ENDOMETRIOD,Endometrial Endometrioid Adenocarcinoma,99,2,Low Grade Endometrioid Adenocarcinoma,0.6566,Endometrial Low Grade Endometrioid Adenocarcinoma,0.6339,Ovarian Low Grade Endometrioid Adenocarcinoma,0.6205,Endometrioid Tumor,0.6019,No Specific Molecular Profile Endometrial Endometrioid Adenocarcinoma,0.6002,False,False,False
CRANIOPHARYNGIOMA,Craniopharyngioma,1,2,Craniopharyngioma,1.0000,Childhood Craniopharyngioma,0.9409,Adult Craniopharyngioma,0.9205,Papillary Craniopharyngioma,0.9133,Carcinoma Arising from Craniopharyngioma,0.8868,True,True,True
"CRANIOPHARYNGIOMA, ADAMANTINOMATOUS TYPE",Adamantinomatous Craniopharyngioma,1,2,Adamantinomatous Craniopharyngioma,0.9569,Adult Adamantinomatous Craniopharyngioma,0.9206,Childhood Adamantinomatous Craniopharyngioma,0.8880,Adamantinoma,0.7832,Recurrent Adamantinomatous Craniopharyngioma,0.7603,True,True,True
CRC HM,Microsatellite Stable Colorectal Carcinoma,99,2,Hypermutated Colorectal Carcinoma,0.7161,Hereditary Colon Carcinoma,0.6880,Colorectal Hodgkin Lymphoma,0.6739,Colorectal Medullary Carcinoma,0.6708,Refractory Mixed Cellularity Classic Hodgkin Lymphoma,0.6692,False,False,False
CRC MSS,Microsatellite Stable Colorectal Carcinoma,2,2,Microsatellite Stable Colon Carcinoma,0.7710,Microsatellite Stable Colorectal Carcinoma,0.7689,Metastatic Microsatellite Stable Colorectal Carcinoma,0.7297,Metastatic Microsatellite Stable Colon Carcinoma,0.7272,Unresectable Microsatellite Stable Colorectal Carcinoma,0.7060,False,True,True
CRIBIFORM MORULAR,Thyroid Gland Cribriform Morular Carcinoma,1,2,Thyroid Gland Cribriform Morular Carcinoma,0.6963,Cribriform Carcinoma,0.6434,Invasive Breast Cribriform Carcinoma,0.6181,Gallbladder Cribriform Carcinoma,0.6035,Non-Invasive Cribriform Carcinoma,0.5936,True,True,True
CSCC,Skin Squamous Cell Carcinoma,99,2,Microsatellite Stable Colorectal Carcinoma,0.6673,Carcinoma,0.6619,Solid Carcinoma,0.6405,Carcinoma Simplex,0.6395,Secondary Carcinoma,0.6319,False,False,False
CUTANEOUS MALIGNANCY OF HAIR MATRIX CELLS,Pilomatrical Carcinoma,99,2,Malignant Hair Follicle Neoplasm,0.7402,Hairy Cell Leukemia,0.6370,Cutaneous Hematopoietic and Lymphoid Cell Neoplasm,0.6347,Trichoblastic Carcinoma,0.6334,Hair Follicle Neoplasm,0.6333,False,False,False
CUTANEOUS MELANOMA,Cutaneous Melanoma,1,2,Cutaneous Melanoma,1.0000,Dermal Melanoma,0.9082,Melanoma,0.8940,Non-Cutaneous Melanoma,0.8348,Ocular Melanoma,0.8171,True,True,True
CUTANEOUS SQUAMOUS CELL,Skin Squamous Cell Carcinoma,1,2,Skin Squamous Cell Carcinoma,0.8627,Squamous Cell Neoplasm,0.7987,Squamous Cell Carcinoma,0.7837,Skin Carcinoma,0.7304,Skin Spindle Cell Squamous Cell Carcinoma,0.7264,True,True,True
CUTANEOUS SQUAMOUS CELL CARCINOMA,Skin Squamous Cell Carcinoma,1,2,Skin Squamous Cell Carcinoma,0.9493,Squamous Cell Carcinoma,0.8285,Skin Carcinoma,0.8013,Skin Clear Cell Squamous Cell Carcinoma,0.7969,Advanced Skin Squamous Cell Carcinoma,0.7638,True,True,True
CUTANEOUS T CELL LYMPHOMA,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,2,2,Cutaneous T Lymphoblastic Leukemia/Lymphoma,0.8674,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,0.8614,Cutaneous Adult T-Cell Leukemia/Lymphoma,0.8039,Early Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,0.7983,Primary Cutaneous Gamma-Delta T-Cell Lymphoma,0.7870,False,True,True
CYSTADENOCARCINOMA,Cystadenocarcinoma,1,2,Cystadenocarcinoma,1.0000,Mucinous Cystadenocarcinoma,0.8910,Papillary Cystadenocarcinoma,0.8898,Ovarian Cystadenocarcinoma,0.8870,Cystadenoma,0.8780,True,True,True
"CYSTADENOCARCINOMA, CLEAR CELL",Ovarian Clear Cell Cystadenocarcinoma,1,2,Ovarian Clear Cell Cystadenocarcinoma,0.8906,Clear Cell Adenocarcinoma,0.8315,Clear Cell Papillary Cystadenoma,0.8303,Clear Cell Adenoma,0.8264,Cystadenocarcinoma,0.8023,True,True,True
"CYSTADENOCARCINOMA, MUCINOUS",Mucinous Cystadenocarcinoma,1,2,Mucinous Cystadenocarcinoma,0.9830,Mucinous Cystadenoma,0.9180,Appendix Mucinous Cystadenocarcinoma,0.8878,Ovarian Mucinous Cystadenocarcinoma,0.8842,Papillary Mucinous Cystadenocarcinoma,0.8807,True,True,True
DEDIFFERENTIATED,Dedifferentiated Chondrosarcoma,99,2,Endometrial Dedifferentiated Carcinoma,0.7849,Dedifferentiated Chordoma,0.7630,Dedifferentiated Liposarcoma,0.7539,Ovarian Dedifferentiated Carcinoma,0.7396,Dedifferentiated Leiomyosarcoma,0.7389,False,False,False
DEDIFFERENTIATED CHONDROSARCOMA,Dedifferentiated Chondrosarcoma,1,2,Dedifferentiated Chondrosarcoma,1.0000,Mesenchymal Chondrosarcoma,0.8003,Chondrosarcoma,0.7903,Dedifferentiated Chordoma,0.7711,Mesenchymal Chondrosarcoma of Bone,0.7696,True,True,True
DEDIFFERENTIATED LIPOSARCOMA,Dedifferentiated Liposarcoma,1,2,Dedifferentiated Liposarcoma,1.0000,Advanced Dedifferentiated Liposarcoma,0.9119,Metastatic Dedifferentiated Liposarcoma,0.9040,Locally Advanced Dedifferentiated Liposarcoma,0.8731,Dedifferentiated Leiomyosarcoma,0.8391,True,True,True
DERMATOFIBROMA,Skin Fibrous Histiocytoma,99,2,Dermatomyofibroma,0.9412,Elastofibroma,0.8259,Dermal Fibroma,0.8218,Gliofibroma,0.7589,Conventional Dermatofibrosarcoma Protuberans,0.7547,False,False,False
DERMATOFIBROSARCOMA PROTUBERANS,Dermatofibrosarcoma Protuberans,1,2,Dermatofibrosarcoma Protuberans,1.0000,Conventional Dermatofibrosarcoma Protuberans,0.9679,Pigmented Dermatofibrosarcoma Protuberans,0.9446,Fibrosarcomatous Dermatofibrosarcoma Protuberans,0.9354,Plaque-Like Dermatofibrosarcoma Protuberans,0.9337,True,True,True
DESMOID FIBROMATOSIS,Desmoid Fibromatosis,1,2,Desmoid Fibromatosis,1.0000,Desmoplastic Fibroma,0.9401,Desmoplastic Fibroblastoma,0.8955,Locally Invasive Desmoid-Type Fibromatosis,0.8802,Jaw Desmoplastic Fibroma,0.8789,True,True,True
DESMOID TUMOR,Desmoid Fibromatosis,1,2,Desmoid Fibromatosis,0.9255,Desmoplastic Fibroma,0.8945,Desmoplastic Fibroblastoma,0.8888,Locally Invasive Desmoid-Type Fibromatosis,0.8332,Desmoplastic Nevus,0.8222,True,True,True
DESMOID/AGGRESSIVE FIBROMATOSIS,Desmoid Fibromatosis,1,2,Desmoid Fibromatosis,0.9229,Desmoplastic Fibroma,0.9094,Desmoplastic Fibroblastoma,0.8780,Locally Invasive Desmoid-Type Fibromatosis,0.8727,Jaw Desmoplastic Fibroma,0.8667,True,True,True
DESMOPLASTIC MELANOMA,Desmoplastic Melanoma,1,2,Desmoplastic Melanoma,1.0000,Desmoplastic Neurotropic Melanoma,0.8576,Desmoplastic Nevus,0.8395,Desmoplastic Mesothelioma,0.8296,Desmoplastic Fibroblastoma,0.7943,True,True,True
DESMOPLASTIC SMALL ROUND CELL TUMOR,Desmoplastic Small Round Cell Tumor,1,2,Desmoplastic Small Round Cell Tumor,1.0000,Adult Desmoplastic Small Round Cell Tumor,0.9348,Childhood Desmoplastic Small Round Cell Tumor,0.8959,Metastatic Desmoplastic Small Round Cell Tumor,0.8867,Unresectable Desmoplastic Small Round Cell Tumor,0.8604,True,True,True
DESMOPLASTIC SMALL-ROUND-CELL TUMOR,Desmoplastic Small Round Cell Tumor,1,2,Desmoplastic Small Round Cell Tumor,0.9859,Adult Desmoplastic Small Round Cell Tumor,0.9280,Childhood Desmoplastic Small Round Cell Tumor,0.8884,Metastatic Desmoplastic Small Round Cell Tumor,0.8722,Unresectable Desmoplastic Small Round Cell Tumor,0.8548,True,True,True
DESMOPLASTIC/NODULAR MEDULLOBLASTOMA,Desmoplastic/Nodular Medulloblastoma,1,2,Desmoplastic/Nodular Medulloblastoma,1.0000,Medulloblastoma with Extensive Nodularity,0.7941,"Medulloblastoma, Non-WNT/Non-SHH",0.7775,Medulloblastoma,0.7568,Classic Medulloblastoma,0.7445,True,True,True
DIFFSE LARGE B-CELL LYMPHOMA,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.8567,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.8216,Childhood Diffuse Large B-Cell Lymphoma,0.7951,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.7930,Digestive System Diffuse Large B-Cell Lymphoma,0.7893,True,True,True
DIFFUSE ASTROCYTOMA,Diffuse Astrocytoma,1,2,Diffuse Astrocytoma,1.0000,Adult Diffuse Astrocytoma,0.9007,Diffuse Glioma,0.8649,Childhood Diffuse Astrocytoma,0.8614,Astrocytoma,0.8424,True,True,True
"DIFFUSE ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 2",3,2,"Astrocytoma, IDH-Mutant",0.9526,"Gemistocytic Astrocytoma, IDH-Mutant",0.8864,"Astrocytoma, IDH-Mutant, Grade 2",0.8858,"Diffuse Astrocytoma, IDH-Wildtype",0.8811,"Astrocytoma, IDH-Mutant, Grade 3",0.8758,False,True,True
DIFFUSE GLIOMA,Diffuse Glioma,1,2,Diffuse Glioma,1.0000,Diffuse Astrocytoma,0.8649,Glioma,0.8574,Diffuse Midline Glioma,0.8516,Unresectable Diffuse Glioma,0.8078,True,True,True
DIFFUSE INTRINSIC PONTINE GLIOMA,Diffuse Intrinsic Pontine Glioma,1,2,Diffuse Intrinsic Pontine Glioma,1.0000,Adult Diffuse Intrinsic Pontine Glioma,0.9099,Childhood Diffuse Intrinsic Pontine Glioma,0.9020,Refractory Diffuse Intrinsic Pontine Glioma,0.8435,Recurrent Diffuse Intrinsic Pontine Glioma,0.8385,True,True,True
DIFFUSE LARGE B-CELL LYMPHOMA,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,1.0000,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.9301,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.8908,Breast Diffuse Large B-Cell Lymphoma,0.8711,Adult Diffuse Large B-Cell Lymphoma,0.8688,True,True,True
DIFFUSE LARGE B-CELL LYMPHOMA DLBCL,Diffuse Large B-Cell Lymphoma,1,2,Diffuse Large B-Cell Lymphoma,0.9320,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.8784,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.8479,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.8371,Breast Diffuse Large B-Cell Lymphoma,0.8326,True,True,True
DIFFUSE LARGE B-CELL LYMPHOMA DLBCL NOS ANY ANATOMIC SITE NODAL OR EXTRANODAL,Diffuse Large B-Cell Lymphoma,4,2,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.8391,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified Molecular Subtypes",0.8311,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified by Gene Expression Profile",0.8049,Diffuse Large B-Cell Lymphoma,0.7998,"EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified",0.7662,False,False,True
