"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"CANCER OF UNKNOWN PRIMARY, NOS","Carcinoma","NCIT:C2916","NCIT",NA,NA,NA
"PROSTATE ADENOCARCINOMA","Prostate Adenocarcinoma","NCIT:C2919","NCIT",NA,NA,NA
"PRAD","Prostate Adenocarcinoma","NCIT:C2919","NCIT",NA,NA,NA
"PROSTATE ADENOCARCINOMA, OTHER SUBTYPE","Prostate Adenocarcinoma","NCIT:C2919","NCIT",NA,NA,NA
"ADENOCARCINOMA- PROSTATE","Prostate Adenocarcinoma","NCIT:C2919","NCIT",NA,NA,NA
"PROSTATE_ADENOCARCINOMA","Prostate Adenocarcinoma","NCIT:C2919","NCIT",NA,NA,NA
"SKIN CANCER","Malignant Skin Neoplasm","NCIT:C2920","NCIT",NA,NA,NA
"SKIN_CANCER","Malignant Skin Neoplasm","NCIT:C2920","NCIT",NA,NA,NA
"BRONCHIOLOALVEOLAR_ADENOCARCINOMA","Minimally Invasive Lung Adenocarcinoma","NCIT:C2923","NCIT",NA,NA,NA
"DUCTAL CARCINOMA IN SITU DCIS","Breast Ductal Carcinoma In Situ","NCIT:C2924","NCIT",NA,NA,NA
"BREAST DUCTAL CARCINOMA IN SITU","Breast Ductal Carcinoma In Situ","NCIT:C2924","NCIT",NA,NA,NA
"NON-SMALL CELL LUNG CANCER","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NSCLC","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"LUNG_NSC","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON SMALL CELL LUNG CANCER OTHER","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON-SMALL CELL LUNG","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON-SMALL CELL LUNG CANCER NSCLC, UNSPECIFIED","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON-SMALL_CELL LUNG_CANCER","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON_SMALL_CELL_LUNG_CANCER","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"NON SMALL CELL LUNG CANCER","Lung Non-Small Cell Carcinoma","NCIT:C2926","NCIT",NA,NA,NA
"PAPILLARY CARCINOMA","Papillary Carcinoma","NCIT:C2927","NCIT",NA,NA,NA
"PAPILLARY_CARCINOMA","Papillary Carcinoma","NCIT:C2927","NCIT",NA,NA,NA
"CARCINOMA, PAPILLARY","Papillary Carcinoma","NCIT:C2927","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA","Squamous Cell Carcinoma","NCIT:C2929","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, NOS","Squamous Cell Carcinoma","NCIT:C2929","NCIT",NA,NA,NA
"SQUAMOUS_CELL_CARCINOMA","Squamous Cell Carcinoma","NCIT:C2929","NCIT",NA,NA,NA
"TRANSITIONAL CELL CARCINOMA","Transitional Cell Carcinoma","NCIT:C2930","NCIT",NA,NA,NA
"TRANSITIONAL_CELL_CARCINOMA","Transitional Cell Carcinoma","NCIT:C2930","NCIT",NA,NA,NA
"CHONDROBLASTOMA","Chondroblastoma","NCIT:C2945","NCIT",NA,NA,NA
"CHONDROSARCOMA","Chondrosarcoma","NCIT:C2946","NCIT",NA,NA,NA
"CHORDOMA","Chordoma","NCIT:C2947","NCIT",NA,NA,NA
"CHORIOCARCINOMA","Choriocarcinoma","NCIT:C2948","NCIT",NA,NA,NA
"CHORIOCARCINOMA","Choriocarcinoma","NCIT:C2948","NCIT",NA,NA,NA
"COLORECTAL CANCER","Colorectal Carcinoma","NCIT:C2955","NCIT",NA,NA,NA
"COLORECTAL CARCINOMA","Colorectal Carcinoma","NCIT:C2955","NCIT",NA,NA,NA
"COLORECTAL CARCINOMA OTHER","Colorectal Carcinoma","NCIT:C2955","NCIT",NA,NA,NA
"COLORECTAL_CANCER","Colorectal Carcinoma","NCIT:C2955","NCIT",NA,NA,NA
"CRANIOPHARYNGIOMA","Craniopharyngioma","NCIT:C2964","NCIT",NA,NA,NA
"ADENOID CYSTIC CARCINOMA","Adenoid Cystic Carcinoma","NCIT:C2970","NCIT",NA,NA,NA
"ACYC","Adenoid Cystic Carcinoma","NCIT:C2970","NCIT",NA,NA,NA
"CYSTADENOCARCINOMA","Cystadenocarcinoma","NCIT:C2971","NCIT",NA,NA,NA
"PHYLLODES","Phyllodes Tumor","NCIT:C2977","NCIT",NA,NA,NA
"YOLK SAC TUMOR","Yolk Sac Tumor","NCIT:C3011","NCIT",NA,NA,NA
"YOLK SAC TUMOR","Yolk Sac Tumor","NCIT:C3011","NCIT",NA,NA,NA
"EPENDYMOMA","Ependymoma","NCIT:C3017","NCIT",NA,NA,NA
"EPM","Ependymoma","NCIT:C3017","NCIT",NA,NA,NA
"FIBROMATOSIS","Fibromatosis","NCIT:C3042","NCIT",NA,NA,NA
"FIBROSARCOMA","Fibrosarcoma","NCIT:C3043","NCIT",NA,NA,NA
"FIBROSARCOMA_CANCER","Fibrosarcoma","NCIT:C3043","NCIT",NA,NA,NA
"GANGLIONEUROMA","Ganglioneuroma","NCIT:C3049","NCIT",NA,NA,NA
"GIANT CELL TUMOUR","Giant Cell Tumor","NCIT:C3055","NCIT",NA,NA,NA
"GIANT_CELL_TUMOUR","Giant Cell Tumor","NCIT:C3055","NCIT",NA,NA,NA
"GLIOBLASTOMA MULTIFORME","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GLIOBLASTOMA","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GB","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GBM","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"TREATED PRIMARY GBM","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GLIOBLASTOMA MULTIFORME GBM","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GLIOBLASTOMA_MULTIFORME","Glioblastoma","NCIT:C3058","NCIT",NA,NA,NA
"GLIOMA","Glioma","NCIT:C3059","NCIT",NA,NA,NA
"ENCAPSULATED GLIOMA","Glioma","NCIT:C3059","NCIT",NA,NA,NA
"GRANULOSA CELL TUMOR","Granulosa Cell Tumor","NCIT:C3070","NCIT",NA,NA,NA
"GRANULOSA_CELL_TUMOUR","Granulosa Cell Tumor","NCIT:C3070","NCIT",NA,NA,NA
"GRANULOSA_CELL_TUMOR","Granulosa Cell Tumor","NCIT:C3070","NCIT",NA,NA,NA
"HEMANGIOMA","Hemangioma","NCIT:C3085","NCIT",NA,NA,NA
"ANGIOSARCOMA","Angiosarcoma","NCIT:C3088","NCIT",NA,NA,NA
"HEPATOCELLULAR CARCINOMA","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"HCC","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"LIHC","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"HEPTOCELLULAR CARCINOMA","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"HEPATOCELLULAR_CARCINOMA","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"HEPATOCELLULAR_CANCER","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"LIVER HEPATOCELLULAR CARCINOMA","Hepatocellular Carcinoma","NCIT:C3099","NCIT",NA,NA,NA
"LANGERHANS CELL HISTIOCYTOSIS","Langerhans Cell Histiocytosis","NCIT:C3107","NCIT",NA,NA,NA
"KERATOACANTHOMA","Keratoacanthoma","NCIT:C3146","NCIT",NA,NA,NA
"LEIOMYOSARCOMA","Leiomyosarcoma","NCIT:C3158","NCIT",NA,NA,NA
"LEIOMYOSARCOMA LMS","Leiomyosarcoma","NCIT:C3158","NCIT",NA,NA,NA
"POORLY DIFFERENTIATED OR PLEOMORPHIC OR EPITHELIOID LEIOMYOSARCOMA","Leiomyosarcoma","NCIT:C3158","NCIT",NA,NA,NA
"SARC_LMS","Leiomyosarcoma","NCIT:C3158","NCIT",NA,NA,NA
"LEUKEMIA","Leukemia","NCIT:C3161","NCIT",NA,NA,NA
"LEUKEMIA_OTHER","Leukemia","NCIT:C3161","NCIT",NA,NA,NA
"LEUKAEMIA","Leukemia","NCIT:C3161","NCIT",NA,NA,NA
"CLL","Chronic Lymphocytic Leukemia","NCIT:C3163","NCIT",NA,NA,NA
"ACUTE LYMPHOID LEUKEMIA","Acute Lymphoblastic Leukemia","NCIT:C3167","NCIT",NA,NA,NA
"ALL","Acute Lymphoblastic Leukemia","NCIT:C3167","NCIT",NA,NA,NA
"ACUTE LYMPHOBLASTIC LEUKEMIA","Acute Lymphoblastic Leukemia","NCIT:C3167","NCIT",NA,NA,NA
"ACUTE_LYMPHOBLASTIC_LEUKAEMIA","Acute Lymphoblastic Leukemia","NCIT:C3167","NCIT",NA,NA,NA
"ACUTE MEGAKARYOBLASTIC LEUKEMIA","Acute Megakaryoblastic Leukemia","NCIT:C3170","NCIT",NA,NA,NA
"ACUTE MEGAKARYOBLASTIC LEUKAEMIA","Acute Megakaryoblastic Leukemia","NCIT:C3170","NCIT",NA,NA,NA
"M7","Acute Megakaryoblastic Leukemia","NCIT:C3170","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC","Acute Megakaryoblastic Leukemia","NCIT:C3170","NCIT",NA,NA,NA
"ACUTE MEGAKARYOBLASTIC LEUKAEMIA","Acute Megakaryoblastic Leukemia","NCIT:C3170","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKEMIA","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"AML","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE MYELOBLASTIC LEUKEMIA","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE_MYELOID_LEUKAEMIA","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKEMIAS","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"AMLM","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKAEMIA, NOS","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"LAML","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"CHRONIC_MYELOID_LEUKAEMIA","Chronic Myelogenous Leukemia","NCIT:C3174","NCIT",NA,NA,NA
"CHRONIC MYELOGENOUS LEUKEMIA","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCIT:C3174","NCIT",NA,NA,NA
"CML","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCIT:C3174","NCIT",NA,NA,NA
"CHRONIC MYELOGENOUS LEUKEMIA CML","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCIT:C3174","NCIT",NA,NA,NA
"CHRONIC MYELOID LEUKEMIA, BCR-ABL1+","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCIT:C3174","NCIT",NA,NA,NA
"CHRONIC MYELOMONOCYTIC LEUKEMIA","Chronic Myelomonocytic Leukemia","NCIT:C3178","NCIT",NA,NA,NA
"CMML","Chronic Myelomonocytic Leukemia","NCIT:C3178","NCIT",NA,NA,NA
"CHRONIC MYELOMONOCYTIC LEUKAEMIA","Chronic Myelomonocytic Leukemia","NCIT:C3178","NCIT",NA,NA,NA
"PLASMA_CELL_LEUKEMIA","Plasma Cell Leukemia","NCIT:C3180","NCIT",NA,NA,NA
"ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12; PML-RARA","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"APL WITH PML-RARA","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"M3","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"PRO MYELOCYTIC LEUKEMIA","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC","Acute Promyelocytic Leukemia with PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"T-ALL","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"ACUTE_LYMPHOBLASTIC_T_CELL_LEUKAEMIA","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"T-CELL_ALL","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"T-CELL ACUTE LYMPHOID LEUKEMIA","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"TALL","T Acute Lymphoblastic Leukemia","NCIT:C3183","NCIT",NA,NA,NA
"ADULT T-CELL LEUKEMIA/LYMPHOMA","Adult T-Cell Leukemia/Lymphoma","NCIT:C3184","NCIT",NA,NA,NA
"ADULT_T_CELL_LYMPHOMA-LEUKAEMIA","Adult T-Cell Leukemia/Lymphoma","NCIT:C3184","NCIT",NA,NA,NA
"ATL","Adult T-Cell Leukemia/Lymphoma","NCIT:C3184","NCIT",NA,NA,NA
"LIPOSARCOMA","Liposarcoma","NCIT:C3194","NCIT",NA,NA,NA
"SARCOMA LIPO","Liposarcoma","NCIT:C3194","NCIT",NA,NA,NA
"SARC LS","Liposarcoma","NCIT:C3194","NCIT",NA,NA,NA
"LYMPHOMA","Lymphoma","NCIT:C3208","NCIT",NA,NA,NA
"MALIGNANT LYMPHOMA","Lymphoma","NCIT:C3208","NCIT",NA,NA,NA
"LYMPHATIC CANCER, NOS","Lymphoma","NCIT:C3208","NCIT",NA,NA,NA
"LYMPHOMA_UNSPECIFIED","Lymphoma","NCIT:C3208","NCIT",NA,NA,NA
"LYMPHOID CANCER","Lymphoma","NCIT:C3208","NCIT",NA,NA,NA
"FOLLICULAR LYMPHOMA","Follicular Lymphoma","NCIT:C3209","NCIT",NA,NA,NA
"FL","Follicular Lymphoma","NCIT:C3209","NCIT",NA,NA,NA
"B_CELL_FOLLICULAR","Follicular Lymphoma","NCIT:C3209","NCIT",NA,NA,NA
"NON-HODGKIN LYMPHOMA","Non-Hodgkin Lymphoma","NCIT:C3211","NCIT",NA,NA,NA
"NHL","Non-Hodgkin Lymphoma","NCIT:C3211","NCIT",NA,NA,NA
"NON_HODGKIN_LYMPHOMA","Non-Hodgkin Lymphoma","NCIT:C3211","NCIT",NA,NA,NA
"NON-HODGKINS LYMPHOMA","Non-Hodgkin Lymphoma","NCIT:C3211","NCIT",NA,NA,NA
"MEDULLOBLASTOMA","Medulloblastoma","NCIT:C3222","NCIT",NA,NA,NA
"MBL","Medulloblastoma","NCIT:C3222","NCIT",NA,NA,NA
"MELANOMA","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MALIGNANT MELANOMA","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MELANOTIC MELANOMA","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MALIGNANT MELANOTIC MELANOMA","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MALIGNANT_MELANOMA","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MELANOMA OTHER","Melanoma","NCIT:C3224","NCIT",NA,NA,NA
"MENINGIOMA","Meningioma","NCIT:C3230","NCIT",NA,NA,NA
"MENINGOTHELIAL TUMOR","Meningioma","NCIT:C3230","NCIT",NA,NA,NA
"PLASMA CELL MYELOMA","Plasma Cell Myeloma","NCIT:C3242","NCIT",NA,NA,NA
"MULTIPLE MYELOMA","Plasma Cell Myeloma","NCIT:C3242","NCIT",NA,NA,NA
"MYELOMA","Plasma Cell Myeloma","NCIT:C3242","NCIT",NA,NA,NA
"PLASMA_CELL_MYELOMA","Plasma Cell Myeloma","NCIT:C3242","NCIT",NA,NA,NA
"MULTIPLE_MYELOMA","Plasma Cell Myeloma","NCIT:C3242","NCIT",NA,NA,NA
"MYCOSIS FUNGOIDES","Mycosis Fungoides","NCIT:C3246","NCIT",NA,NA,NA
"MYCOSIS_FUNGOIDES","Mycosis Fungoides","NCIT:C3246","NCIT",NA,NA,NA
"MYELODYSPLASTIC SYNDROMES","Myelodysplastic Syndrome","NCIT:C3247","NCIT",NA,NA,NA
"MDS","Myelodysplastic Syndrome","NCIT:C3247","NCIT",NA,NA,NA
"S_T_MDS","Myelodysplastic Syndrome","NCIT:C3247","NCIT",NA,NA,NA
"AML WITHOUT MATURATION","Acute Myeloid Leukemia without Maturation","NCIT:C3249","NCIT",NA,NA,NA
"AML WITH MATURATION","Acute Myeloid Leukemia with Maturation","NCIT:C3250","NCIT",NA,NA,NA
"M2","Acute Myeloid Leukemia with Maturation","NCIT:C3250","NCIT",NA,NA,NA
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC","Acute Myeloid Leukemia with Maturation","NCIT:C3250","NCIT",NA,NA,NA
"UNKNOWN TUMOR","Neoplasm","NCIT:C3262","NCIT",NA,NA,NA
"EMBRYONAL TUMOR","Embryonal Neoplasm","NCIT:C3264","NCIT",NA,NA,NA
"EMBT","Embryonal Neoplasm","NCIT:C3264","NCIT",NA,NA,NA
"WILMS' TUMOR","Wilms Tumor","NCIT:C3267","NCIT",NA,NA,NA
"WILMS TUMOR","Wilms Tumor","NCIT:C3267","NCIT",NA,NA,NA
"WT","Wilms Tumor","NCIT:C3267","NCIT",NA,NA,NA
"WILMS' TUMORS","Wilms Tumor","NCIT:C3267","NCIT",NA,NA,NA
"WILMS","Wilms Tumor","NCIT:C3267","NCIT",NA,NA,NA
"SCHWANNOMA","Schwannoma","NCIT:C3269","NCIT",NA,NA,NA
"NEUROBLASTOMA","Neuroblastoma","NCIT:C3270","NCIT",NA,NA,NA
"NBL","Neuroblastoma","NCIT:C3270","NCIT",NA,NA,NA
"NEUROBLASTOMAÃ‚Â ","Neuroblastoma","NCIT:C3270","NCIT",NA,NA,NA
"OLIGODENDROGLIOMA","Oligodendroglioma","NCIT:C3288","NCIT",NA,NA,NA
"PAGET DISEASE OF THE NIPPLE","Nipple Paget Disease","NCIT:C3301","NCIT",NA,NA,NA
"EXTRAMAMMARY PAGET DISEASE","Extramammary Paget Disease","NCIT:C3302","NCIT",NA,NA,NA
"PARAGANGLIOMA","Paraganglioma","NCIT:C3308","NCIT",NA,NA,NA
"PHEOCHROMOCYTOMA","Adrenal Gland Pheochromocytoma","NCIT:C3326","NCIT",NA,NA,NA
"PINEAL TUMOR","Pineal Region Neoplasm","NCIT:C3328","NCIT",NA,NA,NA
"PITUITARY ADENOMA","Pituitary Neuroendocrine Tumor","NCIT:C3329","NCIT",NA,NA,NA
"POLYCYTHEMIA VERA","Polycythemia Vera","NCIT:C3336","NCIT",NA,NA,NA
"RHABDOMYOSARCOMA","Rhabdomyosarcoma","NCIT:C3359","NCIT",NA,NA,NA
"RMS","Rhabdomyosarcoma","NCIT:C3359","NCIT",NA,NA,NA
"SEZARY SYNDROME","Sezary Syndrome","NCIT:C3366","NCIT",NA,NA,NA
"SEZARY_SYNDROME","Sezary Syndrome","NCIT:C3366","NCIT",NA,NA,NA
"T-CELL, NON-HODGKINS, CUTANEOUS, SEZARY SYNDROME","Sezary Syndrome","NCIT:C3366","NCIT",NA,NA,NA
"SOFT TISSUE TUMOR","Soft Tissue Neoplasm","NCIT:C3377","NCIT",NA,NA,NA
"SOMATOSTATINOMA","Somatostatin-Producing Neuroendocrine Tumor","NCIT:C3379","NCIT",NA,NA,NA
"SYNOVIAL SARCOMA","Synovial Sarcoma","NCIT:C3400","NCIT",NA,NA,NA
"SYNOVIAL_SARCOMA","Synovial Sarcoma","NCIT:C3400","NCIT",NA,NA,NA
"TERATOMA","Teratoma","NCIT:C3403","NCIT",NA,NA,NA
"ESSENTIAL THROMBOCYTHEMIA","Essential Thrombocythemia","NCIT:C3407","NCIT",NA,NA,NA
"ESSENTIAL_THROMBOCYTHAEMIA","Essential Thrombocythemia","NCIT:C3407","NCIT",NA,NA,NA
"ESSENTIAL THROMBOCYTHAEMIA","Essential Thrombocythemia","NCIT:C3407","NCIT",NA,NA,NA
"THYMOMA","Thymoma","NCIT:C3411","NCIT",NA,NA,NA
"THYM","Thymoma","NCIT:C3411","NCIT",NA,NA,NA
"THYMIC TUMOR","Thymus Neoplasm","NCIT:C3412","NCIT",NA,NA,NA
"OTHER UTERINE TUMOR","Uterine Neoplasm","NCIT:C3435","NCIT",NA,NA,NA
"HEAD AND NECK SQUAMOUS CELL CARCINOMA","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"HEAD & NECK SQUAMOUS CELL CARCINOMA","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"HEAD AND NECK SQUAMOUS CELL CARCINOMAÃƒÅ ","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"SCC HEAD AND NECK","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"HEAD AND NECK SQUAMOUS CELL CARCINOMA OF UNKNOWN PRIMARY","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"HEAD AND NECK SQUAMOUS","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"HNSC","Head and Neck Squamous Cell Carcinoma","NCIT:C34447","NCIT",NA,NA,NA
"CARCINOSARCOMA-MALIGNANT_MESODERMAL_MIXED_TUMOUR","Carcinosarcoma","NCIT:C34448","NCIT",NA,NA,NA
"B-CELL NON-HODGKIN LYMPHOMA","B-Cell Non-Hodgkin Lymphoma","NCIT:C3457","NCIT",NA,NA,NA
"B_CELL_LYMPHOMA_UNSPECIFIED","B-Cell Non-Hodgkin Lymphoma","NCIT:C3457","NCIT",NA,NA,NA
"B-CELL, NON-HODGKINS","B-Cell Non-Hodgkin Lymphoma","NCIT:C3457","NCIT",NA,NA,NA
"B_CELL_NON_HODGKIN_LYMPHOMA","B-Cell Non-Hodgkin Lymphoma","NCIT:C3457","NCIT",NA,NA,NA
"IMMUNOBLASTIC","Immunoblastic Lymphoma","NCIT:C3461","NCIT",NA,NA,NA
"T-CELL_LYMPHOMA_OTHER","T-Cell Non-Hodgkin Lymphoma","NCIT:C3466","NCIT",NA,NA,NA
"T-CELL, NON-HODGKINS, CUTANEOUS","Cutaneous T-Cell Non-Hodgkin Lymphoma","NCIT:C3467","NCIT",NA,NA,NA
"CUTANEOUS T CELL LYMPHOMA","Primary Cutaneous T-Cell Non-Hodgkin Lymphoma","NCIT:C3467","NCIT",NA,NA,NA
"T_CELL_CUTANEOUS","Primary Cutaneous T-Cell Non-Hodgkin Lymphoma","NCIT:C3467","NCIT",NA,NA,NA
"CHOROID PLEXUS TUMOR","Choroid Plexus Neoplasm","NCIT:C3473","NCIT",NA,NA,NA
"GRANULAR CELL TUMOR","Granular Cell Tumor","NCIT:C3474","NCIT",NA,NA,NA
"LUNG SQUAMOUS CELL CARCINOMA","Lung Squamous Cell Carcinoma","NCIT:C3493","NCIT",NA,NA,NA
"LUSC","Lung Squamous Cell Carcinoma","NCIT:C3493","NCIT",NA,NA,NA
"NON-SMALL CELL LUNG CANCER NSCLC, SQUAMOUS CELL CARCINOMA","Lung Squamous Cell Carcinoma","NCIT:C3493","NCIT",NA,NA,NA
"NSCLC_SQUAMOUS","Lung Squamous Cell Carcinoma","NCIT:C3493","NCIT",NA,NA,NA
"CUTANEOUS MELANOMA","Cutaneous Melanoma","NCIT:C3510","NCIT",NA,NA,NA
"MELANOMA CUTANEOUS","Cutaneous Melanoma","NCIT:C3510","NCIT",NA,NA,NA
"SKCM","Cutaneous Melanoma","NCIT:C3510","NCIT",NA,NA,NA
"LUNG ADENOCARCINOMA","Lung Adenocarcinoma","NCIT:C3512","NCIT",NA,NA,NA
"LUAD","Lung Adenocarcinoma","NCIT:C3512","NCIT",NA,NA,NA
"LUNG ADENOCARCINOMA- NOT OTHERWISE SPECIFIED NOS","Lung Adenocarcinoma","NCIT:C3512","NCIT",NA,NA,NA
"ESOPHAGEAL CANCER","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESCA","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESOPHAGEAL CARCINOMA","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESOPHAGEAL POORLY DIFFERENTIATED CARCINOMA","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESOPHAGUS/STOMACH","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESOPHAGEAL/STOMACH CANCER, NOS","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ESOPHAGEAL CARCINOMA OTHER","Esophageal Carcinoma","NCIT:C3513","NCIT",NA,NA,NA
"ATYPICAL CHRONIC MYELOID LEUKEMIA, BCR-ABL1-","Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative","NCIT:C3519","NCIT",NA,NA,NA
"ATYPICAL CHRONIC MYELOID LEUKAEMIA, BCR-ABL1 NEGATIVE","Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative","NCIT:C3519","NCIT",NA,NA,NA
"MYELOID SARCOMA","Myeloid Sarcoma","NCIT:C3520","NCIT",NA,NA,NA
"PERITONEAL SEROUS CARCINOMA","Malignant Peritoneal Neoplasm","NCIT:C3538","NCIT",NA,NA,NA
"PERITONEAL CANCER, NOS","Malignant Peritoneal Neoplasm","NCIT:C3538","NCIT",NA,NA,NA
"HISTIOCYTIC_LYMPHOMA","True Histiocytic Lymphoma","NCIT:C35382","NCIT",NA,NA,NA
"CHOLANGIOCARCINOMA; INTRAHEPATIC","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT",NA,NA,NA
"INTRAHEPATIC CHOLANGIOCARCINOMA","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT",NA,NA,NA
"CHOLANGIOCARCINOMA, INTRAHEPATIC","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT",NA,NA,NA
"CHOLANGIO INTRAHEPATIC","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT",NA,NA,NA
"CHOL INTRA","Intrahepatic Cholangiocarcinoma","NCIT:C35417","NCIT",NA,NA,NA
"PLEURAL CANCER, NOS","Malignant Pleural Neoplasm","NCIT:C3547","NCIT",NA,NA,NA
"THYROID PAPILLARY CARCINOMA - TALL CELL >= 50% TALL CELL FEATURES","Tall Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35558","NCIT",NA,NA,NA
"TALL CELL VARIANT","Tall Cell Variant Thyroid Gland Papillary Carcinoma","NCIT:C35558","NCIT",NA,NA,NA
