original_value,curated_ontology,match_level,top_results
MYXOINFLAMMATORY FIBROBLASTIC SARCOMA,Myxoinflammatory Fibroblastic Sarcoma,1,Myxoinflammatory Fibroblastic Sarcoma (Score: 1.0000);Skin Fibroblastic Neoplasm (Score: 0.9287);Myxoid Liposarcoma (Score: 0.9284);Myxofibrosarcoma (Score: 0.9254);Fibroblastic Osteosarcoma (Score: 0.9216)
BREAST CARCINOMA OTHER,Breast Carcinoma,1,Breast Carcinoma (Score: 0.9538);Breast Neoplasm (Score: 0.9320);Breast Adenocarcinoma (Score: 0.9312);Invasive Breast Carcinoma of No Special Type (Score: 0.9306);Breast Ductal Carcinoma (Score: 0.9306)
"CARCINOMA, GIANT CELL",Giant Cell Carcinoma,1,Giant Cell Carcinoma (Score: 0.9839);Giant Cell Tumor (Score: 0.9530);Giant Cell (Score: 0.9466);Carcinoma (Score: 0.9435);Giant Cell Tumor of Bone (Score: 0.9332)
"MIXED PHENOTYPE ACUTE LEUKAEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified",1,"Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified (Score: 0.9828);Mixed Phenotype Acute Leukemia, B/Myeloid (Score: 0.9788);Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified (Score: 0.9764);Acute Myeloid Leukemia with Maturation (Score: 0.9355);Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.9332)"
RENAL_CELL_CARCINOMA,Renal Cell Carcinoma,1,Renal Cell Carcinoma (Score: 0.9904);Clear Cell Renal Cell Carcinoma (Score: 0.9710);Kidney Carcinoma (Score: 0.9652);Papillary Renal Cell Carcinoma (Score: 0.9534);Sarcomatoid Renal Cell Carcinoma (Score: 0.9495)
INVASIVE_DUCTAL_CARCINOMA,Invasive Breast Carcinoma of No Special Type,0,Invasive Breast Carcinoma (Score: 0.9684);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9656);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9631);Breast Ductal Carcinoma (Score: 0.9614);Invasive Breast Lobular Carcinoma (Score: 0.9587)
COLORECTAL_ADENOCARCINOMA,Colorectal Adenocarcinoma,1,Colorectal Adenocarcinoma (Score: 0.9927);Colon Adenocarcinoma (Score: 0.9700);Colorectal Carcinoma (Score: 0.9647);Rectal Adenocarcinoma (Score: 0.9593);Adenocarcinoma (Score: 0.9538)
"SOFT TISSUE CANCER, NOS",Malignant Soft Tissue Neoplasm,3,Soft Tissue Neoplasm (Score: 0.9567);Soft Tissue Sarcoma (Score: 0.9487);Malignant Soft Tissue Neoplasm (Score: 0.9439);Clear Cell Sarcoma of Soft Tissue (Score: 0.9359);Soft Tissue (Score: 0.9337)
ANAPLASTIC_CARCINOMA,Anaplastic Carcinoma,1,Anaplastic Carcinoma (Score: 0.9922);Anaplastic (Score: 0.9653);Thyroid Gland Anaplastic Carcinoma (Score: 0.9601);Anaplastic Lesion (Score: 0.9570);Anaplastic Astrocytoma (Score: 0.9492)
DIFFUSE_GASTRIC,Gastric Diffuse Adenocarcinoma,1,Gastric Diffuse Adenocarcinoma (Score: 0.9521);Diffuse (Score: 0.9444);Gastric (Score: 0.9282);Diffuse Glioma (Score: 0.9220);Diffuse Malignant Mesothelioma (Score: 0.9085)
DISTAL,Distal,1,Distal (Score: 1.0000);Distant (Score: 0.9186);Distal Bile Duct Adenocarcinoma (Score: 0.9016);Descending Colon (Score: 0.8962);Proximal Bile Duct (Score: 0.8924)
MDS-U,"Myelodysplastic Syndrome, Unclassifiable",1,"Myelodysplastic Syndrome, Unclassifiable (Score: 0.8840);Myelodysplastic Syndrome with del(5q) (Score: 0.8834);Myelodysplastic Syndrome with Isolated del(5q) (Score: 0.8823);Myelodysplastic Syndrome with Multilineage Dysplasia (Score: 0.8778);Myelodysplastic Syndrome (Score: 0.8725)"
UTERINE DEDIFFERENTIATED CARCINOMA,Endometrial Dedifferentiated Carcinoma,1,Endometrial Dedifferentiated Carcinoma (Score: 0.9782);undifferentiated carcinoma of the corpus uteri (Score: 0.9434);Carcinoma Exhibiting Undifferentiated or Dedifferentiated Features (Score: 0.9433);Uterine Corpus Undifferentiated Sarcoma (Score: 0.9347);uterine corpus endometrial carcinoma (Score: 0.9325)
CCRCC,Clear Cell Renal Cell Carcinoma,3,Renal Cell Carcinoma (Score: 0.9187);Kidney Carcinoma (Score: 0.9152);Clear Cell Renal Cell Carcinoma (Score: 0.9139);Kidney (Score: 0.9062);Clear Cell Papillary Renal Neoplasm (Score: 0.9042)
COLON MUCINOUS ADENOCARCINOMA,Colon Mucinous Adenocarcinoma,1,Colon Mucinous Adenocarcinoma (Score: 1.0000);Mucinous Adenocarcinoma (Score: 0.9745);Colon Adenocarcinoma (Score: 0.9686);Rectal Mucinous Adenocarcinoma (Score: 0.9666);Appendix Mucinous Adenocarcinoma (Score: 0.9661)
MEDULLOBLASTOMA,Medulloblastoma,1,"Medulloblastoma (Score: 1.0000);Anaplastic Medulloblastoma (Score: 0.9411);Large Cell/Anaplastic Medulloblastoma (Score: 0.9305);Medulloblastoma, Non-WNT/Non-SHH, Group 3 (Score: 0.9253);Desmoplastic/Nodular Medulloblastoma (Score: 0.9220)"
PROSTATE_HYPERPLASIA,Benign Prostatic Hyperplasia,1,Benign Prostatic Hyperplasia (Score: 0.9626);Prostate Adenocarcinoma (Score: 0.9245);Prostate Carcinoma (Score: 0.9202);Prostate Gland (Score: 0.9182);Prostate Ductal Adenocarcinoma (Score: 0.9098)
"FOLLICULAR, HURTHLE",Thyroid Gland Follicular Carcinoma<;>Thyroid Gland Oncocytic Carcinoma,0,Follicular Lymphoma (Score: 0.9107);Follicular Helper T-Cell Lymphoma (Score: 0.8996);Thyroid Gland Follicular Carcinoma (Score: 0.8981);Follicular Variant Thyroid Gland Papillary Carcinoma (Score: 0.8962);Thyroid Gland Papillary and Follicular Carcinoma (Score: 0.8949)
EWING FAMILY TUMOR,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor,3,"Ewing Sarcoma (Score: 0.9544);Central Nervous System Ewing Sarcoma (Score: 0.9246);Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor (Score: 0.9144);Ependymal Tumor (Score: 0.9065);Posterior Fossa Ependymoma, Group B (PFB) (Score: 0.9004)"
BONE SARCOMA,Bone Sarcoma,1,Bone Sarcoma (Score: 1.0000);Sarcoma (Score: 0.9625);Breast Sarcoma (Score: 0.9504);Synovial Sarcoma (Score: 0.9454);Ewing Sarcoma (Score: 0.9417)
HEAD AND NECK CARCINOMA,Head and Neck Carcinoma,1,Head and Neck Carcinoma (Score: 1.0000);Head and Neck Squamous Cell Carcinoma (Score: 0.9813);Head and Neck Neuroendocrine Carcinoma (Score: 0.9676);Malignant Head and Neck Neoplasm (Score: 0.9668);Head and Neck (Score: 0.9618)
RENAL ONCOCYTOMA,Kidney Oncocytoma,1,Kidney Oncocytoma (Score: 0.9858);Oncocytic Neoplasm (Score: 0.9410);Renal Cell Carcinoma (Score: 0.9349);Adrenal Cortical Oncocytic Carcinoma (Score: 0.9348);Kidney Carcinoma (Score: 0.9237)
METAPLASTIC_BREAST_CARCINOMA,Breast Metaplastic Carcinoma,1,Breast Metaplastic Carcinoma (Score: 0.9868);Metaplastic Carcinoma (Score: 0.9813);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9585);Metaplastic (Score: 0.9534);Breast Carcinoma (Score: 0.9410)
UNDIFFERENTIATED STOMACH ADENOCARCINOMA,Gastric Undifferentiated Carcinoma,1,Gastric Undifferentiated Carcinoma (Score: 0.9725);Undifferentiated Carcinoma (Score: 0.9479);Pancreatic Undifferentiated Carcinoma (Score: 0.9429);Sinonasal Undifferentiated Carcinoma (Score: 0.9391);undifferentiated sarcoma (Score: 0.9364)
ST-SE,Supratentorial Ependymoma<;>Subependymoma,0,Sezary Syndrome (Score: 0.8935);Subependymoma (Score: 0.8840);Mycosis Fungoides and Sezary Syndrome (Score: 0.8739);ETV4 Gene (Score: 0.8735);Synovial Sarcoma (Score: 0.8685)
DUCTAL CARCINOMA,Breast Ductal Carcinoma,1,Breast Ductal Carcinoma (Score: 0.9915);Breast Ductal Carcinoma In Situ (Score: 0.9615);Breast Carcinoma (Score: 0.9583);Prostate Ductal Adenocarcinoma (Score: 0.9550);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9533)
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,1,Acute Myeloid Leukemia (Score: 0.9657);Acute Myeloid Leukemia Not Otherwise Specified (Score: 0.9554);Acute Myeloid Leukemia with MLL Rearrangement (Score: 0.9410);Acute Myeloid Leukemia with Maturation (Score: 0.9410);Acute Myelomonocytic Leukemia (Score: 0.9407)
MYELOMA,Plasma Cell Myeloma,1,Plasma Cell Myeloma (Score: 0.9450);Plasmacytoma (Score: 0.9167);Smoldering Plasma Cell Myeloma (Score: 0.9147);Melanoma (Score: 0.9089);Medulloblastoma (Score: 0.9048)
POORLY DIFFERENTIATED,Poorly Differentiated,1,Poorly Differentiated (Score: 1.0000);Poorly Differentiated Adenocarcinoma (Score: 0.9614);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9528);Well Differentiated (Score: 0.9383);Poorly Differentiated Thyroid Gland Carcinoma (Score: 0.9360)
BREAST ANGIOSARCOMA,Breast Angiosarcoma,1,Breast Angiosarcoma (Score: 1.0000);Angiosarcoma (Score: 0.9774);Adenosarcoma (Score: 0.9330);Breast Sarcoma (Score: 0.9239);Uterine Corpus Adenosarcoma (Score: 0.9230)
SMALL CELL LUNG CANCER SCLC,Lung Small Cell Carcinoma,1,Lung Small Cell Carcinoma (Score: 0.9705);Lung Non-Small Cell Carcinoma (Score: 0.9507);Small Cell Adenocarcinoma (Score: 0.9468);Non-Small Cell Carcinoma (Score: 0.9424);Small Cell Neuroendocrine Carcinoma (Score: 0.9385)
EBER+ III,Epstein-Barr Virus Early RNA Positive,0,"Posterior Fossa Ependymoma, Group B (PFB) (Score: 0.8733);Extraventricular Neurocytoma (Score: 0.8720);Anaplastic Ependymoma (Score: 0.8663);ETV4 Gene (Score: 0.8651);Brain (Score: 0.8630)"
DIFFUSE LARGE B-CELL LYMPHOMA DLBCL,Diffuse Large B-Cell Lymphoma,1,Diffuse Large B-Cell Lymphoma (Score: 0.9908);Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type (Score: 0.9639);Diffuse Large B-Cell Lymphoma Activated B-Cell Type (Score: 0.9631);Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System (Score: 0.9570);B-Cell Non-Hodgkin Lymphoma (Score: 0.9396)
METAPLASTIC_CARCINOMA,Metaplastic Carcinoma,1,Metaplastic Carcinoma (Score: 0.9937);Breast Metaplastic Carcinoma (Score: 0.9750);Metaplastic (Score: 0.9627);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9490);Medullary Carcinoma (Score: 0.9295)
KERATOACANTHOMA,Keratoacanthoma,1,Keratoacanthoma (Score: 1.0000);Chondroblastoma (Score: 0.8968);Hemangioma (Score: 0.8898);Oral Epithelial Dysplasia (Score: 0.8892);Epithelial (Score: 0.8886)
PML-RARA,PML-RARA Fusion Protein Expression,1,PML-RARA Fusion Protein Expression (Score: 0.9557);Acute Promyelocytic Leukemia with PML-RARA (Score: 0.9549);Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA (Score: 0.9360);Acute Myeloid Leukemia with MLL Rearrangement (Score: 0.8901); BCR-ABL1 (Score: 0.8893)
BONE CANCER,Malignant Bone Neoplasm,3,Bone Sarcoma (Score: 0.9415);Bone (Score: 0.9390);Malignant Bone Neoplasm (Score: 0.9357);Giant Cell Tumor of Bone (Score: 0.9208);Prostate Carcinoma (Score: 0.9114)
BREAST_DUCTAL_CARCINOMA,Breast Ductal Carcinoma,1,Breast Ductal Carcinoma (Score: 0.9898);Breast Carcinoma (Score: 0.9643);Breast Ductal Carcinoma In Situ (Score: 0.9617);Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9591);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9538)
HEAD AND NECK SQUAMOUS CELL CARCINOMA,Head and Neck Squamous Cell Carcinoma,1,Head and Neck Squamous Cell Carcinoma (Score: 1.0000);Head and Neck Carcinoma (Score: 0.9813);Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9746);Laryngeal Squamous Cell Carcinoma (Score: 0.9692);Squamous Cell Carcinoma (Score: 0.9692)
CERVICAL_SQUAMOUS,Cervical Squamous Neoplasm,2,Cervical Squamous Cell Carcinoma (Score: 0.9668);Cervical Squamous Neoplasm (Score: 0.9550);Squamous Cell Carcinoma (Score: 0.9460);Vaginal Squamous Cell Carcinoma (Score: 0.9400);Laryngeal Squamous Cell Carcinoma (Score: 0.9369)
SMALL CELL BLADDER CANCER,Bladder Small Cell Neuroendocrine Carcinoma,1,Bladder Small Cell Neuroendocrine Carcinoma (Score: 0.9660);Small Cell Adenocarcinoma (Score: 0.9447);Lung Small Cell Carcinoma (Score: 0.9421);Small Cell (Score: 0.9391);Ovarian Small Cell Carcinoma (Score: 0.9361)
ADRENAL TUMOR,Adrenal Gland Neoplasm,1,Adrenal Gland Neoplasm (Score: 0.9725);Adrenal Gland Carcinoma (Score: 0.9651);Adrenal Cortical Carcinoma (Score: 0.9477);Adrenal Gland Pheochromocytoma (Score: 0.9441);Adrenal Gland (Score: 0.9425)
BRONCHIOLOALVEOLAR_ADENOCARCINOMA,Minimally Invasive Lung Adenocarcinoma,0,Breast Adenocarcinoma (Score: 0.9413);Lung Adenocarcinoma (Score: 0.9408);Adenocarcinoma (Score: 0.9347);Lepidic Adenocarcinoma (Score: 0.9305);Lung Micropapillary Adenocarcinoma (Score: 0.9301)
HBS_ANTIGEN_CARRIER,Hepatitis B Virus Surface Antigen Positive,1,Hepatitis B Virus Surface Antigen Positive (Score: 0.9226);Hepatitis B Virus (Score: 0.8932);Hemangioblastoma (Score: 0.8765);Hepatoblastoma (Score: 0.8711);B-Lymphocyte (Score: 0.8700)
NBNC,"Non-B, Non-C Hepatitis",0,Neuroblastoma (Score: 0.9019);Neurofibroma (Score: 0.8876);Blue Nevus (Score: 0.8828);Olfactory Neuroblastoma (Score: 0.8818);Brain (Score: 0.8720)
PLASMACYTOMA,Plasmacytoma,1,Plasmacytoma (Score: 1.0000);Plasma Cell Myeloma (Score: 0.9531);Plasma Cell Leukemia (Score: 0.9410);plasmacytoid variant infiltrating bladder urothelial carcinoma (Score: 0.9211);Blastic Plasmacytoid Dendritic Cell Neoplasm (Score: 0.9176)
UNKNOWN TUMOR,Neoplasm,0,Melanoma of Unknown Primary (Score: 0.9398);Unclassified Renal Cell Carcinoma (Score: 0.9044);With Tumor (Score: 0.8962);Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential (Score: 0.8929);Brain Neoplasm (Score: 0.8882)
HR+/HER2-,Hormone Receptor-Positive Breast Carcinoma<;>HER2/Neu Negative,0,HER2/Neu Positive (Score: 0.9472);HER2/Neu Negative (Score: 0.9416);HER2-Positive Breast Carcinoma (Score: 0.9413);Hormone Receptor-Positive Breast Carcinoma (Score: 0.9204);Hormone Receptor-Negative Breast Carcinoma (Score: 0.9177)
SMALL_CELL_CARCINOMA,Small Cell Neuroendocrine Carcinoma,2,Lung Small Cell Carcinoma (Score: 0.9715);Small Cell Neuroendocrine Carcinoma (Score: 0.9694);Small Cell Adenocarcinoma (Score: 0.9677);Non-Small Cell Carcinoma (Score: 0.9658);Ovarian Small Cell Carcinoma (Score: 0.9578)
CHOLANGIOCARCINOMA; INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,1,Intrahepatic Cholangiocarcinoma (Score: 0.9854);Cholangiocarcinoma (Score: 0.9662);Intrahepatic (Score: 0.9549);Hilar Cholangiocarcinoma (Score: 0.9457);Liver and Intrahepatic Bile Duct Carcinoma (Score: 0.9453)
BURKITT_LYMPHOMA,Burkitt Lymphoma,1,"Burkitt Lymphoma (Score: 0.9935);B Lymphoblastic Leukemia/Lymphoma (Score: 0.9402);B-Cell Non-Hodgkin Lymphoma (Score: 0.9259);Lymphoma (Score: 0.9244);B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like (Score: 0.9211)"
ADRENAL_CARCINOMA,Adrenal Gland Carcinoma,1,Adrenal Gland Carcinoma (Score: 0.9864);Adrenal Cortical Carcinoma (Score: 0.9749);Adrenal Gland Neoplasm (Score: 0.9619);Adrenal Cortical Oncocytic Carcinoma (Score: 0.9544);Adrenal Cortical Myxoid Carcinoma (Score: 0.9479)
MUSCLE,Muscle,1,Muscle (Score: 1.0000);Skin (Score: 0.8980);Melanoma (Score: 0.8980);Brain (Score: 0.8948);Lung (Score: 0.8939)
STAD_POLE,Gastric Adenocarcinoma<;>POLE Gene Mutation,0,POLE Gene Mutation (Score: 0.8833);POLE-Ultramutated Endometrial Endometrioid Adenocarcinoma (Score: 0.8682);Adamantinoma (Score: 0.8516);Sebaceous Carcinoma (Score: 0.8444);SPOP Gene (Score: 0.8428)
CRPC-ADENO,Castration-Resistant Prostate Carcinoma<;>Prostate Adenocarcinoma,0,Adenosarcoma (Score: 0.9205);Adenoid Cystic Carcinoma (Score: 0.9055);Prostate Adenocarcinoma (Score: 0.9009);Lung Adenoid Cystic Carcinoma (Score: 0.8985);Adenocarcinoma (Score: 0.8982)
UNDIFFERENTIATED CARCINOMA OF THE PANCREAS,Pancreatic Undifferentiated Carcinoma,1,Pancreatic Undifferentiated Carcinoma (Score: 0.9872);Undifferentiated Carcinoma (Score: 0.9560);Gastric Undifferentiated Carcinoma (Score: 0.9502);Pancreatic Carcinoma (Score: 0.9415);undifferentiated carcinoma of the corpus uteri (Score: 0.9381)
"INVASIVE, WELL-DIFFERENTIATED",Well Differentiated Lesion<;>Invasive,0,Invasive (Score: 0.9354);Well Differentiated (Score: 0.9282);Well Differentiated Adenocarcinoma Cell (Score: 0.9248);Well Differentiated Lesion (Score: 0.9201);Invasive Breast Carcinoma of No Special Type (Score: 0.9192)
PDAC-CLEAR CELL,Clear Cell,3,Adenocarcinoma Clear Cell (Score: 0.9473);Clear Cell Adenocarcinoma (Score: 0.9436);Clear Cell (Score: 0.9358);Clear Cells (Score: 0.9292);Clear Cell Renal Cell Carcinoma (Score: 0.9248)
"RENAL CARCINOMA, CLEAR CELL",Clear Cell Renal Cell Carcinoma,1,Clear Cell Renal Cell Carcinoma (Score: 0.9940);Renal Cell Carcinoma (Score: 0.9801);Clear Cell Papillary Renal Neoplasm (Score: 0.9690);Clear Cell Adenocarcinoma (Score: 0.9614);Kidney Carcinoma (Score: 0.9568)
HEAD & NECK SQUAMOUS CELL CARCINOMA BASALOID TYPE,Head and Neck Basaloid Carcinoma,1,Head and Neck Basaloid Carcinoma (Score: 0.9783);Head and Neck Squamous Cell Carcinoma (Score: 0.9596);Basal Cell Carcinoma (Score: 0.9592);Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9502);Salivary Gland Basal Cell Adenocarcinoma (Score: 0.9498)
SEMINOMA,Seminoma,1,Seminoma (Score: 1.0000);Testicular Seminoma (Score: 0.9755);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9243);Testicular Germ Cell Tumor (Score: 0.9112);Testicular Carcinoma (Score: 0.9086)
MDS WITH RING SIDEROBLASTS AND MULTILINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,1,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia (Score: 0.9773);Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia (Score: 0.9702);Myelodysplastic Syndrome with Ring Sideroblasts (Score: 0.9628);Myelodysplastic Syndrome with Multilineage Dysplasia (Score: 0.9429);Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis (Score: 0.9427)
FIBROBLAST_SKIN,Skin Fibroblastic Neoplasm,4,Fibroblast (Score: 0.9698);fibroblast of lung (Score: 0.9474);fibroblast of breast (Score: 0.9408);Skin Fibroblastic Neoplasm (Score: 0.9380);Skin (Score: 0.9206)
EWINGS_SARCOMA,Ewing Sarcoma,1,Ewing Sarcoma (Score: 0.9907);Sarcoma (Score: 0.9395);Central Nervous System Ewing Sarcoma (Score: 0.9388);Bone Sarcoma (Score: 0.9385);Synovial Sarcoma (Score: 0.9323)
UTERINE ADENOSARCOMA,Uterine Corpus Adenosarcoma,1,Uterine Corpus Adenosarcoma (Score: 0.9828);Adenosarcoma (Score: 0.9698);Endometrial Adenosquamous Carcinoma (Score: 0.9387);Chondrosarcoma (Score: 0.9316);Cervical Adenosquamous Carcinoma (Score: 0.9311)
LEPIDIC ADENOCARCINOMA 82503,Lepidic Adenocarcinoma,1,Lepidic Adenocarcinoma (Score: 0.9691);Lung Mucinous Adenocarcinoma (Score: 0.9132);Solid Lung Adenocarcinoma (Score: 0.9044);Mucinous Adenocarcinoma (Score: 0.9040);Lung Acinar Adenocarcinoma (Score: 0.9039)
ENDOMETRIOID OVARIAN CANCER,Ovarian Endometrioid Adenocarcinoma,2,Endometrioid Tumor (Score: 0.9825);Ovarian Endometrioid Adenocarcinoma (Score: 0.9811);Endometrioid Adenocarcinoma (Score: 0.9791);Endometrial Endometrioid Adenocarcinoma (Score: 0.9724);Cervical Endometrioid Adenocarcinoma (Score: 0.9689)
NON-SEMINOMA; EMBRYONAL CARCINOMASEMINOMA; NOS,Embryonal Carcinoma<;>Nonseminomatous<;>Seminoma,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9491);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9465);Embryonal Carcinoma (Score: 0.9276);Non-Small Cell Carcinoma (Score: 0.9242);Embryonal Neoplasm (Score: 0.9235)"
ENDOCERVICAL ADENOCARCINOMA OF THE USUAL TYPE,Cervical Adenocarcinoma,0,"Mucinous Adenocarcinoma, Endocervical Type (Score: 0.9614);Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type (Score: 0.9338);Cervical Mucinous Adenocarcinoma, Intestinal-Type (Score: 0.9294);Normal Breast-Like Subtype of Breast Carcinoma (Score: 0.9196);Invasive Breast Carcinoma of No Special Type (Score: 0.9193)"
LOBULAR CARCINOMA WITH DUCTAL FEATURES,Breast Mixed Ductal and Lobular Carcinoma,5,Invasive Breast Ductal Carcinoma and Lobular Carcinoma (Score: 0.9630);Breast Lobular Carcinoma (Score: 0.9597);Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma (Score: 0.9592);Breast Ductal Carcinoma (Score: 0.9531);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9506)
TRANSLOCATION-ASSOCIATED RENAL CELL CARCINOMA,MiT Family Translocation-Associated Renal Cell Carcinoma,1,"MiT Family Translocation-Associated Renal Cell Carcinoma (Score: 0.9564);Renal Cell Carcinoma (Score: 0.9333);Kidney Carcinoma (Score: 0.9237);Sarcomatoid Renal Cell Carcinoma (Score: 0.9228);Kidney Carcinoma, Transitional Cells (Score: 0.9214)"
NERVE SHEATH TUMOR,Nerve Sheath Neoplasm,1,Nerve Sheath Neoplasm (Score: 0.9798);Malignant Peripheral Nerve Sheath Tumor (Score: 0.9461);Schwannoma (Score: 0.9285);Plexiform Schwannoma (Score: 0.9096);Neuroepithelial Neoplasm (Score: 0.9084)
BRAIN_CANCER,Malignant Brain Neoplasm,2,Brain Neoplasm (Score: 0.9555);Malignant Brain Neoplasm (Score: 0.9438);Brain (Score: 0.9350);Glioblastoma (Score: 0.9234);Childhood Brain Germ Cell Tumor (Score: 0.9219)
HEAD AND NECK CANCER,Malignant Head and Neck Neoplasm,4,Head and Neck Carcinoma (Score: 0.9887);Head and Neck Squamous Cell Carcinoma (Score: 0.9725);Head and Neck (Score: 0.9637);Malignant Head and Neck Neoplasm (Score: 0.9622);Head and Neck Neuroendocrine Carcinoma (Score: 0.9592)
EMBRYONAL TUMOR WITH ABUNDANT NEUROPIL AND TRUE ROSETTES,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",0,"Embryonal Tumor with Multilayered Rosettes (Score: 0.9407);Central Nervous System Embryonal Tumor (Score: 0.9329);Embryonal Neoplasm (Score: 0.9272);Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle (Score: 0.9240);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9239)"
PRIMARY CNS MELANOMA,Central Nervous System Melanoma,1,Central Nervous System Melanoma (Score: 0.9251);Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System (Score: 0.9251);Primary Neoplasm (Score: 0.9207);Melanoma of Unknown Primary (Score: 0.9190);Primary Cutaneous T-Cell Non-Hodgkin Lymphoma (Score: 0.9123)
SKIN,Skin,1,Skin (Score: 1.0000);Skin Carcinoma (Score: 0.9227);Skin Squamous Cell Carcinoma (Score: 0.9174);Skin Fibrous Histiocytoma (Score: 0.9154);Cutaneous Melanoma (Score: 0.9145)
"CYSTADENOCARCINOMA, ENDOMETRIOID",Cystadenocarcinoma<;>Endometrioid Adenocarcinoma,0,Cystadenocarcinoma (Score: 0.9496);Ovarian Endometrioid Adenocarcinoma (Score: 0.9489);Endometrioid Adenocarcinoma (Score: 0.9456);Mucinous Cystadenocarcinoma (Score: 0.9443);Endometrial Endometrioid Adenocarcinoma (Score: 0.9441)
"STOMACH, INTESTINAL ADENOCARCINOMA, TUBULAR TYPE",Gastric Tubular Adenocarcinoma,2,"Gastric Intestinal-Type Adenocarcinoma (Score: 0.9753);Gastric Tubular Adenocarcinoma (Score: 0.9625);Cervical Mucinous Adenocarcinoma, Intestinal-Type (Score: 0.9446);Tubular Adenocarcinoma (Score: 0.9433);Small Intestinal Adenocarcinoma (Score: 0.9357)"
CLEAR_CELL_RENAL_CELL_CARCINOMA,Clear Cell Renal Cell Carcinoma,1,Clear Cell Renal Cell Carcinoma (Score: 0.9889);Renal Cell Carcinoma (Score: 0.9724);Clear Cell Papillary Renal Neoplasm (Score: 0.9630);Clear Cell Adenocarcinoma (Score: 0.9560);Adenocarcinoma Clear Cell (Score: 0.9468)
STOMACH CANCER,Gastric Carcinoma,1,Gastric Carcinoma (Score: 0.9487);Gastric Adenocarcinoma (Score: 0.9445);Stomach (Score: 0.9413);Gallbladder Carcinoma (Score: 0.9286);Gallbladder Squamous Cell Carcinoma (Score: 0.9270)
MASKED NEAR HAPLOID,Masked Near-Haploidy,1,Masked Near-Haploidy (Score: 0.9876);Near-Haploidy (Score: 0.9420);Hypodiploidy (Score: 0.8768);22)(q34.1 (Score: 0.8657);HER2/Neu Negative (Score: 0.8624)
CRIBRIFORM/SOLID/TUBULAR,Cribriform<;>Solid<;>Tubular,0,Cribriform (Score: 0.9476);Cribriform Pattern (Score: 0.9215);Thyroid Gland Cribriform Morular Carcinoma (Score: 0.9154);Solid (Score: 0.9067);Tubular (Score: 0.9005)
"MIXED PHENOTYPE ACUTE LEUKAEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid",1,"Mixed Phenotype Acute Leukemia, B/Myeloid (Score: 0.9870);Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified (Score: 0.9843);Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified (Score: 0.9779);Acute Myeloid Leukemia with Maturation (Score: 0.9361);Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.9307)"
