"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"MUSCLE","Muscle","NCIT:C13056","NCIT"
"NASAL CAVITY","Nasal Cavity","NCIT:C12424","NCIT"
"SINONASAL CAVITY","Nasal Cavity","NCIT:C12424","NCIT"
"SINONASAL CAVITY","Paranasal Sinus","NCIT:C12763","NCIT"
"NASAL SEPTUM","Nasal Septum","NCIT:C33160","NCIT"
"NASOPHARYNX","Nasopharynx","NCIT:C12423","NCIT"
"OCCIPITAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL LOBE,PARIETAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL LOBE,PARIETAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL AND OCCIPITAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"PARIETAL AND OCCIPITAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"OCCIPITAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"OCCIPITAL LOBE,PARIETAL LOBE,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"PARIETAL, OCCIPITAL, TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"PARIETAL, OCCIPITAL, TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL, OCCIPITAL, TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"PARIETAL, OCCIPITAL AND TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"PARIETAL, OCCIPITAL AND TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL, OCCIPITAL AND TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"OCCIPITAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL LOBE,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Hypothalamus","NCIT:C12458","NCIT"
"OCCIPITAL LOBE,TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL LOBE,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"OCCIPITAL AND TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"OCCIPITAL AND TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"LESSER SAC","Omental Bursa","NCIT:C81014","NCIT"
"OMENTUM","Omentum","NCIT:C33209","NCIT"
"OMENTUM, PERITONEUM, UTERUS","Omentum","NCIT:C33209","NCIT"
"OPTIC CHIASM","Optic Chiasm","NCIT:C90609","NCIT"
"OPTIC NERVE","Optic Nerve","NCIT:C12761","NCIT"
"OROPHARYNX","Oropharynx","NCIT:C12762","NCIT"
"OVARY","Ovary","NCIT:C12404","NCIT"
"GYNECOLOGICAL - OVARY","Ovary","NCIT:C12404","NCIT"
"DIAGNOSIS CANCER LOC OVARY","Ovary","NCIT:C12404","NCIT"
"OVARIES","Ovary","NCIT:C12404","NCIT"
"OVARY, UTERUS,RECTUM","Ovary","NCIT:C12404","NCIT"
"OVARY, UTERUS,RECTUM","Rectum","NCIT:C12390","NCIT"
"PALATE","Palate","NCIT:C12229","NCIT"
"PARA-AORTIC/CELIAC ARTERY EXTRA ADRENAL PGL","Celiac Artery","NCIT:C52846","NCIT"
"PARA-AORTIC /PERI-CAVAL EXTRA ADRENAL PGL","Vena Cava","NCIT:C12817","NCIT"
"PARA-AORTIC /PERI-CAVAL RETROPERITONEAL EXTRA ADRENAL PGL","Vena Cava","NCIT:C12817","NCIT"
"PARASPINAL AT C7","C7 Vertebra","NCIT:C32245","NCIT"
"PARIETAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PATIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"""BRAIN, PARIETAL""","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL METASTASIS","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL LOBE,TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL LOBE,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"PARIETAL AND TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"PARIETAL AND TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"PELVIC PERITONEUM AND INFRACOLIC OMENTUM","Greater Omentum","NCIT:C32697","NCIT"
"PERITONEUM OVARY","Ovary","NCIT:C12404","NCIT"
"PHARYNX","Pharynx","NCIT:C12425","NCIT"
"BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Pons Varolii","NCIT:C12511","NCIT"
"BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Cerebellum","NCIT:C12445","NCIT"
"BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL","Pons Varolii","NCIT:C12511","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL","Medulla Oblongata","NCIT:C12442","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL","Cerebellum","NCIT:C12445","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,CEREBELLUM/POSTERIOR FOSSA,SPINAL CORD- CERVICAL","Cervical Spinal Cord","NCIT:C12892","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Pons Varolii","NCIT:C12511","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Medulla Oblongata","NCIT:C12442","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Cervical Spinal Cord","NCIT:C12892","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Thoracic Spinal Cord","NCIT:C12894","NCIT"
"BRAIN STEM- PONS,BRAIN STEM-MEDULLA,SPINAL CORD- CERVICAL,SPINAL CORD- THORACIC,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Hypothalamus","NCIT:C12458","NCIT"
"POSTERIOR FOSSA","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"POSTERIOR FOSSA>SPINE","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"POSTERIOR FOSSA>SPINE","Vertebral Column","NCIT:C12998","NCIT"
"POSTERIOR ENDOMETRIUM","Posterior Endometrium","NCIT:C156432","NCIT"
"PSOAS MASS","Psoas Muscle","NCIT:C33422","NCIT"
"INTRA-PSOAS","Psoas Muscle","NCIT:C33422","NCIT"
"PUBIC NONRESPONDING METASTSIS","Pubic Bone","NCIT:C33423","NCIT"
"PYLORUS","Pylorus","NCIT:C12260","NCIT"
"CUL DE SAC","Recto-Vaginal Pouch","NCIT:C33447","NCIT"
"RECTUM","Rectum","NCIT:C12390","NCIT"
"DISTAL RECTUM","Rectum","NCIT:C12390","NCIT"
"VERY DISTAL RECTUM RECURRENCE","Rectum","NCIT:C12390","NCIT"
"DISTAL RECTAL RECURRENCE POST LAR","Rectum","NCIT:C12390","NCIT"
"DISTAL RECTUM, TUMOR RECURRENCE","Rectum","NCIT:C12390","NCIT"
"DISTAL RECTAL TUMOR","Rectum","NCIT:C12390","NCIT"
"MID-DISTAL RECTUM","Rectum","NCIT:C12390","NCIT"
"MID-TO-DISTAL RECTUM","Rectum","NCIT:C12390","NCIT"
"MID TO DISTAL RECTUM","Rectum","NCIT:C12390","NCIT"
"MID RECTUM","Rectum","NCIT:C12390","NCIT"
"MID-RECTUM","Rectum","NCIT:C12390","NCIT"
"MID RECTAL TUMOR","Rectum","NCIT:C12390","NCIT"
"UPPER RECTUM","Rectum","NCIT:C12390","NCIT"
"RENAL PELVIS","Renal Pelvis","NCIT:C12887","NCIT"
"RENAL VEIN","Renal Vein","NCIT:C33462","NCIT"
"RETROMOLAR TRIGONE","Retromolar Trigone","NCIT:C54223","NCIT"
"RETROPERITONEUM/UPPER ABDOMINAL - COLON","Colon","NCIT:C12382","NCIT"
"RETROPERITONEUMRETROPERITONEUM/UPPER ABDOMINALSMALL INTESTINE","Small Intestine","NCIT:C12386","NCIT"
"RETROPERITONEUM/UPPER ABDOMINALSMALL INTESTINE","Small Intestine","NCIT:C12386","NCIT"
"RIGHT COLON","Right Colon","NCIT:C12383","NCIT"
"RIGHT FALLOPIAN TUBE","Right Fallopian Tube","NCIT:C33475","NCIT"
"LIVER RIGHT LOBE","Right Lobe of the Liver","NCIT:C33481","NCIT"
"LIVER/RIGHT LOBE","Right Lobe of the Liver","NCIT:C33481","NCIT"
"RIGHT THIGH","Right Thigh","NCIT:C105637","NCIT"
"ABDOMINAL WALL, RIGHT","Abdominal Wall","NCIT:C77608","NCIT"
"RIGHT CEREBELLUM/OCCIPITAL","Cerebellum","NCIT:C12445","NCIT"
"RIGHT CEREBELLUM/OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT CERVICAL","Cervix Uteri","NCIT:C12311","NCIT"
"CHEST WALL, RIGHT","Chest Wall","NCIT:C62484","NCIT"
"R CHEST WALL NODULAR METASTASIS","Chest Wall","NCIT:C62484","NCIT"
"RIGHT DIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"R ELBOW METASTASIS","Elbow Joint","NCIT:C32497","NCIT"
"FEMUR, RIGHT BONE","Femur","NCIT:C12717","NCIT"
"RIGHT FRONTAL","Frontal Lobe","NCIT:C12352","NCIT"
"BRAIN, RIGHT FRONTAL","Frontal Lobe","NCIT:C12352","NCIT"
"""BRAIN, RIGHT FRONTAL""","Frontal Lobe","NCIT:C12352","NCIT"
"RIGHT FRONTAL/BASAL GANGLIA","Frontal Lobe","NCIT:C12352","NCIT"
"RIGHT FRONTAL/BASAL GANGLIA","Basal Ganglia","NCIT:C12447","NCIT"
"RIGHT FRONTOTEMPORAL","Frontal Lobe","NCIT:C12352","NCIT"
"RIGHT FRONTOTEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"RIGHT   HUMERUS","Humerus","NCIT:C12731","NCIT"
"RIGHT_ILIAC_BONE","Ilium","NCIT:C32765","NCIT"
"LUNG, PLEURA, DIAPHRAGM; RIGHT","Diaphragm","NCIT:C12702","NCIT"
"R OCCIPITAL BRAIN","Occipital Lobe","NCIT:C12355","NCIT"
"BRAIN, RIGHT OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT OCCIPITAL BRAIN","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT OVARY","Ovary","NCIT:C12404","NCIT"
"GLIOMATOSIS, RIGHT OVARY","Ovary","NCIT:C12404","NCIT"
"RIGHT PARIETAL","Parietal Lobe","NCIT:C12354","NCIT"
"RIGHT PARIETAL OCCIPITAL","Parietal Lobe","NCIT:C12354","NCIT"
"RIGHT PARIETAL OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT PARIETO-OCCIPITAL","Parietal Lobe","NCIT:C12354","NCIT"
"RIGHT PARIETO-OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT PARIETAL; RIGHT TEMPORAL","Parietal Lobe","NCIT:C12354","NCIT"
"RIGHT PARIETAL; RIGHT TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"RIGHT POSTERIOR MEDIASTINAL","Posterior Mediastinum","NCIT:C33368","NCIT"
"RIGHT TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"BRAIN, RIGHT TEMPORAL","Temporal Lobe","NCIT:C12353","NCIT"
"RIGHT TEMPORAL BRAIN","Temporal Lobe","NCIT:C12353","NCIT"
"""BRAIN, RIGHT TEMPORAL""","Temporal Lobe","NCIT:C12353","NCIT"
"RIGHT TEMPORO-OCCIPITAL","Temporal Lobe","NCIT:C12353","NCIT"
"RIGHT TEMPORO-OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"SACRAL_MASS","Sacrum","NCIT:C33508","NCIT"
"SACRAL REGION","Sacrum","NCIT:C33508","NCIT"
"CORACOID METASTASIS","Scapula","NCIT:C12783","NCIT"
"SIGMOID COLON","Sigmoid Colon","NCIT:C12384","NCIT"
"UPPER RECTUM/DISTAL SIGMOID","Sigmoid Colon","NCIT:C12384","NCIT"
"UPPER RECTUM/DISTAL SIGMOID","Rectum","NCIT:C12390","NCIT"
"SINONASAL","Sinonasal Tract","NCIT:C54292","NCIT"
"SUPERFICIAL TRUNK - ABDOMINAL WALL","Abdominal Wall","NCIT:C77608","NCIT"
"SKIN/CHEST WALL METASTASIS","Chest Wall","NCIT:C62484","NCIT"
"SKULL","Skull","NCIT:C12789","NCIT"
"SMALL BOWEL","Small Intestine","NCIT:C12386","NCIT"
"SMALL INTESTINE","Small Intestine","NCIT:C12386","NCIT"
"SMALL BOWEL MELANOMA","Small Intestine","NCIT:C12386","NCIT"
"SMALL BOWEL MASS","Small Intestine","NCIT:C12386","NCIT"
"SMALL BOWEL NONRESPONDING METASTASIS","Small Intestine","NCIT:C12386","NCIT"
"SMALL BOWEL METASTASIS","Small Intestine","NCIT:C12386","NCIT"
"SOFT PALATE","Soft Palate","NCIT:C12231","NCIT"
"SOFT   TISSUEBONESCAPULA","Bone","NCIT:C12366","NCIT"
"SOFT   TISSUEBONESCAPULA","Scapula","NCIT:C12783","NCIT"
"SOFT TISSUE RIGHT PARA ILIAC","Ilium","NCIT:C32765","NCIT"
"SOFT TISSUE THORACIC DIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"SPLENIC CAPSULE","Splenic Capsule","NCIT:C33598","NCIT"
"SPLENIC FLEXURE","Splenic Flexure","NCIT:C12267","NCIT"
"SPLENIC FLEXURE TO SIGMOID COLON","Splenic Flexure","NCIT:C12267","NCIT"
"SPLENIC FLEXURE TO SIGMOID COLON","Descending Colon","NCIT:C12268","NCIT"
"SPLENIC FLEXURE TO SIGMOID COLON","Sigmoid Colon","NCIT:C12384","NCIT"
"STERNUM","Sternum","NCIT:C12793","NCIT"
"RIGHT BRONCHUS INTERMEDIUS","Subsegmental Bronchus of Right Lung","NCIT:C41268","NCIT"
"SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Hypothalamus","NCIT:C12458","NCIT"
"SUPRATENTORIAL, FRONTAL LOBE","Frontal Lobe","NCIT:C12352","NCIT"
"SUPRATENTORIAL, OCCIPITAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"SUPRATENTORIAL, PARIETAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"SUPRATENTORIAL, TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"T10 EPIDURAL TUMOR","T10 Vertebra","NCIT:C33721","NCIT"
"T2 EPIDURAL TUMOR","T2 Vertebra","NCIT:C33724","NCIT"
"T3 EPIDURAL TUMOR","T3 Vertebra","NCIT:C33725","NCIT"
"T5 EPIDURAL TUMOR","T5 Vertebra","NCIT:C33727","NCIT"
"T5-T6 EPIDURAL TUMOR","T5 Vertebra","NCIT:C33727","NCIT"
"T5-T6 EPIDURAL TUMOR","T6 Vertebra","NCIT:C33728","NCIT"
"T8 EPIDURAL TUMOR","T8 Vertebra","NCIT:C33730","NCIT"
"T9-T10 EPIDURAL TUMOR","T9 Vertebra","NCIT:C33731","NCIT"
"T9-T10 EPIDURAL TUMOR","T10 Vertebra","NCIT:C33721","NCIT"
"PANCREAS TAIL","Tail of the Pancreas","NCIT:C12271","NCIT"
"TAIL","Tail of the Pancreas","NCIT:C12271","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM","Tectum Mesencephali","NCIT:C12460","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,VENTRICLES","Tectum Mesencephali","NCIT:C12460","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Tectum Mesencephali","NCIT:C12460","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Cerebellum","NCIT:C12445","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Occipital Lobe","NCIT:C12355","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Visual Pathway","NCIT:C41445","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Parietal Lobe","NCIT:C12354","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,CEREBELLUM/POSTERIOR FOSSA,OCCIPITAL LOBE,OPTIC PATHWAY,PARIETAL LOBE,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Tectum Mesencephali","NCIT:C12460","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Pons Varolii","NCIT:C12511","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Cerebellum","NCIT:C12445","NCIT"
"BRAIN STEM- MIDBRAIN/TECTUM,BRAIN STEM- PONS,CEREBELLUM/POSTERIOR FOSSA","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"TEMPORAL - ANTERIOR","Temporal Lobe","NCIT:C12353","NCIT"
"TEMPORAL LOBE AND BASAL GANGLIA AND THALAMUS","Temporal Lobe","NCIT:C12353","NCIT"
"TEMPORAL LOBE AND BASAL GANGLIA AND THALAMUS","Basal Ganglia","NCIT:C12447","NCIT"
"TEMPORAL LOBE,THALAMUS,VENTRICLES","Temporal Lobe","NCIT:C12353","NCIT"
"TEMPORAL LOBE,THALAMUS,VENTRICLES","Thalamus","NCIT:C12459","NCIT"
"TEMPORAL LOBE,THALAMUS,VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"TEMPORALIS MUSCLE","Temporal Muscle","NCIT:C33743","NCIT"
"TERMIL ILEUM","Terminal Ileum","NCIT:C33757","NCIT"
"THALAMUS","Thalamus","NCIT:C12459","NCIT"
"THALAMIC/CORTICAL","Thalamus","NCIT:C12459","NCIT"
"THALAMIC/CORTICAL","Cerebral Cortex","NCIT:C12443","NCIT"
"THIGH/KNEE","Thigh","NCIT:C33763","NCIT"
"THIGH/KNEE","Knee Joint","NCIT:C32898","NCIT"
"3RD VENTRICLE","Third Ventricle","NCIT:C12827","NCIT"
"THORACIC EPIDURAL","Epidural Spinal Canal Space","NCIT:C41449","NCIT"
"THROACIC EIPDURAL PARAGANGLIOMA","Epidural Spinal Canal Space","NCIT:C41449","NCIT"
"TRANSVERSE COLON","Transverse Colon","NCIT:C12385","NCIT"
"TRANVERSE COLON","Transverse Colon","NCIT:C12385","NCIT"
"LARGE BOWEL TRANSVERSE COLON","Transverse Colon","NCIT:C12385","NCIT"
"UPPER EXTREMITY - UPPER ARM/ELBOW","Arm","NCIT:C32141","NCIT"
"UPPER EXTREMITY - UPPER ARM/ELBOW","Elbow Joint","NCIT:C32497","NCIT"
"LUNG, LEFT UPPER LOBE","Upper Lobe of the Left Lung","NCIT:C33021","NCIT"
"LEFT UPPER LOBE","Upper Lobe of the Left Lung","NCIT:C33021","NCIT"
"LUNG, RIGHT UPPER LOBE","Upper Lobe of the Right Lung","NCIT:C33023","NCIT"
"RIGHT UPPER LOBE","Upper Lobe of the Right Lung","NCIT:C33023","NCIT"
"RIGHT LUNG UPPER LOBE","Upper Lobe of the Right Lung","NCIT:C33023","NCIT"
"UPPER_TRACT","Upper Urinary System","NCIT:C142328","NCIT"
"UPPER ARM/ELBOW","Arm","NCIT:C32141","NCIT"
"UPPER ARM/ELBOW","Elbow Joint","NCIT:C32497","NCIT"
"URETER; RENAL PELVIS","Renal Pelvis","NCIT:C12887","NCIT"
"RENAL PELVIS; URETER","Renal Pelvis","NCIT:C12887","NCIT"
"GYNECOLOGICAL - UTERUSGYNECOLOGICAL - CERVIX","Cervix Uteri","NCIT:C12311","NCIT"
"VETEBRAL METASTASOS","Vertebra","NCIT:C12933","NCIT"
"SPINE","Vertebral Column","NCIT:C12998","NCIT"
"OPTIC PATHWAY","Visual Pathway","NCIT:C41445","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Visual Pathway","NCIT:C41445","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY","Hypothalamus","NCIT:C12458","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,TEMPORAL LOBE","Visual Pathway","NCIT:C41445","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,TEMPORAL LOBE","Hypothalamus","NCIT:C12458","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Visual Pathway","NCIT:C41445","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Hypothalamus","NCIT:C12458","NCIT"
"OPTIC PATHWAY,SUPRASELLAR/HYPOTHALAMIC/PITUITARY,THALAMUS","Thalamus","NCIT:C12459","NCIT"
"LEFT PARASPINAL AT T3-T4","T3 Vertebra","NCIT:C33725","NCIT"
"LEFT PARASPINAL AT T3-T4","T4 Vertebra","NCIT:C33726","NCIT"
"PARASPINAL AT T11","T11 Vertebra","NCIT:C33722","NCIT"
"RIGHT PROXIMAL HUMERAL","Humerus","NCIT:C12731","NCIT"
"SACRAL LUMBAR SPINAL","Lumbar Spine","NCIT:C69314","NCIT"
"SACRAL LUMBAR SPINAL","Sacrum","NCIT:C33508","NCIT"
"UPPER_TRACT_UROTHELIAL_CARCINOMA_UTUC","Upper Urinary System","NCIT:C142328","NCIT"
"COLON SIGMOIDEUM","Sigmoid Colon","NCIT:C12384","NCIT"
"FLEXURA HEPATICA","Hepatic Flexure","NCIT:C12266","NCIT"
"COLON DESCENDENS","Descending Colon","NCIT:C12268","NCIT"
"COLON ASCENDENS","Ascending Colon","NCIT:C12265","NCIT"
"CECEUM","Cecum","NCIT:C12381","NCIT"
"COLON TRANSVERSUM","Transverse Colon","NCIT:C12385","NCIT"
"RECTOSIGMOIDEUM","Sigmoid Colon","NCIT:C12384","NCIT"
"RECTOSIGMOIDEUM","Rectum","NCIT:C12390","NCIT"
"FLEXURA LIENALIS","Splenic Flexure","NCIT:C12267","NCIT"
"BONE, LYMPH NODE INTRA-ABDOMINAL, LYMPH NODE INTRATHORACAL","Bone","NCIT:C12366","NCIT"
"CONNECTIVE TISSUE ARM AND SHOLDER, ADRENAL, LYMPH NODE INTRA-ABDOMINAL","Arm","NCIT:C32141","NCIT"
"LIVER, OVARIUM, LYMPH NODE INTRA-ABDOMINAL","Ovary","NCIT:C12404","NCIT"
"PSOAS, ADRENAL, LN, BRAIN","Brain","NCIT:C12439","NCIT"
"PSOAS, ADRENAL, LN, BRAIN","Psoas Muscle","NCIT:C33422","NCIT"
"PSOAS","Psoas Muscle","NCIT:C33422","NCIT"
"LEFT TEMPORAL MASS","Temporal Lobe","NCIT:C12353","NCIT"
"ADRENAL, BONE","Bone","NCIT:C12366","NCIT"
"LEFT GLUTEUS MAXIMUS","Left Gluteus Medius","NCIT:C105638","NCIT"
"DESENDING COLON","Descending Colon","NCIT:C12268","NCIT"
"ASENDING COLON","Ascending Colon","NCIT:C12265","NCIT"
"HEPATIC FLEXURE","Hepatic Flexure","NCIT:C12266","NCIT"
"RECTUM, LUNG","Rectum","NCIT:C12390","NCIT"
"LUNG, BONE","Bone","NCIT:C12366","NCIT"
"LEFT COLON;RIGHT COLON","Left Colon","NCIT:C33929","NCIT"
"LEFT COLON;RIGHT COLON","Right Colon","NCIT:C12383","NCIT"
"ASENDING COLON;SPLENIC FLEXURE","Ascending Colon","NCIT:C12265","NCIT"
"ASENDING COLON;SPLENIC FLEXURE","Splenic Flexure","NCIT:C12267","NCIT"
"LEFT LIVER","Left Lobe of the Liver","NCIT:C32965","NCIT"
"RIGHT LIVER","Right Lobe of the Liver","NCIT:C33481","NCIT"
"OCCIPITAL BRAIN","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT UPPER ARM","Arm","NCIT:C32141","NCIT"
"LEFT UPPER LOBE LUNG #1","Upper Lobe of the Left Lung","NCIT:C33021","NCIT"
"RIGHT LOWER LOBE LUNG","Lower Lobe of the Right Lung","NCIT:C33022","NCIT"
"PERIPANCREATIC #1 HEAD","Head of the Pancreas","NCIT:C12269","NCIT"
"RIGHT INFERIOR LOBE LIVER","Right Lobe of the Liver","NCIT:C33481","NCIT"
"RIGHT OCCIPITAL","Occipital Lobe","NCIT:C12355","NCIT"
"RIGHT LOWER LUNG LOBE/PLEURA","Lower Lobe of the Right Lung","NCIT:C33022","NCIT"
"BONE NON-DECALCIFIED","Bone","NCIT:C12366","NCIT"
"PARASTERNAL SOFT TISSUE MASS","Sternum","NCIT:C12793","NCIT"
"LARYNX, NOS","Larynx","NCIT:C12420","NCIT"
"FLOOR OF MOUTH, NOS","Floor of Mouth","NCIT:C54187","NCIT"
"OVERLAPPING LESION OF LIP, ORAL CAVITY AND PHARYNX","Lip","NCIT:C12220","NCIT"
"OVERLAPPING LESION OF LIP, ORAL CAVITY AND PHARYNX","Pharynx","NCIT:C12425","NCIT"
"OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX","Lip","NCIT:C12220","NCIT"
"OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX","Pharynx","NCIT:C12425","NCIT"
