,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
137,CGC(PG)-11047,Polyamine Analogue PG11047,1,Polyamine Analogue PG11047,0.9027,DNA-PK/TOR Kinase Inhibitor CC-115,0.8840,Topoisomerase I Inhibitor Genz-644282,0.8753,Gamma-Secretase Inhibitor RO4929097,0.8720,Purine Analogue NSC 750854,0.8704
138,CI-980,Mivobulin Isethionate,99,Cixutumumab,0.8959,Cetuximab,0.8762,Anti-CD98 Monoclonal Antibody IGN523,0.8752,Gamma-Secretase Inhibitor RO4929097,0.8745,CENP-E Inhibitor GSK-923295A,0.8660
139,CIS,Cisplatin,1,Cisplatin,0.8949,Carboplatin,0.8891,Cixutumumab,0.8777,Cetuximab,0.8756,Celecoxib,0.8708
140,CISPLATIN,Cisplatin,1,Cisplatin,1.0000,Platinum,0.9389,Carboplatin,0.9259,Cetuximab,0.9078,Oxaliplatin,0.9051
141,CORE,Core Biopsy,1,Core Biopsy,0.9411,Core Biopsy,0.9411,Liver Biopsy,0.8538,Inner,0.8526,Carboplatin,0.8497
142,CPI-613,Devimistat,99,Nitrogen Mustard Prodrug PR-104,0.8743,Ponatinib,0.8708,Purine Analogue NSC 750854,0.8694,Cisplatin,0.8694,DNA-PK/TOR Kinase Inhibitor CC-115,0.8660
143,CPT-11,Irinotecan Hydrochloride,2,Irinotecan,0.8982,Irinotecan Hydrochloride,0.8891,Topoisomerase-I Inhibitor,0.8824,Topotecan,0.8816,DNA-PK/TOR Kinase Inhibitor CC-115,0.8796
144,CPX-351,Liposome-encapsulated Daunorubicin-Cytarabine,99,Paclitaxel,0.8879,Cyclophosphamide,0.8849,Cisplatin,0.8772,Purine Analogue NSC 750854,0.8751,Carboxyamidotriazole,0.8740
145,CPX351,Liposome-encapsulated Daunorubicin-Cytarabine,99,Cisplatin,0.8822,CXCR4 Inhibitor,0.8742,Cyclophosphamide,0.8740,Pixantrone,0.8694,Purine Analogue NSC 750854,0.8670
146,CSF1R inhibitor,Immunosuppressant,99,CXCR4 Inhibitor,0.9107,FLT3/CDK4/6 Inhibitor FLX925,0.9053,mTOR Inhibitor,0.9020,mTOR Inhibitor,0.9020,AKT Inhibitor,0.9016
147,CTL019,Tisagenlecleucel,99,Cilengitide,0.8742,Talimogene Laherparepvec,0.8705,Vadastuximab Talirine,0.8702,Navitoclax,0.8622,Venetoclax,0.8605
148,CVT,Regadenoson,99,Cyclophosphamide,0.8970,Valspodar,0.8954,Cetuximab,0.8950,Cyclosporine,0.8934,Carboplatin,0.8929
149,CX-01,Dociparstat sodium,99,Cixutumumab,0.8859,Celecoxib,0.8730,DNA-PK/TOR Kinase Inhibitor CC-115,0.8630,Cetuximab,0.8623,Cisplatin,0.8612
150,CX-5461 (POL1),Pidnarulex,99,Topoisomerase I Inhibitor Genz-644282,0.8925,Purine Analogue NSC 750854,0.8921,HDM2 Inhibitor MK-8242,0.8885,Pexidartinib,0.8884,Cisplatin,0.8871
151,CXCR4 inhibitor,CXCR4 Inhibitor,1,CXCR4 Inhibitor,1.0000,AKT Inhibitor,0.9120,Aromatase Inhibitor,0.9094,IDO Inhibitor,0.9061,FLT3/CDK4/6 Inhibitor FLX925,0.8980
152,CY,Cyclophosphamide,1,Cyclophosphamide,0.9245,Cyclosporine,0.9054,Cetuximab,0.9029,Cytarabine,0.8999,Dacomitinib,0.8935
153,CYCLOPHOSPHAMIDE,Cyclophosphamide,1,Cyclophosphamide,1.0000,Carboplatin,0.9094,Cytosine,0.9006,Cetuximab,0.9003,Temozolomide,0.8999
154,CYSTOPROSTATECTOMY,Radical Cystoprostatectomy,1,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Cystectomy,0.9179
155,CYTARABINE,Cytarabine,1,Cytarabine,1.0000,Liposomal Cytarabine,0.9526,Cytosine,0.9074,Cyclosporine,0.9038,Dasatinib,0.9034
156,Cabazitaxel,Cabazitaxel,1,Cabazitaxel,1.0000,Cabiralizumab,0.9226,Cabozantinib,0.9164,Axitinib,0.9056,Cetuximab,0.9028
157,Cabivalizumab,Cabiralizumab,1,Cabiralizumab,0.9487,Cabazitaxel,0.9308,Cabozantinib,0.9067,Bevacizumab,0.9038,Ibrutinib,0.9000
158,Cabo,Cabozantinib,1,Cabozantinib,0.9344,Cabazitaxel,0.9290,Cabiralizumab,0.9145,Cetuximab,0.8698,Bicalutamide,0.8659
159,Cabozantinib,Cabozantinib,1,Cabozantinib,1.0000,Cabazitaxel,0.9164,Cabiralizumab,0.9004,Bicalutamide,0.8824,Axitinib,0.8755
160,Cape,Capecitabine,3,Cetuximab,0.8920,Cytarabine,0.8857,Capecitabine,0.8839,Celecoxib,0.8819,Decitabine,0.8759
161,Capecitabine,Capecitabine,1,Capecitabine,1.0000,Gemcitabine,0.9101,Dasatinib,0.9066,Temozolomide,0.9053,Trastuzumab,0.9026
162,Capectitabine,Capecitabine,99,Azathioprine,0.8959,Cladribine,0.8946,Gemcitabine,0.8921,Temozolomide,0.8894,Clofarabine,0.8892
163,Carbo,Carboplatin,2,Celecoxib,0.8726,Carboplatin,0.8719,Dacarbazine,0.8671,Cytosine,0.8666,Cytarabine,0.8627
164,Carboplatin,Carboplatin,1,Carboplatin,1.0000,Cisplatin,0.9259,Cetuximab,0.9212,Platinum,0.9131,Cyclophosphamide,0.9094
165,Carmustine,Carmustine,1,Carmustine,1.0000,Lomustine,0.9492,Fotemustine,0.9151,Gemtuzumab,0.8888,Temozolomide,0.8881
166,Cart-T cell therapy,Chimeric Antigen Receptor T-Cell Therapy,1,Chimeric Antigen Receptor T-Cell Therapy,0.9304,Chimeric Antigen Receptor T-Cell Therapy,0.9304,Autologous Hematopoietic Stem Cell Transplantation,0.8918,Hematopoietic Cell Transplantation,0.8912,Dendritic Cell Vaccine,0.8870
167,Casodex,Bicalutamide,99,Cetuximab,0.8937,Dutasteride,0.8755,Devimistat,0.8693,Letrozole,0.8688,Celecoxib,0.8679
168,Casoxdex,Bicalutamide,99,Indoximod,0.8849,Dacarbazine,0.8730,Cetuximab,0.8706,Dexamethasone,0.8668,Dexamethasone,0.8668
169,Caudate segmentectomy,Caudate Lobe;Segmentectomy,99,Segmentectomy,0.9469,Segmentectomy,0.9469,Segmentectomy,0.9469,Caudate Lobe,0.9272,Lobectomy,0.8854
170,Cediranib,Cediranib,1,Cediranib,1.0000,Daunorubicin,0.8807,Cladribine,0.8776,Sirolimus,0.8774,Celecoxib,0.8764
171,Celgene CC-15,DNA-PK/TOR Kinase Inhibitor CC-115,3,Cyclophosphamide,0.8825,Celecoxib,0.8778,DNA-PK/TOR Kinase Inhibitor CC-115,0.8694,Decitabine,0.8682,Cytosine,0.8636
172,Cellcept,Mycophenolate Mofetil,99,Rituximab,0.8941,Cetuximab,0.8886,Chimeric Antigen Receptor T-Cell Therapy,0.8807,Chimeric Antigen Receptor T-Cell Therapy,0.8807,Nivolumab,0.8783
173,Cepecitabine,Capecitabine,99,Decitabine,0.9333,Dacomitinib,0.9085,Cytarabine,0.9003,Cetuximab,0.8996,Azacitidine,0.8991
174,Cetuximab,Cetuximab,1,Cetuximab,1.0000,Carboplatin,0.9212,Pertuzumab,0.9165,Celecoxib,0.9118,Cisplatin,0.9078
175,Cilengitide,Cilengitide,1,Cilengitide,1.0000,Seviteronel,0.8948,Navitoclax,0.8940,Acalisib,0.8915,Plitidepsin,0.8915
176,Cis,Cisplatin,1,Cisplatin,0.8949,Carboplatin,0.8891,Cixutumumab,0.8777,Cetuximab,0.8756,Celecoxib,0.8708
177,Cisplatin,Cisplatin,1,Cisplatin,1.0000,Platinum,0.9389,Carboplatin,0.9259,Cetuximab,0.9078,Oxaliplatin,0.9051
178,Cladribine,Cladribine,1,Cladribine,1.0000,Fludarabine,0.9047,Plerixafor,0.9044,Carboplatin,0.9020,Cyclosporine,0.8999
179,Clofarabine,Clofarabine,1,Clofarabine,1.0000,Fludarabine,0.9033,Fenretinide,0.8979,Folic Acid,0.8930,Cladribine,0.8893
180,Cobemitinib,Cobimetinib,1,Cobimetinib,0.9360,Dacomitinib,0.9135,Cytarabine,0.9113,Gilteritinib,0.8994,Cetuximab,0.8959
181,Cobimetinib,Cobimetinib,1,Cobimetinib,1.0000,Binimetinib,0.9429,Selumetinib,0.9047,Edicotinib,0.8973,Ibrutinib,0.8969
182,Conformal,"Radiotherapy, Conformal",1,"Radiotherapy, Conformal",0.9412,3-Dimensional Conformal Radiation Therapy,0.9020,3-Dimensional Conformal Radiation Therapy,0.9020,Cetuximab,0.8621,Bortezomib,0.8615
183,Core Biopsy of liver lesion,Core Biopsy;Liver Lesion,99,Liver Biopsy,0.9526,Core Biopsy,0.9520,Core Biopsy,0.9520,Liver Lesion,0.9399,Biopsy,0.8990
184,Craniotomy,Craniotomy,1,Craniotomy,1.0000,Surgery,0.9156,Lumpectomy,0.8957,Lumpectomy,0.8957,Lumpectomy,0.8957
185,Crenolanib,Crenolanib,1,Crenolanib,1.0000,Panobinostat,0.8883,Abiraterone,0.8861,Cladribine,0.8843,Abiraterone Acetate,0.8828
186,CsPt,Cisplatin,5,Cyclosporine,0.8858,Celecoxib,0.8804,Cetuximab,0.8797,Phenethyl Isothiocyanate,0.8746,Cisplatin,0.8745
187,Ctx,Cyclophosphamide,1,Cyclophosphamide,0.9115,Cetuximab,0.9059,Cisplatin,0.9016,Celecoxib,0.9015,Carboplatin,0.9011
188,Cy,Cyclophosphamide,1,Cyclophosphamide,0.9245,Cyclosporine,0.9054,Cetuximab,0.9029,Cytarabine,0.8999,Dacomitinib,0.8935
189,CyPh,Cyclophosphamide,1,Cyclophosphamide,0.8826,Cyclosporine,0.8814,Ketoconazole,0.8767,Prednisolone,0.8758,Cytarabine,0.8748
190,Cyclophoshamide,Cyclophosphamide,99,Apalutamide,0.8795,Procarbazine,0.8793,Phenethyl Isothiocyanate,0.8780,Cyclosporine,0.8770,Hydroxyurea,0.8754
191,Cyclophospha,Cyclophosphamide,99,Valspodar,0.8991,Cyclosporine,0.8893,Prednisone,0.8812,Prednisolone,0.8756,Cisplatin,0.8751
192,Cyclophosphamide,Cyclophosphamide,1,Cyclophosphamide,1.0000,Carboplatin,0.9094,Cytosine,0.9006,Cetuximab,0.9003,Temozolomide,0.8999
193,Cystectomy,Cystectomy,1,Cystectomy,1.0000,Cystectomy,1.0000,Cystectomy,1.0000,Radical Cystectomy,0.9765,Radical Cystectomy,0.9765
194,Cystoprostatectomy,Radical Cystoprostatectomy,1,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Radical Cystoprostatectomy,0.9792,Cystectomy,0.9179
195,Cystoprostatectomy (robotic),Radical Cystoprostatectomy;Robot-Assisted Surgery,99,Radical Cystoprostatectomy,0.9684,Radical Cystoprostatectomy,0.9684,Radical Cystoprostatectomy,0.9684,Radical Cystoprostatectomy,0.9684,Laparoscopic Radical Prostatectomy with Robotics,0.9360
196,Cystoprotatectomy,Radical Cystoprostatectomy,1,Radical Cystoprostatectomy,0.9457,Radical Cystoprostatectomy,0.9457,Radical Cystoprostatectomy,0.9457,Radical Cystoprostatectomy,0.9457,Partial Cystectomy,0.8942
197,Cytarabine,Cytarabine,1,Cytarabine,1.0000,Liposomal Cytarabine,0.9526,Cytosine,0.9074,Cyclosporine,0.9038,Dasatinib,0.9034
198,Cytarabine - liposomal,Liposomal Cytarabine,1,Liposomal Cytarabine,0.9873,Cytarabine,0.9533,Liposome-encapsulated Daunorubicin-Cytarabine,0.9388,Cyclosporine,0.8896,Doxorubicin,0.8831
199,Cytosine,Cytosine,1,Cytosine,1.0000,Cytarabine,0.9074,Cyclophosphamide,0.9006,Decitabine,0.8986,Cetuximab,0.8837
200,Cytoxan,Cyclophosphamide,5,Mitoxantrone,0.9045,Cytarabine,0.9034,Celecoxib,0.8958,Liposomal Cytarabine,0.8952,Cyclophosphamide,0.8910
201,Cyx,Cyclophosphamide,1,Cyclophosphamide,0.9109,Cixutumumab,0.9041,Cyclosporine,0.8914,Cytarabine,0.8894,Cetuximab,0.8889
202,DC vaccine,Dendritic Cell Vaccine,1,Dendritic Cell Vaccine,0.9671,Vaccine,0.9322,Decitabine,0.8996,Dexamethasone,0.8959,Dexamethasone,0.8959
203,DC_VAX,Dendritic Cell Vaccine,2,Dactinomycin,0.8821,Dendritic Cell Vaccine,0.8816,Dacarbazine,0.8753,Decitabine,0.8724,Vadastuximab Talirine,0.8709
204,DLL4/VEGF antibody OMP-305B83,Navicixizumab,99,Anti-PLGF Monoclonal Antibody TB-403,0.9161,FLT3/CDK4/6 Inhibitor FLX925,0.8951,Anti-CD98 Monoclonal Antibody IGN523,0.8942,Anti-HGF Monoclonal Antibody TAK-701,0.8933,Anti-CD33 Monoclonal Antibody BI 836858,0.8874
205,DOPAMINE,Dopamine,1,Dopamine,1.0000,Epinephrine,0.8910,Dexamethasone,0.8879,Dexamethasone,0.8879,Adalimumab,0.8862
206,DTIC,Dacarbazine,1,Dacarbazine,0.9061,Decitabine,0.8945,Dactinomycin,0.8921,Adalimumab,0.8891,Dactolisib,0.8887
207,DURVALUMAB,Durvalumab,1,Durvalumab,1.0000,Daratumumab,0.8924,Valspodar,0.8865,Robatumumab,0.8809,Bevacizumab,0.8806
208,Dabrafenib,Dabrafenib,1,Dabrafenib,1.0000,Vemurafenib,0.9210,Regorafenib,0.9181,Abiraterone,0.9136,Abiraterone Acetate,0.9098
209,Dacomitinib,Dacomitinib,1,Dacomitinib,1.0000,Dactinomycin,0.9179,Dacarbazine,0.9175,Decitabine,0.9080,Gilteritinib,0.9052
210,Daratumumab,Daratumumab,1,Daratumumab,1.0000,Mapatumumab,0.9314,Robatumumab,0.9307,Glembatumumab,0.9260,Trastuzumab,0.9199
211,Dasatinib,Dasatinib,1,Dasatinib,1.0000,Imatinib,0.9209,Sunitinib,0.9085,Capecitabine,0.9066,Gefitinib,0.9045
212,Daunorubicin,Daunorubicin,1,Daunorubicin,1.0000,Liposome-encapsulated Daunorubicin-Cytarabine,0.9289,Doxorubicin,0.9257,Doxorubicin Hydrochloride,0.9046,Adalimumab,0.8981
213,Debio-1347,Zoligratinib,99,Primary Debulking Surgery,0.8656,Decitabine,0.8550,Purine Analogue NSC 750854,0.8539,Ponatinib,0.8512,Tumor Debulking,0.8499
214,Debulking surgery,Tumor Debulking,1,Tumor Debulking,0.9625,Tumor Debulking,0.9625,Primary Debulking Surgery,0.9621,Interval Debulking Surgery,0.9311,Surgery,0.8878
215,Decitabine,Decitabine,1,Decitabine,1.0000,Dacarbazine,0.9201,Dexamethasone,0.9103,Dexamethasone,0.9103,Azacitidine,0.9102
216,Decitbne,Decitabine,1,Decitabine,0.9170,Dactinomycin,0.8807,Dacarbazine,0.8782,Devimistat,0.8736,Bevacizumab,0.8705
217,Decortin H,Prednisolone,99,Dactinomycin,0.8984,Decitabine,0.8776,Dacarbazine,0.8752,Ivosidenib,0.8742,Tretinoin,0.8683
218,Dexamethasone,Dexamethasone,1,Dexamethasone,1.0000,Dexamethasone,1.0000,Prednisolone,0.9287,Prednisone,0.9238,Steroid Therapy,0.9178
219,Distal pancreatectomy,Distal Pancreatectomy,1,Distal Pancreatectomy,1.0000,Pancreaticoduodenectomy,0.9430,Total Pancreatectomy,0.9363,Pylorus-sparing pancreaticoduodenectomy (procedure),0.9201,Resection,0.8959
220,Docetaxel,Docetaxel,1,Docetaxel,1.0000,Abiraterone,0.9108,Paclitaxel,0.9058,Dexamethasone,0.9055,Dexamethasone,0.9055
221,Donor Lymphocyte Infusion,Donor Lymphocyte Infusion,1,Donor Lymphocyte Infusion,1.0000,Tumor Infiltrating Lymphocyte Therapy,0.9081,NK Cell-enriched Donor Lymphocytes,0.8984,Hematopoietic Cell Transplantation,0.8976,Allogeneic Hematopoietic Stem Cell Transplantation,0.8973
222,Double Umbilical Cord Blood Transplant (DUCBT),Double-Unit Umbilical Cord Blood Transplantation,1,Double-Unit Umbilical Cord Blood Transplantation,0.9526,Allogeneic Hematopoietic Stem Cell Transplantation,0.8881,Allogeneic Hematopoietic Stem Cell Transplantation,0.8881,Haploidentical Hematopoietic Cell Transplantation,0.8867,Autologous Hematopoietic Stem Cell Transplantation,0.8846
223,Doxorubicin,Doxorubicin,1,Doxorubicin,1.0000,Doxorubicin Hydrochloride,0.9678,Anthracycline Antineoplastic Antibiotic,0.9266,Daunorubicin,0.9257,Adalimumab,0.9186
224,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,1,Doxorubicin Hydrochloride,1.0000,Doxorubicin,0.9678,Irinotecan Hydrochloride,0.9327,Anthracycline Antineoplastic Antibiotic,0.9211,Erlotinib Hydrochloride,0.9094
225,Durvalumab,Durvalumab,1,Durvalumab,1.0000,Daratumumab,0.8924,Valspodar,0.8865,Robatumumab,0.8809,Bevacizumab,0.8806
226,Durvalumab (GIC026),Durvalumab,1,Durvalumab,0.9482,Anti-CD98 Monoclonal Antibody IGN523,0.8994,Glembatumumab,0.8910,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8899,MDM2/MDMX Inhibitor ALRN-6924,0.8884
227,Dutasteride,Dutasteride,1,Dutasteride,1.0000,Prostatectomy,0.8997,Sorafenib,0.8948,Radical Prostatectomy,0.8939,Tamoxifen,0.8921
228,E7070,Indisulam,99,Imatinib,0.8612,Anti-CD98 Monoclonal Antibody IGN523,0.8538,Adalimumab,0.8531,Epinephrine,0.8485,Rovalpituzumab Tesirine,0.8470
229,E7438/EPZ6438,Tazemetostat,99,Anti-PLGF Monoclonal Antibody TB-403,0.8609,External,0.8582,External,0.8582,Epinephrine,0.8569,Enoblituzumab,0.8565
230,EBRT,External Beam Radiation Therapy,1,External Beam Radiation Therapy,0.9182,External Beam Radiation Therapy,0.9182,Radiation Therapy,0.8970,Radiation Therapy,0.8970,Everolimus,0.8952
231,EC1456,Folate Receptor-Targeted Tubulysin Conjugate EC1456,1,Folate Receptor-Targeted Tubulysin Conjugate EC1456,0.8951,JAK2 Inhibitor AZD1480,0.8764,Celecoxib,0.8679,Epinephrine,0.8634,Etoposide,0.8632
232,EGFR inhibitor,Anti-EGFR Monoclonal Antibody,1,Anti-EGFR Monoclonal Antibody,0.9461,Gefitinib,0.9180,AKT Inhibitor,0.9168,Erlotinib,0.9132,Aromatase Inhibitor,0.9084
233,EPINEPHRINE,Epinephrine,1,Epinephrine,1.0000,Dopamine,0.8910,Interferon Alpha,0.8889,Imatinib,0.8884,Epirubicin,0.8883
234,ERIBULIN,Eribulin,1,Eribulin,1.0000,Empesertib,0.8934,Dabrafenib,0.8918,Regorafenib,0.8914,Epirubicin,0.8854
235,ESD,Endoscopic Submucosal Dissection,1,Endoscopic Submucosal Dissection,0.9137,Esophagectomy,0.9057,Esophagectomy,0.9057,Everolimus,0.9031,Decitabine,0.8930
236,EXCISION,Excision,1,Excision,1.0000,Excision,1.0000,Excision,1.0000,Excision,1.0000,Skin Excision,0.9689
237,EXCISION WITH NEEDLE WIRE LOCALIZATION,Excision;Wire-Guided Localization,99,Wire-Guided Localization,0.9226,Wire-Guided Localization,0.9226,Wire-Guided Localization,0.9226,Wire-Guided Localization,0.9226,Wire-Guided Localization,0.9226
238,Enasidenib,Enasidenib,1,Enasidenib,1.0000,Enucleation,0.9068,Enucleation,0.9068,Enucleation,0.9068,Eribulin,0.8776
239,Endoxan,Cyclophosphamide,99,Epinephrine,0.8894,Prexasertib,0.8814,Mitoxantrone,0.8793,Edicotinib,0.8790,Ruxolitinib,0.8788
240,Entospletinib,Entospletinib,1,Entospletinib,1.0000,Pexidartinib,0.9028,Quizartinib,0.8942,Enzalutamide,0.8852,Enoblituzumab,0.8851
241,Enucleation,Enucleation,1,Enucleation,1.0000,Enucleation,1.0000,Enucleation,1.0000,Enasidenib,0.9068,Enoblituzumab,0.8973
242,Enzalutamide,Enzalutamide,1,Enzalutamide,1.0000,Bicalutamide,0.9358,Leuprolide,0.8955,Abiraterone Acetate,0.8937,Antiandrogen Therapy,0.8926
243,Epirubicin,Epirubicin,1,Epirubicin,1.0000,Idarubicin,0.9436,Abiraterone,0.8951,External Beam Radiation Therapy,0.8902,External Beam Radiation Therapy,0.8902
244,Eribulin,Eribulin,1,Eribulin,1.0000,Empesertib,0.8934,Dabrafenib,0.8918,Regorafenib,0.8914,Epirubicin,0.8854
245,Esophagectomy,Esophagectomy,1,Esophagectomy,1.0000,Esophagectomy,1.0000,Ureterectomy,0.9215,Ureterectomy,0.9215,Endoscopic Resection,0.9197
246,Esophagectomy (outside),Esophagectomy;External,99,Esophagectomy,0.9461,Esophagectomy,0.9461,Endoscopic Resection,0.8982,Urethrectomy,0.8942,Ureterectomy,0.8883
247,Estramustine,Estramustine,1,Estramustine,1.0000,Mogamulizumab,0.8879,Gemtuzumab,0.8815,Gemtuzumab Ozogamicin,0.8716,Trastuzumab,0.8712
248,Et,Etoposide,99,Tamoxifen,0.8747,Trametinib,0.8720,Trastuzumab,0.8712,Erlotinib,0.8683,Biopsy,0.8676
249,Etoposide,Etoposide,1,Etoposide,1.0000,Etoposide Phosphate,0.9552,Erlotinib,0.9069,Temozolomide,0.9019,Topoisomerase-I Inhibitor,0.8992
250,Etopside,Etoposide,1,Etoposide,0.9155,Topotecan,0.8883,Etoposide Phosphate,0.8873,Oxaliplatin,0.8839,Craniotomy,0.8803
251,Everolimus,Everolimus,1,Everolimus,1.0000,Axitinib,0.9222,Sirolimus,0.9205,Erlotinib,0.9130,Ipilimumab,0.9126
252,Excision,Excision,1,Excision,1.0000,Excision,1.0000,Excision,1.0000,Excision,1.0000,Skin Excision,0.9689
253,Excisional biopsy,Excisional Biopsy,1,Excisional Biopsy,1.0000,Excision,0.9524,Excision,0.9524,Excision,0.9524,Excision,0.9524
254,Excisional biospy,Excisional Biopsy,1,Excisional Biopsy,0.9271,Excision,0.9192,Excision,0.9192,Excision,0.9192,Excision,0.9192
255,Exemestane,Exemestane,1,Exemestane,1.0000,Letrozole,0.8823,Tamoxifen,0.8795,Zoligratinib,0.8758,Fulvestrant,0.8737
256,Exploration,Exploratory Surgery,1,Exploratory Surgery,0.9055,Exploratory Surgery,0.9055,Exploratory Surgery,0.9055,Esophagectomy,0.8747,Esophagectomy,0.8747
257,Exploration (outside),Exploratory Surgery;External,99,Exploratory Surgery,0.8688,Exploratory Surgery,0.8688,Exploratory Surgery,0.8688,Urethrectomy,0.8670,Laparoscopy,0.8668
258,Exploratory laparotomy,Exploratory Surgery;Laparotomy,99,Exploratory Surgery,0.9629,Exploratory Surgery,0.9629,Exploratory Surgery,0.9629,Laparotomy,0.9534,Pelvic Exenteration,0.8952
259,Extended Lobectomy,Extend;Lobectomy,99,Lobectomy,0.9418,Lobectomy,0.9418,Left Hemihepatectomy,0.8963,Cystectomy,0.8890,Cystectomy,0.8890
260,External Beam,External Beam Radiation Therapy,1,External Beam Radiation Therapy,0.9767,External Beam Radiation Therapy,0.9767,External,0.9409,External,0.9409,Proton Beam Radiation Therapy,0.9018
261,"External Beam, 3D Conformal",External Beam Radiation Therapy;3-Dimensional Conformal Radiation Therapy,99,3-Dimensional Conformal Radiation Therapy,0.9457,3-Dimensional Conformal Radiation Therapy,0.9457,External Beam Radiation Therapy,0.9426,External Beam Radiation Therapy,0.9426,"Radiotherapy, Conformal",0.9411
262,FENRETINIDE,Fenretinide,1,Fenretinide,1.0000,Isotretinoin,0.9123,Clofarabine,0.8979,Fluorouracil,0.8975,Ifosfamide,0.8904
263,FLUORO-PYRIMIDINE,Fluoropyrimidine,1,Fluoropyrimidine,0.9648,Fluorouracil,0.9222,Floxuridine,0.8964,Fludarabine,0.8931,Capecitabine,0.8839
264,FLX925,FLT3/CDK4/6 Inhibitor FLX925,1,FLT3/CDK4/6 Inhibitor FLX925,0.9221,Afatinib,0.8863,Fludarabine,0.8845,Mefloquine,0.8793,Fenretinide,0.8790
265,FNA,Fine-Needle Aspiration,1,Fine-Needle Aspiration,0.9332,Aspiration,0.9138,Fluorouracil,0.9097,Afatinib,0.8996,Biopsy,0.8947
266,FOLIC_ACID,Folic Acid,1,Folic Acid,0.9892,Valproic Acid,0.9081,Fluorouracil,0.9038,Clofarabine,0.8874,Fludarabine,0.8797
267,FSRT,Fractionated Stereotactic Radiation Therapy,99,Fluorouracil,0.9039,Ifosfamide,0.8988,Afatinib,0.8882,Fenretinide,0.8864,Fludarabine,0.8858
268,FU,Fluorouracil,1,Fluorouracil,0.9548,Floxuridine,0.9064,Fluoropyrimidine,0.9064,Fotemustine,0.9046,Fludarabine,0.9042
269,FUDR,Floxuridine,3,Fluorouracil,0.9309,Fludarabine,0.9155,Floxuridine,0.9010,Fluoropyrimidine,0.8961,Fotemustine,0.8913
270,FULVESTRANT,Fulvestrant,1,Fulvestrant,1.0000,Afatinib,0.9070,Tamoxifen,0.9040,Trastuzumab Emtansine,0.8956,Dabrafenib,0.8952
271,Filgrastim,Filgrastim,1,Filgrastim,1.0000,Fludarabine,0.9019,Afatinib,0.8997,Zoligratinib,0.8949,Sargramostim,0.8942
272,Fine Needle aspiration biopsy,Fine-Needle Aspiration,1,Fine-Needle Aspiration,0.9807,Biopsy,0.9128,Biopsy,0.9128,Biopsy,0.9128,Biopsy,0.9128
273,Fine needle aspiration biopsy,Fine-Needle Aspiration,1,Fine-Needle Aspiration,0.9807,Biopsy,0.9128,Biopsy,0.9128,Biopsy,0.9128,Biopsy,0.9128
274,Flu,Fludarabine,1,Fludarabine,0.9360,Fluorouracil,0.8986,Afatinib,0.8874,Fluoropyrimidine,0.8867,Filgrastim,0.8835
275,Fludarabine,Fludarabine,1,Fludarabine,1.0000,Fluorouracil,0.9150,Cladribine,0.9047,Abiraterone,0.9036,Ifosfamide,0.9033
276,Fluorouracil,Fluorouracil,1,Fluorouracil,1.0000,Fluoropyrimidine,0.9346,Floxuridine,0.9194,Fludarabine,0.9150,Folic Acid,0.9139
277,Fluorouracil (5-FU),Fluorouracil,1,Fluorouracil,0.9687,Fluoropyrimidine,0.9314,Fotemustine,0.9144,Floxuridine,0.9143,Fludarabine,0.9140
278,Fluropyrimidine,Fluoropyrimidine,1,Fluoropyrimidine,0.9543,Fluorouracil,0.9085,Fludarabine,0.9083,Floxuridine,0.8903,Afatinib,0.8884
279,Fotemustine,Fotemustine,1,Fotemustine,1.0000,Lomustine,0.9233,Carmustine,0.9151,Fluorouracil,0.9135,Mycophenolate Mofetil,0.8939
280,G-CSF,Granulocyte Colony-Stimulating Factor,1,Granulocyte Colony-Stimulating Factor,0.9239,Gemtuzumab,0.8963,Immunoglobulin,0.8962,Gefitinib,0.8927,Gemcitabine,0.8916
281,G3139,Oblimersen Sodium,99,Gemcitabine,0.8713,Carboplatin,0.8611,Anti-ErbB3 Monoclonal Antibody REGN1400,0.8598,PIM Kinase Inhibitor SGI-1776,0.8560,Purine Analogue NSC 750854,0.8550
282,GCSF,Granulocyte Colony-Stimulating Factor,1,Granulocyte Colony-Stimulating Factor,0.8836,Ganetespib,0.8825,Glasdegib,0.8807,Gefitinib,0.8759,Dexamethasone,0.8750
283,GDC0032,Taselisib,99,Dexamethasone,0.8738,Dexamethasone,0.8738,Anti-CD98 Monoclonal Antibody IGN523,0.8731,Polyamine Analogue PG11047,0.8702,PIM Kinase Inhibitor SGI-1776,0.8693
284,GEM,Gemcitabine,3,Gemtuzumab,0.9548,Gemtuzumab Ozogamicin,0.9381,Gemcitabine,0.9194,Pemetrexed,0.8943,Gefitinib,0.8907
