,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
131,CCNU,Lomustine,99,Celecoxib,0.9045,Cinoxolone,0.8976,Cinobufagin,0.8943,Radicicol,0.8940,Norcodeine,0.8912
132,CD123,Immunotherapeutic Agent,99,Anti-CD123 Monoclonal Antibody,0.9389,Anti-CD123 Monoclonal Antibody KHK2823,0.9251,CD15 Antigen,0.9244,CD137 Agonist,0.9168,Autologous Anti-CD123 CAR-T Cells,0.9145
133,CD3,Anti-CD3 Monoclonal Antibody,1,Anti-CD3 Monoclonal Antibody,0.9422,Anti-CD33 Monoclonal Antibody,0.9420,Anti-CD30 Monoclonal Antibody,0.9314,Anti-CD33 Monoclonal Antibody BI 836858,0.9289,CD30 Immunotoxin,0.9279
134,CDK46,Cyclin-Dependent Kinase Inhibitor,99,CDK4/6 Inhibitor TQB3616,0.9230,CDK4 Inhibitor P1446A-05,0.9223,CDK4/6 Inhibitor BPI-1178,0.9195,CDK4/6 Inhibitor SPH4336,0.9180,CDK4/6 Inhibitor HS-10342,0.9171
135,CDX-011 (GLEMBATUMUMAB),Glembatumumab,2,Anti-CD40 Agonist Monoclonal Antibody CDX-1140,0.9352,Glembatumumab,0.9308,Anti-CD70 Monoclonal Antibody MDX-1411,0.9295,Antibody-drug Conjugate Anti-TIM-1-vcMMAE CDX-014,0.9289,Anti-CD70 Antibody-Drug Conjugate MDX-1203,0.9280
136,CELECOXIB,Celecoxib,1,Celecoxib,1.0000,Topical Celecoxib,0.9530,Suclofenide,0.9283,Cyclooxygenase Inhibitor,0.9207,Curcumin,0.9182
137,CGC(PG)-11047,Polyamine Analogue PG11047,3,CGP-6809,0.9147,gp100:44-59,0.9135,Polyamine Analogue PG11047,0.9027,CpG-28 Oligodeoxynucleotide,0.8971,ISS 1018 CpG Oligodeoxynucleotide,0.8947
138,CI-980,Mivobulin Isethionate,99,MEK Inhibitor CI-1040,0.9025,Cistinexine,0.9012,Cizolirtine,0.9009,Cixutumumab,0.8959,Cioteronel,0.8948
139,CIS,Cisplatin,99,Cisapride,0.9515,Cisconazole,0.9389,Cismadinone,0.9250,Cistinexine,0.9247,Cisatracurium,0.9181
140,CISPLATIN,Cisplatin,1,Cisplatin,1.0000,Cisplatin Liposomal,0.9523,Carboplatin,0.9259,Cisplatin-E Therapeutic Implant,0.9255,Platinum Compound,0.9232
141,CORE,Core Biopsy,99,CoREST Inhibitor TNG260,0.8752,Calpurbatug,0.8745,Curcumin,0.8720,Curcuminoid,0.8691,Cotoretigene Toliparvovec,0.8651
142,CPI-613,Devimistat,99,CP-547632,0.9351,ITK Inhibitor CPI-818,0.9216,Nanoparticle Formulation CPI-300,0.9184,Indium In 111 Minigastrin Analog CP04,0.9053,PD-L1 Inhibitor BPI-371153,0.9039
143,CPT-11,Irinotecan Hydrochloride,99,11C Topotecan,0.9056,CTP-37,0.8994,HPV-11 Vaccine,0.8991,Monoclonal Antibody 7C11,0.8989,Irinotecan,0.8982
144,CPX-351,Liposome-encapsulated Daunorubicin-Cytarabine,99,CP-547632,0.9327,Nanoparticle Formulation CPI-300,0.9300,ITK Inhibitor CPI-818,0.9105,Anti-EGFR Antibody-drug Conjugate CPO301,0.8995,PR-151 Peptide,0.8989
145,CPX351,Liposome-encapsulated Daunorubicin-Cytarabine,99,CP-547632,0.9163,Nanoparticle Formulation CPI-300,0.9141,ITK Inhibitor CPI-818,0.9039,Axelopran,0.8985,Prucalopride,0.8981
146,CSF1R inhibitor,Immunosuppressant,99,CSF1R Inhibitor,1.0000,CSF1R-targeting Agent,0.9615,CSF1R Inhibitor PLX73086,0.9572,Anti-CSF1R Monoclonal Antibody,0.9535,CSF1R Inhibitor HMPL-653,0.9514
147,CTL019,Tisagenlecleucel,99,Anti-CD20 Monoclonal Antibody TL011,0.9016,VCL-CB01 Vaccine,0.8907,Melanoma TRP2 CTL Epitope Vaccine SCIB1,0.8898,Autologous Natural Killer Cell-like CTLs,0.8896,RAS Peptide Cancer Vaccine TG01,0.8883
148,CVT,Regadenoson,99,Cyclovalone,0.9134,Ciheptolane,0.9115,Cioteronel,0.9089,Vancomycin,0.9084,Siccanin,0.9081
149,CX-01,Dociparstat sodium,99,Thymidylate Synthase Inhibitor CX1106,0.8971,PD-1 Directed Probody CX-188,0.8955,Anti-CD71/vcMMAE Probody-drug Conjugate CX-2029,0.8930,CXC Chemokine Receptor 2 Antagonist AZD5069,0.8919,XPO1 Inhibitor WJ01075,0.8898
150,CX-5461 (POL1),Pidnarulex,99,Thymidylate Synthase Inhibitor CX1106,0.9150,IDO1 Inhibitor PF-06840003,0.9091,CP-547632,0.9054,XPO1 Inhibitor WJ01075,0.9040,CK2-targeting Synthetic Peptide CIGB-300,0.9039
151,CXCR4 inhibitor,CXCR4 Inhibitor,1,CXCR4 Inhibitor,1.0000,CXCR4 Inhibitor Q-122,0.9468,CXCR4 Inhibitor GPC-100,0.9400,CXCR4 Peptide Antagonist LY2510924,0.9375,CXCR4 Antagonist USL311,0.9343
152,CY,Cyclophosphamide,4,CyA 246,0.9326,Cyheptamide,0.9304,Cyheptropine,0.9293,Cyclophosphamide,0.9245,Cyacetacide,0.9233
153,CYCLOPHOSPHAMIDE,Cyclophosphamide,1,Cyclophosphamide,1.0000,Cyclophosphamide Anhydrous,0.9458,Carbamazepine,0.9199,Chloroprednisone,0.9132,Theophylline,0.9123
154,CYSTOPROSTATECTOMY,Radical Cystoprostatectomy,99,Carboprost,0.9137,Cystamine,0.9047,Misoprostol,0.8990,Dinoprostone,0.8903,Carboprost Methyl,0.8889
155,CYTARABINE,Cytarabine,1,Cytarabine,1.0000,Cytarabine Hydrochloride,0.9596,Liposomal Cytarabine,0.9526,Thiarabine,0.9371,Cytembena,0.9361
156,Cabazitaxel,Cabazitaxel,1,Cabazitaxel,1.0000,Cabastine,0.9449,Cabergoline,0.9319,Cabiralizumab,0.9226,Cabozantinib,0.9164
157,Cabivalizumab,Cabiralizumab,1,Cabiralizumab,0.9487,Cabazitaxel,0.9308,Cabastine,0.9253,Cabotegravir,0.9147,Cabergoline,0.9125
158,Cabo,Cabozantinib,2,Cabastine,0.9469,Cabozantinib,0.9344,Cabazitaxel,0.9290,Cabiralizumab,0.9145,Cabotegravir,0.9122
159,Cabozantinib,Cabozantinib,1,Cabozantinib,1.0000,Cabozantinib S-malate,0.9485,Cabastine,0.9271,Cabergoline,0.9173,Cabazitaxel,0.9164
160,Cape,Capecitabine,99,Capeserod,0.9473,Ancitabine,0.9027,Censavudine,0.8941,Candicidin,0.8930,Chloramphenicol,0.8921
161,Capecitabine,Capecitabine,1,Capecitabine,1.0000,Capecitabine Rapidly Disintegrating Tablet,0.9394,Gemcitabine,0.9101,Dasatinib,0.9066,Temozolomide,0.9053
162,Capectitabine,Capecitabine,99,Capromorelin,0.9096,Tetrydamine,0.9015,Gemcabene,0.9000,Capromorelin Tartrate,0.8993,Ticarbodine,0.8965
163,Carbo,Carboplatin,99,Carboquone,0.9568,Carbenzide,0.9437,Carbogen,0.9414,Carbocloral,0.9405,Carbaril,0.9385
164,Carboplatin,Carboplatin,1,Carboplatin,1.0000,Cisplatin,0.9259,Cetuximab,0.9212,Carbon C14-labeled Carboplatin,0.9148,Dicycloplatin,0.9125
165,Carmustine,Carmustine,1,Carmustine,1.0000,Carmustine in Ethanol,0.9524,Lomustine,0.9492,Elmustine,0.9486,Carmustine Implant,0.9445
166,Cart-T cell therapy,Chimeric Antigen Receptor T-Cell Therapy,99,Allogeneic CRISPR-edited Anti-CD19 CAR T Cells PACE CART19,0.9318,Autologous Anti-CD22 CAR-4-1BB-TCRz-transduced T-lymphocytes CART22-65s,0.9265,Autologous Anti-BCMA-CAR-TCRz/4-1BB-expressing T-lymphocytes CART-BCMA,0.9259,Autologous CD19 CAR-expressing CD4+/CD8+ T-cells MB-CART19.1,0.9217,Autologous Anti-CD20 CAR Transduced CD4/CD8 Enriched T-cells MB-CART20.1,0.9193
167,Casodex,Bicalutamide,99,Casimersen,0.9291,Casopitant,0.9187,Casokefamide,0.9153,Sulodexide,0.9151,Casanthranol,0.9082
168,Casoxdex,Bicalutamide,99,Casimersen,0.9119,Disoxaril,0.9109,Casanthranol,0.9099,Casdozokitug,0.9096,Casopitant,0.9089
169,Caudate segmentectomy,Caudate Lobe;Segmentectomy,99,Rodocaine,0.8720,Dexivacaine,0.8655,Simvastatin,0.8618,Exalamide,0.8614,Rolapitant,0.8606
170,Cediranib,Cediranib,1,Cediranib,1.0000,Cediranib Maleate,0.9649,Cedirogant,0.9314,Cedefingol,0.9202,Disulfiram,0.9177
171,Celgene CC-15,DNA-PK/TOR Kinase Inhibitor CC-115,99,Celmoleukin,0.8964,Celgosivir,0.8838,Cyclophosphamide,0.8825,Celivarone,0.8814,Celiprolol,0.8805
172,Cellcept,Mycophenolate Mofetil,99,Cell Surface Antigen,0.9094,Rituximab,0.8941,Alefacept,0.8932,Infliximab,0.8929,Recifercept,0.8926
173,Cepecitabine,Capecitabine,99,Decitabine,0.9333,Emtricitabine,0.9319,Cephapirin,0.9274,Ancitabine,0.9271,Cephacetrile,0.9249
174,Cetuximab,Cetuximab,1,Cetuximab,1.0000,Cetuximab-IRDye 800CW,0.9342,Cetuximab Sarotalocan,0.9282,Colistin,0.9217,Carboplatin,0.9212
175,Cilengitide,Cilengitide,1,Cilengitide,1.0000,Cilansetron,0.9295,Cilofexor,0.9288,Cilobamine,0.9278,Cilastatin,0.9260
176,Cis,Cisplatin,99,Cisapride,0.9515,Cisconazole,0.9389,Cismadinone,0.9250,Cistinexine,0.9247,Cisatracurium,0.9181
177,Cisplatin,Cisplatin,1,Cisplatin,1.0000,Cisplatin Liposomal,0.9523,Carboplatin,0.9259,Cisplatin-E Therapeutic Implant,0.9255,Platinum Compound,0.9232
178,Cladribine,Cladribine,1,Cladribine,1.0000,Cycrimine,0.9259,Azaribine,0.9210,Cetrimide,0.9153,Cycrimine Hydrochloride,0.9146
179,Clofarabine,Clofarabine,1,Clofarabine,1.0000,Clofurac,0.9472,Cloranolol,0.9367,Clofezone,0.9352,Clofoctol,0.9342
180,Cobemitinib,Cobimetinib,2,Cobolimab,0.9430,Cobimetinib,0.9360,Cobicistat,0.9354,Ceritinib,0.9353,Cimemoxin,0.9200
181,Cobimetinib,Cobimetinib,1,Cobimetinib,1.0000,Cobimetinib Fumarate,0.9678,Binimetinib,0.9429,Ralimetinib,0.9415,Cobicistat,0.9371
182,Conformal,"Radiotherapy, Conformal",99,Cyproterone,0.8886,Chloral,0.8869,Chlorazanil,0.8856,Chlorambucil,0.8813,Cyclopregnol,0.8807
183,Core Biopsy of liver lesion,Core Biopsy;Liver Lesion,99,Therapeutic Liver Cancer Peptide Vaccine IMA970A,0.8702,Hepatoprotective Agent,0.8688,Soluble Liver Antigen,0.8643,Tumor Necrosis Factor (CET),0.8633,Deterenol Hydrochloride,0.8633
184,Craniotomy,Craniotomy,99,Alamecin,0.8900,Venetoclax,0.8893,Alanosine,0.8893,Topotecan,0.8859,Oxamyl,0.8843
185,Crenolanib,Crenolanib,1,Crenolanib,1.0000,Crenolanib Besylate,0.9549,Nenocorilant,0.9024,Brivaracetam,0.9017,Selnoflast,0.9006
186,CsPt,Cisplatin,99,Cephacetrile,0.8933,DetoxPC,0.8910,Cimepanol,0.8903,Cimpuciclib,0.8903,Ticalopride,0.8888
187,Ctx,Cyclophosphamide,99,Cefoxazole,0.9257,Cephalexin,0.9245,Cefazedone,0.9231,Cefrotil,0.9175,Ceftriaxone,0.9170
188,Cy,Cyclophosphamide,4,CyA 246,0.9326,Cyheptamide,0.9304,Cyheptropine,0.9293,Cyclophosphamide,0.9245,Cyacetacide,0.9233
189,CyPh,Cyclophosphamide,99,Cyproquinate,0.9423,Cyprodenate,0.9410,Cyproterone,0.9319,Cyproheptadine,0.9318,Cyprazepam,0.9292
190,Cyclophoshamide,Cyclophosphamide,99,Cyclophenazine,0.9480,Cyclopropane,0.9419,Cyclopentamine,0.9411,Cyclophenazine Hydrochloride,0.9389,Cyclopentamine Hydrochloride,0.9314
191,Cyclophospha,Cyclophosphamide,99,Cyclopropane,0.9530,Cyclophenazine,0.9441,Cyclopregnol,0.9437,Cyclopyrronium,0.9432,Cyclopentamine,0.9401
192,Cyclophosphamide,Cyclophosphamide,1,Cyclophosphamide,1.0000,Cyclophosphamide Anhydrous,0.9458,Carbamazepine,0.9199,Chloroprednisone,0.9132,Theophylline,0.9123
193,Cystectomy,Cystectomy,99,Cysteamine,0.9271,Cystemustine,0.9153,Cysteamine Hydrochloride,0.9117,Cysteamine Bitartrate,0.8964,Nacubactam,0.8915
194,Cystoprostatectomy,Radical Cystoprostatectomy,99,Carboprost,0.9137,Cystamine,0.9047,Misoprostol,0.8990,Dinoprostone,0.8903,Carboprost Methyl,0.8889
195,Cystoprostatectomy (robotic),Radical Cystoprostatectomy;Robot-Assisted Surgery,99,Carboprost,0.9006,Misoprostol,0.8908,Ciprostene,0.8877,Cystamine,0.8851,Ciltoprazine,0.8849
196,Cystoprotatectomy,Radical Cystoprostatectomy,99,Cystamine,0.9114,Periciazine,0.8959,Carbutamide,0.8887,Carboprost,0.8886,Pirazolac,0.8859
197,Cytarabine,Cytarabine,1,Cytarabine,1.0000,Cytarabine Hydrochloride,0.9596,Liposomal Cytarabine,0.9526,Thiarabine,0.9371,Cytembena,0.9361
198,Cytarabine - liposomal,Liposomal Cytarabine,1,Liposomal Cytarabine,0.9873,Cytarabine,0.9533,Liposome-encapsulated Daunorubicin-Cytarabine,0.9388,Cytarabine Hydrochloride,0.9376,Liposomal Amphotericin B,0.9246
199,Cytosine,Cytosine,99,4-(3-Ethylureido)-Cytosine,0.9134,Cytarabine,0.9074,Cyclopentenyl Cytosine,0.9036,5-Methyl-4-(3-Ethylureido)-Cytosine,0.9020,Chloramphenicol,0.9019
200,Cytoxan,Cyclophosphamide,99,Cytochlor,0.9323,Carbenoxolone,0.9170,Droxacin,0.9131,Bexarotene,0.9116,Paraxazone,0.9071
201,Cyx,Cyclophosphamide,99,Cyheptropine,0.9300,Cyheptamide,0.9276,Carbenoxolone,0.9233,Cyacetacide,0.9214,Cyamemazine,0.9213
202,DC vaccine,Dendritic Cell Vaccine,2,DC-OVA Vaccine,0.9733,Dendritic Cell Vaccine,0.9671,Dendritic Cell Tumor Peptide Vaccine,0.9387,Dendritic Cell Tumor Cell Lysate Vaccine,0.9342,Vaccine,0.9322
203,DC_VAX,Dendritic Cell Vaccine,99,DC-OVA Vaccine,0.9025,Daxdilimab,0.9021,Vafidemstat,0.9009,Devafidugene Civaparvovec,0.8951,Vaborbactam,0.8946
204,DLL4/VEGF antibody OMP-305B83,Navicixizumab,99,Anti-DLL4/Anti-VEGF-A Bispecific Antibody CTX-009,0.9270,Anti-VEGF/ANG2 Nanobody BI 836880,0.9259,Anti-VEGFC Monoclonal Antibody VGX-100,0.9226,Anti-VEGF Monoclonal Antibody hPV19,0.9203,Anti-VEGFR2 Monoclonal Antibody MSB0254,0.9185
205,DOPAMINE,Dopamine,99,Dopamine Agonist,0.9545,Dopamine Hydrochloride,0.9512,Dopamine Antagonist,0.9353,Levodopa,0.9216,Haloperidol,0.9127
206,DTIC,Dacarbazine,1,Dacarbazine,0.9061,Dacemazine,0.9025,Idazoxan,0.8990,Dacinostat,0.8988,Dazidamine,0.8957
207,DURVALUMAB,Durvalumab,1,Durvalumab,1.0000,Durlobactam,0.9159,Radretumab,0.9090,Navivumab,0.9086,Avelumab,0.9069
208,Dabrafenib,Dabrafenib,1,Dabrafenib,1.0000,Dabrafenib Mesylate,0.9632,Dabigatran,0.9417,Agerafenib,0.9385,Exarafenib,0.9347
209,Dacomitinib,Dacomitinib,1,Dacomitinib,1.0000,Dacomitinib Anhydrous,0.9607,Carbon C-14 Dacomitinib,0.9427,Dacinostat,0.9306,Dacetuzumab,0.9214
210,Daratumumab,Daratumumab,1,Daratumumab,1.0000,Iratumumab,0.9493,Conatumumab,0.9439,Ofatumumab,0.9375,Darodipine,0.9334
211,Dasatinib,Dasatinib,1,Dasatinib,1.0000,Dasatinib Anhydrous,0.9466,Clopidogrel,0.9212,Imatinib,0.9209,Radotinib,0.9161
212,Daunorubicin,Daunorubicin,1,Daunorubicin,1.0000,Daunorubicin Hydrochloride,0.9711,Daunorubicin Citrate,0.9463,Detorubicin,0.9359,Liposomal Daunorubicin Citrate,0.9325
213,Debio-1347,Zoligratinib,99,Hsp90 Inhibitor Debio 0932,0.9026,Octreotide Sustained-release Formulation Debio 4126,0.8962,Anti-CD38/CD3 Bispecific Monoclonal Antibody GBR 1342,0.8884,Pegylated Deoxycytidine Analogue DFP-14927,0.8856,Debamestrocel,0.8854
214,Debulking surgery,Tumor Debulking,99,Deboxamet,0.8942,Debamestrocel,0.8940,Ulodesine,0.8773,Decitabine,0.8680,Erbulozole,0.8680
215,Decitabine,Decitabine,1,Decitabine,1.0000,Dectaflur,0.9393,Decitropine,0.9362,Decitabine and Cedazuridine,0.9303,Decimemide,0.9301
216,Decitbne,Decitabine,1,Decitabine,0.9170,Decitropine,0.9103,Decoglurant,0.9071,Dectaflur,0.9050,Tabilautide,0.9041
217,Decortin H,Prednisolone,99,Dactinomycin,0.8984,Dabelotine,0.8848,Elliptinium,0.8842,Albenatide,0.8840,Nictindole,0.8832
218,Dexamethasone,Dexamethasone,1,Dexamethasone,1.0000,Dexamethasone Phosphate,0.9679,Dexamethasone Acetate,0.9616,Dexamethasone Acetate,0.9616,Dexamethasone Sodium Sulfate,0.9597
219,Distal pancreatectomy,Distal Pancreatectomy,99,Pancrelipase,0.8914,Pancopride,0.8856,Insulin Defalan (Porcine),0.8819,Pancrelipase Amylase,0.8812,Pancrelipase Lipase,0.8779
220,Docetaxel,Docetaxel,1,Docetaxel,1.0000,Oral Docetaxel,0.9712,Docetaxel-PNP,0.9531,Docetaxel Anhydrous,0.9528,Liposomal Docetaxel,0.9485
221,Donor Lymphocyte Infusion,Donor Lymphocyte Infusion,99,Donor Lymphocytes,0.9560,Allogeneic CD25/Treg-depleted Donor Lymphocytes,0.9210,Therapeutic Allogeneic Lymphocytes,0.9183,HSV-TK-Transduced Donor Lymphocytes,0.9178,CD34/TK75 Retroviral Vector-Transduced Donor Lymphocytes,0.9134
222,Double Umbilical Cord Blood Transplant (DUCBT),Double-Unit Umbilical Cord Blood Transplantation,99,hTERT mRNA/Survivin Peptide-double-loaded Autologous Dendritic Cell Vaccine,0.9032,CD3+/CD19+ Cell-depleted Unrelated or Partially Matched Donor-derived Allogeneic Peripheral Blood Stem Cells,0.8981,Dual-target CAR-T Cells BGT007,0.8960,Autologous CD34-positive BCL11A-disrupted Hematopoietic Progenitor Cells ST-400,0.8959,Allogeneic Double Negative T Cells,0.8955
223,Doxorubicin,Doxorubicin,1,Doxorubicin,1.0000,Doxorubicin Hydrochloride,0.9678,Doxorubicin Preparation,0.9641,Rutamycin,0.9341,Doxorubicin-Eluting Beads,0.9323
224,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,1,Doxorubicin Hydrochloride,1.0000,Doxorubicin,0.9678,Pegylated Liposomal Doxorubicin Hydrochloride,0.9563,Doxorubicin Preparation,0.9549,Doxycycline Hydrochloride,0.9503
225,Durvalumab,Durvalumab,1,Durvalumab,1.0000,Durlobactam,0.9159,Radretumab,0.9090,Navivumab,0.9086,Avelumab,0.9069
226,Durvalumab (GIC026),Durvalumab,1,Durvalumab,0.9482,Anti-CD70 Antibody-Drug Conjugate MDX-1203,0.9131,Anti-PD-1 Monoclonal Antibody GNR-051,0.9120,Autologous Anti-HLA-G CAR-T Cells IVS-3001,0.9111,Anti-CD70 Monoclonal Antibody MDX-1411,0.9096
227,Dutasteride,Dutasteride,1,Dutasteride,1.0000,Dutogliptin,0.9507,Dutacatib,0.9352,Finasteride,0.9338,Bolasterone,0.9222
228,E7070,Indisulam,99,Pladienolide Derivative E7107,0.9104,HPV16-E7-T512,0.9007,PARP Inhibitor E7016,0.8961,Halichondrin Analogue E7130,0.8956,Hemiasterlin Analog E7974,0.8930
229,E7438/EPZ6438,Tazemetostat,99,Eperezolid,0.9001,PE/HPV16 E7/KDEL Fusion Protein/GPI-0100 TVGV-1,0.8978,Eptastigmine,0.8967,Epertinib,0.8936,Ep-CAM,0.8924
230,EBRT,External Beam Radiation Therapy,99,Ebastine,0.9447,Ebrotidine,0.9238,Ebdarokimab,0.9213,Ebopiprant,0.9208,Ebronucimab,0.9191
231,EC1456,Folate Receptor-Targeted Tubulysin Conjugate EC1456,4,Ecabapide,0.9141,Eculizumab,0.9048,COX-2 Inhibitor ECP-1014,0.8979,Folate Receptor-Targeted Tubulysin Conjugate EC1456,0.8951,Ecallantide,0.8943
232,EGFR inhibitor,Anti-EGFR Monoclonal Antibody,5,EGFR-targeting Agent,0.9529,EGFR Inhibitor TY-9591,0.9487,EGFR Inhibitor WJ13404,0.9482,EGFR Inhibitor ERAS-801,0.9478,Anti-EGFR Monoclonal Antibody,0.9461
233,EPINEPHRINE,Epinephrine,99,Epinephrine Hydrochloride,0.9601,Lidocaine Hydrochloride/Epinephrine,0.9357,Therapeutic Epinephrine,0.9341,Epinephrine Bitartrate,0.9285,Adrenergic Agonist,0.9139
234,ERIBULIN,Eribulin,1,Eribulin,1.0000,Eribulin Mesylate,0.9516,Indibulin,0.9386,Denibulin,0.9324,Lexibulin,0.9302
235,ESD,Endoscopic Submucosal Dissection,99,Etodroxizine,0.9085,Erdafitinib,0.9057,Escitalopram,0.9055,Edogestrone,0.9043,Everolimus,0.9031
236,EXCISION,Excision,99,Elanzepine,0.8798,Ethion,0.8763,Segesterone,0.8746,Ezetimibe,0.8743,Ecleralimab,0.8734
237,EXCISION WITH NEEDLE WIRE LOCALIZATION,Excision;Wire-Guided Localization,99,Micro Needle Array-Doxorubicin,0.8760,Bupivacaine,0.8603,Epiestriol,0.8603,Flerobuterol,0.8600,Aptiganel,0.8568
238,Enasidenib,Enasidenib,1,Enasidenib,1.0000,Enasidenib Mesylate,0.9555,Vorasidenib,0.9270,Avasimibe,0.9173,Enalapril,0.9091
239,Endoxan,Cyclophosphamide,99,Endomide,0.9331,Endobenzyline,0.9302,Edatrexate,0.9278,Efaroxan,0.9234,Dexefaroxan,0.9150
240,Entospletinib,Entospletinib,1,Entospletinib,1.0000,Epertinib,0.9153,Enilospirone,0.9145,Entex,0.9140,Entolimod,0.9080
241,Enucleation,Enucleation,99,Enoxolone,0.9339,Enrofloxacin,0.9320,Enoxacin,0.9287,Enrasentan,0.9229,Enflurane,0.9220
242,Enzalutamide,Enzalutamide,1,Enzalutamide,1.0000,Bicalutamide,0.9358,Enzacamene,0.9297,Enzastaurin,0.9242,Proxalutamide,0.9228
243,Epirubicin,Epirubicin,1,Epirubicin,1.0000,Epirubicin Hydrochloride,0.9776,Idarubicin,0.9436,Micellar Nanoparticle-encapsulated Epirubicin,0.9335,Leurubicin,0.9286
244,Eribulin,Eribulin,1,Eribulin,1.0000,Eribulin Mesylate,0.9516,Indibulin,0.9386,Denibulin,0.9324,Lexibulin,0.9302
245,Esophagectomy,Esophagectomy,99,Ezetimibe,0.8960,Ezutromid,0.8953,Elucaine,0.8950,Eclazolast,0.8938,Etafenone,0.8919
246,Esophagectomy (outside),Esophagectomy;External,99,Ezutromid,0.8932,Ezetimibe,0.8833,Elucaine,0.8813,Emideltide,0.8770,Ersodetug,0.8769
247,Estramustine,Estramustine,1,Estramustine,1.0000,Estramustine Phosphate Sodium,0.9439,Ambamustine,0.9438,Bendamustine,0.9391,Estramustine Phosphate Sodium Anhydrous,0.9350
248,Et,Etoposide,99,Etorphine,0.9382,Etofibrate,0.9320,Etretinate,0.9299,Etozolin,0.9293,Etevritamab,0.9229
249,Etoposide,Etoposide,1,Etoposide,1.0000,Etoposide Phosphate,0.9552,Etoposide Toniribate,0.9436,Etoprindole,0.9310,Etoprine,0.9301
250,Etopside,Etoposide,5,Etoprine,0.9560,Etoprindole,0.9495,Etoperidone,0.9466,Etoperidone Hydrochloride,0.9277,Etoposide,0.9155
251,Everolimus,Everolimus,1,Everolimus,1.0000,Everolimus Tablets for Oral Suspension,0.9358,Axitinib,0.9222,Sirolimus,0.9205,Erlotinib,0.9130
252,Excision,Excision,99,Elanzepine,0.8798,Ethion,0.8763,Segesterone,0.8746,Ezetimibe,0.8743,Ecleralimab,0.8734
253,Excisional biopsy,Excisional Biopsy,99,Endobenzyline,0.8820,Abiraterone Decanoate Depot,0.8762,Abiraterone Decanoate,0.8753,Abciximab,0.8736,Tenofovir Exalidex,0.8735
254,Excisional biospy,Excisional Biopsy,99,Biosimilar,0.8803,Ecleralimab,0.8747,Endobenzyline,0.8728,Birabresib,0.8685,Recaticimab,0.8664
255,Exemestane,Exemestane,1,Exemestane,1.0000,Formestane,0.9106,Algestone,0.9019,Tigestol,0.9019,Terestigmine,0.8947
256,Exploration,Exploratory Surgery,99,Epaminurad,0.8700,Reproterol,0.8696,Etaminile,0.8667,Plevitrexed,0.8628,Aviscumine,0.8626
257,Exploration (outside),Exploratory Surgery;External,99,Repinotan,0.8710,Exaluren,0.8682,Emepepimut-S,0.8680,Nisotirotide,0.8664,Selodenoson,0.8653
258,Exploratory laparotomy,Exploratory Surgery;Laparotomy,99,Lapachone,0.8836,Ethaverine,0.8785,Epiestriol,0.8740,Ethoxzolamide,0.8725,Enadoline,0.8718
259,Extended Lobectomy,Extend;Lobectomy,99,Extended Spectrum Penicillin Antibiotic,0.8865,Lobenzarit,0.8854,Rosterolone,0.8749,Lobeline,0.8745,Levomequitazine,0.8743
260,External Beam,External Beam Radiation Therapy,99,Ebrotidine,0.8915,Epirubicin,0.8839,Endomide,0.8790,Evofosfamide,0.8778,Obefazimod,0.8755
261,"External Beam, 3D Conformal",External Beam Radiation Therapy;3-Dimensional Conformal Radiation Therapy,99,4'-Iodo-4'-Deoxydoxorubicin,0.8805,Epirubicin,0.8790,Epipropidine,0.8778,Ebrotidine,0.8770,Bufeniode,0.8761
262,FENRETINIDE,Fenretinide,1,Fenretinide,1.0000,Fenofibrate,0.9466,Fenozolone,0.9451,Fenalamide,0.9427,Fenoterol,0.9363
263,FLUORO-PYRIMIDINE,Fluoropyrimidine,1,Fluoropyrimidine,0.9648,5-Fluoropyrimidinone,0.9478,2-Fluorofucose,0.9371,Fluorosalan,0.9284,5-Fluoro-2-Deoxycytidine,0.9281
264,FLX925,FLT3/CDK4/6 Inhibitor FLX925,1,FLT3/CDK4/6 Inhibitor FLX925,0.9221,Faxeladol,0.9182,Fluoxetine,0.9094,Fexofenadine,0.9088,Fipexide,0.9046
265,FNA,Fine-Needle Aspiration,99,Fluorouracil,0.9097,Fentanyl,0.9054,Fluoxetine,0.9029,Fluprednisolone,0.9027,Fluroxene,0.9027
266,FOLIC_ACID,Folic Acid,99,Folic Acid Derivative,0.9508,In 111 Folic Acid,0.9360,Fenofibric Acid,0.9207,Folate-FITC,0.9203,Ascorbic Acid,0.9203
267,FSRT,Fractionated Stereotactic Radiation Therapy,99,Fluocortolone,0.9249,Fluocortin,0.9236,Fimasartan,0.9167,Fazirsiran,0.9144,Flupirtine,0.9126
268,FU,Fluorouracil,2,Fuprazole,0.9616,Fluorouracil,0.9548,Fuzapladib,0.9325,Fuzuloparib,0.9293,Fuzlocillin,0.9292
269,FUDR,Floxuridine,99,Fuzapladib,0.9384,Fuprazole,0.9343,Fluorouracil,0.9309,Fuzuloparib,0.9275,Fludrocortisone,0.9254
270,FULVESTRANT,Fulvestrant,1,Fulvestrant,1.0000,Fulranumab,0.9279,Bezafibrate,0.9164,Fulacimstat,0.9152,Fulimetibant,0.9151
