original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
FIBROSARCOMA_CANCER,Fibrosarcoma,NCIT:C3043,NCIT
GANGLIONEUROMA,Ganglioneuroma,NCIT:C3049,NCIT
GIANT CELL TUMOUR,Giant Cell Tumor,NCIT:C3055,NCIT
GIANT_CELL_TUMOUR,Giant Cell Tumor,NCIT:C3055,NCIT
GLIOBLASTOMA MULTIFORME,Glioblastoma,NCIT:C3058,NCIT
GLIOBLASTOMA,Glioblastoma,NCIT:C3058,NCIT
GB,Glioblastoma,NCIT:C3058,NCIT
GBM,Glioblastoma,NCIT:C3058,NCIT
TREATED PRIMARY GBM,Glioblastoma,NCIT:C3058,NCIT
GLIOBLASTOMA MULTIFORME GBM,Glioblastoma,NCIT:C3058,NCIT
GLIOBLASTOMA_MULTIFORME,Glioblastoma,NCIT:C3058,NCIT
GLIOMA,Glioma,NCIT:C3059,NCIT
ENCAPSULATED GLIOMA,Glioma,NCIT:C3059,NCIT
GRANULOSA CELL TUMOR,Granulosa Cell Tumor,NCIT:C3070,NCIT
GRANULOSA_CELL_TUMOUR,Granulosa Cell Tumor,NCIT:C3070,NCIT
GRANULOSA_CELL_TUMOR,Granulosa Cell Tumor,NCIT:C3070,NCIT
HEMANGIOMA,Hemangioma,NCIT:C3085,NCIT
ANGIOSARCOMA,Angiosarcoma,NCIT:C3088,NCIT
HEPATOCELLULAR CARCINOMA,Hepatocellular Carcinoma,NCIT:C3099,NCIT
HCC,Hepatocellular Carcinoma,NCIT:C3099,NCIT
LIHC,Hepatocellular Carcinoma,NCIT:C3099,NCIT
HEPTOCELLULAR CARCINOMA,Hepatocellular Carcinoma,NCIT:C3099,NCIT
HEPATOCELLULAR_CARCINOMA,Hepatocellular Carcinoma,NCIT:C3099,NCIT
HEPATOCELLULAR_CANCER,Hepatocellular Carcinoma,NCIT:C3099,NCIT
LIVER HEPATOCELLULAR CARCINOMA,Hepatocellular Carcinoma,NCIT:C3099,NCIT
LANGERHANS CELL HISTIOCYTOSIS,Langerhans Cell Histiocytosis,NCIT:C3107,NCIT
KERATOACANTHOMA,Skin Keratoacanthoma,NCIT:C3146,NCIT
LEIOMYOSARCOMA,Leiomyosarcoma,NCIT:C3158,NCIT
LEIOMYOSARCOMA LMS,Leiomyosarcoma,NCIT:C3158,NCIT
POORLY DIFFERENTIATED OR PLEOMORPHIC OR EPITHELIOID LEIOMYOSARCOMA,Leiomyosarcoma,NCIT:C3158,NCIT
SARC_LMS,Leiomyosarcoma,NCIT:C3158,NCIT
LEUKEMIA,Leukemia,NCIT:C3161,NCIT
LEUKEMIA_OTHER,Leukemia,NCIT:C3161,NCIT
LEUKAEMIA,Leukemia,NCIT:C3161,NCIT
CLL,Chronic Lymphocytic Leukemia,NCIT:C3163,NCIT
ACUTE LYMPHOID LEUKEMIA,Acute Lymphoblastic Leukemia,NCIT:C3167,NCIT
ALL,Acute Lymphoblastic Leukemia,NCIT:C3167,NCIT
ACUTE LYMPHOBLASTIC LEUKEMIA,Acute Lymphoblastic Leukemia,NCIT:C3167,NCIT
ACUTE_LYMPHOBLASTIC_LEUKAEMIA,Acute Lymphoblastic Leukemia,NCIT:C3167,NCIT
ACUTE MEGAKARYOBLASTIC LEUKEMIA,Acute Megakaryoblastic Leukemia,NCIT:C3170,NCIT
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,NCIT:C3170,NCIT
M7,Acute Megakaryoblastic Leukemia,NCIT:C3170,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M7 MEGAKARYOBLASTIC",Acute Megakaryoblastic Leukemia,NCIT:C3170,NCIT
ACUTE MEGAKARYOBLASTIC LEUKAEMIA,Acute Megakaryoblastic Leukemia,NCIT:C3170,NCIT
ACUTE MYELOID LEUKEMIA,Acute Myeloid Leukemia,NCIT:C3171,NCIT
AML,Acute Myeloid Leukemia,NCIT:C3171,NCIT
ACUTE MYELOBLASTIC LEUKEMIA,Acute Myeloid Leukemia,NCIT:C3171,NCIT
ACUTE_MYELOID_LEUKAEMIA,Acute Myeloid Leukemia,NCIT:C3171,NCIT
ACUTE MYELOID LEUKEMIAS,Acute Myeloid Leukemia,NCIT:C3171,NCIT
AMLM,Acute Myeloid Leukemia,NCIT:C3171,NCIT
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,NCIT:C3171,NCIT
"ACUTE MYELOID LEUKAEMIA, NOS",Acute Myeloid Leukemia,NCIT:C3171,NCIT
ACUTE MYELOGENOUS LEUKEMIA AML,Acute Myeloid Leukemia,NCIT:C3171,NCIT
LAML,Acute Myeloid Leukemia,NCIT:C3171,NCIT
CHRONIC_MYELOID_LEUKAEMIA,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3174,NCIT
CHRONIC MYELOGENOUS LEUKEMIA,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3174,NCIT
CML,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3174,NCIT
CHRONIC MYELOGENOUS LEUKEMIA CML,"Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3174,NCIT
"CHRONIC MYELOID LEUKEMIA, BCR-ABL1+","Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3174,NCIT
CHRONIC MYELOMONOCYTIC LEUKEMIA,Chronic Myelomonocytic Leukemia,NCIT:C3178,NCIT
CMML,Chronic Myelomonocytic Leukemia,NCIT:C3178,NCIT
CHRONIC MYELOMONOCYTIC LEUKAEMIA,Chronic Myelomonocytic Leukemia,NCIT:C3178,NCIT
PLASMA_CELL_LEUKEMIA,Plasma Cell Leukemia,NCIT:C3180,NCIT
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12;  PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
ACUTE PROMYELOCYTIC LEUKAEMIA WITH T15;17Q22;Q12; PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
APL WITH PML-RARA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
M3,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
PRO MYELOCYTIC LEUKEMIA,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M3 PROMYELOCYTIC",Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,NCIT:C3182,NCIT
T-ALL,T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
ACUTE_LYMPHOBLASTIC_T_CELL_LEUKAEMIA,T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
T-CELL_ALL,T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
"ACUTE LYMPHOBLASTIC LEUKEMIA ALL, T-CELL",T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
T-CELL ACUTE LYMPHOID LEUKEMIA,T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
TALL,T Acute Lymphoblastic Leukemia,NCIT:C3183,NCIT
ADULT T-CELL LEUKEMIA/LYMPHOMA,Adult T-Cell Leukemia/Lymphoma,NCIT:C3184,NCIT
ADULT_T_CELL_LYMPHOMA-LEUKAEMIA,Adult T-Cell Leukemia/Lymphoma,NCIT:C3184,NCIT
ATL,Adult T-Cell Leukemia/Lymphoma,NCIT:C3184,NCIT
LIPOSARCOMA,Liposarcoma,NCIT:C3194,NCIT
SARCOMA LIPO,Liposarcoma,NCIT:C3194,NCIT
SARC LS,Liposarcoma,NCIT:C3194,NCIT
LYMPHOMA,Lymphoma,NCIT:C3208,NCIT
MALIGNANT LYMPHOMA,Lymphoma,NCIT:C3208,NCIT
"LYMPHATIC CANCER, NOS",Lymphoma,NCIT:C3208,NCIT
LYMPHOMA_UNSPECIFIED,Lymphoma,NCIT:C3208,NCIT
LYMPHOID CANCER,Lymphoma,NCIT:C3208,NCIT
FOLLICULAR LYMPHOMA,Follicular Lymphoma,NCIT:C3209,NCIT
FL,Follicular Lymphoma,NCIT:C3209,NCIT
B_CELL_FOLLICULAR,Follicular Lymphoma,NCIT:C3209,NCIT
NON-HODGKIN LYMPHOMA,Non-Hodgkin Lymphoma,NCIT:C3211,NCIT
NHL,Non-Hodgkin Lymphoma,NCIT:C3211,NCIT
NON_HODGKIN_LYMPHOMA,Non-Hodgkin Lymphoma,NCIT:C3211,NCIT
NON-HODGKINS LYMPHOMA,Non-Hodgkin Lymphoma,NCIT:C3211,NCIT
MEDULLOBLASTOMA,Medulloblastoma,NCIT:C3222,NCIT
MBL,Medulloblastoma,NCIT:C3222,NCIT
MELANOMA,Melanoma,NCIT:C3224,NCIT
MALIGNANT MELANOMA,Melanoma,NCIT:C3224,NCIT
MELANOTIC MELANOMA,Melanoma,NCIT:C3224,NCIT
MALIGNANT MELANOTIC MELANOMA,Melanoma,NCIT:C3224,NCIT
MALIGNANT_MELANOMA,Melanoma,NCIT:C3224,NCIT
MELANOMA OTHER,Melanoma,NCIT:C3224,NCIT
MENINGIOMA,Meningioma,NCIT:C3230,NCIT
MENINGOTHELIAL TUMOR,Meningioma,NCIT:C3230,NCIT
PLASMA CELL MYELOMA,Multiple Myeloma,NCIT:C3242,NCIT
MULTIPLE MYELOMA,Multiple Myeloma,NCIT:C3242,NCIT
MYELOMA,Multiple Myeloma,NCIT:C3242,NCIT
PLASMA_CELL_MYELOMA,Multiple Myeloma,NCIT:C3242,NCIT
MULTIPLE_MYELOMA,Multiple Myeloma,NCIT:C3242,NCIT
MYCOSIS FUNGOIDES,Mycosis Fungoides,NCIT:C3246,NCIT
MYCOSIS_FUNGOIDES,Mycosis Fungoides,NCIT:C3246,NCIT
MYELODYSPLASTIC SYNDROMES,Myelodysplastic Syndrome,NCIT:C3247,NCIT
MDS,Myelodysplastic Syndrome,NCIT:C3247,NCIT
S_T_MDS,Myelodysplastic Syndrome,NCIT:C3247,NCIT
AML WITHOUT MATURATION,Acute Myeloid Leukemia without Maturation,NCIT:C3249,NCIT
AML WITH MATURATION,Acute Myeloid Leukemia with Maturation,NCIT:C3250,NCIT
M2,Acute Myeloid Leukemia with Maturation,NCIT:C3250,NCIT
"ACUTE MYELOGENOUS LEUKEMIA AML, M2 MYELOBLASTIC",Acute Myeloid Leukemia with Maturation,NCIT:C3250,NCIT
EMBRYONAL TUMOR,Embryonal Neoplasm,NCIT:C3264,NCIT
EMBT,Embryonal Neoplasm,NCIT:C3264,NCIT
WILMS' TUMOR,Wilms Tumor,NCIT:C3267,NCIT
WILMS TUMOR,Wilms Tumor,NCIT:C3267,NCIT
WT,Wilms Tumor,NCIT:C3267,NCIT
WILMS' TUMORS,Wilms Tumor,NCIT:C3267,NCIT
WILMS,Wilms Tumor,NCIT:C3267,NCIT
SCHWANNOMA,Schwannoma,NCIT:C3269,NCIT
NEUROBLASTOMA,Neuroblastoma,NCIT:C3270,NCIT
NBL,Neuroblastoma,NCIT:C3270,NCIT
NEUROBLASTOMAÃ‚Â ,Neuroblastoma,NCIT:C3270,NCIT
OLIGODENDROGLIOMA,Oligodendroglioma,NCIT:C3288,NCIT
PAGET DISEASE OF THE NIPPLE,Nipple Paget Disease,NCIT:C3301,NCIT
EXTRAMAMMARY PAGET DISEASE,Extramammary Paget Disease,NCIT:C3302,NCIT
PARAGANGLIOMA,Paraganglioma,NCIT:C3308,NCIT
PHEOCHROMOCYTOMA,Adrenal Gland Pheochromocytoma,NCIT:C3326,NCIT
PINEAL TUMOR,Pineal Region Neoplasm,NCIT:C3328,NCIT
PITUITARY ADENOMA,Pituitary Neuroendocrine Tumor,NCIT:C3329,NCIT
POLYCYTHEMIA VERA,Polycythemia Vera,NCIT:C3336,NCIT
RHABDOMYOSARCOMA,Rhabdomyosarcoma,NCIT:C3359,NCIT
RMS,Rhabdomyosarcoma,NCIT:C3359,NCIT
SEZARY SYNDROME,Sezary Syndrome,NCIT:C3366,NCIT
SEZARY_SYNDROME,Sezary Syndrome,NCIT:C3366,NCIT
"T-CELL, NON-HODGKINS, CUTANEOUS, SEZARY SYNDROME",Sezary Syndrome,NCIT:C3366,NCIT
SOFT TISSUE TUMOR,Soft Tissue Neoplasm,NCIT:C3377,NCIT
SOMATOSTATINOMA,Somatostatin-Producing Neuroendocrine Tumor,NCIT:C3379,NCIT
SYNOVIAL SARCOMA,Synovial Sarcoma,NCIT:C3400,NCIT
SYNOVIAL_SARCOMA,Synovial Sarcoma,NCIT:C3400,NCIT
TERATOMA,Teratoma,NCIT:C3403,NCIT
ESSENTIAL THROMBOCYTHEMIA,Essential Thrombocythemia,NCIT:C3407,NCIT
ESSENTIAL_THROMBOCYTHAEMIA,Essential Thrombocythemia,NCIT:C3407,NCIT
ESSENTIAL THROMBOCYTHAEMIA,Essential Thrombocythemia,NCIT:C3407,NCIT
THYMOMA,Thymoma,NCIT:C3411,NCIT
THYM,Thymoma,NCIT:C3411,NCIT
THYMIC TUMOR,Thymus Neoplasm,NCIT:C3412,NCIT
OTHER UTERINE TUMOR,Uterine Neoplasm,NCIT:C3435,NCIT
HEAD AND NECK SQUAMOUS CELL CARCINOMA,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
HEAD & NECK SQUAMOUS CELL CARCINOMA,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
HEAD AND NECK SQUAMOUS CELL CARCINOMAÃƒÅ ,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
SCC HEAD AND NECK,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
HEAD AND NECK SQUAMOUS CELL CARCINOMA OF UNKNOWN PRIMARY,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
HEAD AND NECK SQUAMOUS,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
HNSC,Head and Neck Squamous Cell Carcinoma,NCIT:C34447,NCIT
CARCINOSARCOMA-MALIGNANT_MESODERMAL_MIXED_TUMOUR,Carcinosarcoma,NCIT:C34448,NCIT
B-CELL NON-HODGKIN LYMPHOMA,B-Cell Non-Hodgkin Lymphoma,NCIT:C3457,NCIT
B_CELL_LYMPHOMA_UNSPECIFIED,B-Cell Non-Hodgkin Lymphoma,NCIT:C3457,NCIT
"B-CELL, NON-HODGKINS",B-Cell Non-Hodgkin Lymphoma,NCIT:C3457,NCIT
B_CELL_NON_HODGKIN_LYMPHOMA,B-Cell Non-Hodgkin Lymphoma,NCIT:C3457,NCIT
IMMUNOBLASTIC,Immunoblastic Lymphoma,NCIT:C3461,NCIT
T-CELL_LYMPHOMA_OTHER,T-Cell Non-Hodgkin Lymphoma,NCIT:C3466,NCIT
"T-CELL, NON-HODGKINS, CUTANEOUS",Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,NCIT:C3467,NCIT
CUTANEOUS T CELL LYMPHOMA,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,NCIT:C3467,NCIT
T_CELL_CUTANEOUS,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,NCIT:C3467,NCIT
CHOROID PLEXUS TUMOR,Choroid Plexus Neoplasm,NCIT:C3473,NCIT
GRANULAR CELL TUMOR,Granular Cell Tumor,NCIT:C3474,NCIT
LUNG SQUAMOUS CELL CARCINOMA,Lung Squamous Cell Carcinoma,NCIT:C3493,NCIT
LUSC,Lung Squamous Cell Carcinoma,NCIT:C3493,NCIT
"NON-SMALL CELL LUNG CANCER NSCLC, SQUAMOUS CELL CARCINOMA",Lung Squamous Cell Carcinoma,NCIT:C3493,NCIT
NSCLC_SQUAMOUS,Lung Squamous Cell Carcinoma,NCIT:C3493,NCIT
CUTANEOUS MELANOMA,Cutaneous Melanoma,NCIT:C3510,NCIT
MELANOMA CUTANEOUS,Cutaneous Melanoma,NCIT:C3510,NCIT
SKCM,Cutaneous Melanoma,NCIT:C3510,NCIT
LUNG ADENOCARCINOMA,Lung Adenocarcinoma,NCIT:C3512,NCIT
LUAD,Lung Adenocarcinoma,NCIT:C3512,NCIT
LUNG ADENOCARCINOMA- NOT OTHERWISE SPECIFIED NOS,Lung Adenocarcinoma,NCIT:C3512,NCIT
ESOPHAGEAL CANCER,Esophageal Carcinoma,NCIT:C3513,NCIT
ESCA,Esophageal Carcinoma,NCIT:C3513,NCIT
ESOPHAGEAL CARCINOMA,Esophageal Carcinoma,NCIT:C3513,NCIT
ESOPHAGEAL POORLY DIFFERENTIATED CARCINOMA,Esophageal Carcinoma,NCIT:C3513,NCIT
ESOPHAGUS/STOMACH,Esophageal Carcinoma,NCIT:C3513,NCIT
"ESOPHAGEAL/STOMACH CANCER, NOS",Esophageal Carcinoma,NCIT:C3513,NCIT
ESOPHAGEAL CARCINOMA OTHER,Esophageal Carcinoma,NCIT:C3513,NCIT
"ATYPICAL CHRONIC MYELOID LEUKEMIA, BCR-ABL1-",Atypical Chronic Myeloid Leukemia,NCIT:C3519,NCIT
"ATYPICAL CHRONIC MYELOID LEUKAEMIA, BCR-ABL1 NEGATIVE",Atypical Chronic Myeloid Leukemia,NCIT:C3519,NCIT
MYELOID SARCOMA,Myeloid Sarcoma,NCIT:C3520,NCIT
PERITONEAL SEROUS CARCINOMA,Malignant Peritoneal Neoplasm,NCIT:C3538,NCIT
"PERITONEAL CANCER, NOS",Malignant Peritoneal Neoplasm,NCIT:C3538,NCIT
HISTIOCYTIC_LYMPHOMA,True Histiocytic Lymphoma,NCIT:C35382,NCIT
CHOLANGIOCARCINOMA; INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,NCIT:C35417,NCIT
INTRAHEPATIC CHOLANGIOCARCINOMA,Intrahepatic Cholangiocarcinoma,NCIT:C35417,NCIT
"CHOLANGIOCARCINOMA, INTRAHEPATIC",Intrahepatic Cholangiocarcinoma,NCIT:C35417,NCIT
CHOLANGIO INTRAHEPATIC,Intrahepatic Cholangiocarcinoma,NCIT:C35417,NCIT
CHOL INTRA,Intrahepatic Cholangiocarcinoma,NCIT:C35417,NCIT
"PLEURAL CANCER, NOS",Malignant Pleural Neoplasm,NCIT:C3547,NCIT
THYROID PAPILLARY CARCINOMA - TALL CELL >= 50% TALL CELL FEATURES,Tall Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35558,NCIT
TALL CELL VARIANT,Tall Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35558,NCIT
"PAPILLARY, TALL CELL VARIANT",Tall Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35558,NCIT
TALL CELL VARIANT  PHENOTYPE CHANGED AFTER CONSENSUS UPSTAGED T,Tall Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35558,NCIT
TALL CELL,Tall Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35558,NCIT
BRAIN CANCER,Malignant Brain Neoplasm,NCIT:C3568,NCIT
BRAIN_CANCER,Malignant Brain Neoplasm,NCIT:C3568,NCIT
COLUMNAR CELL VARIANT,Columnar Cell Variant Thyroid Gland Papillary Carcinoma,NCIT:C35830,NCIT
HEAD AND NECK CARCINOMA,Head and Neck Carcinoma,NCIT:C35850,NCIT
HEAD_NECK_CANCER,Head and Neck Carcinoma,NCIT:C35850,NCIT
NODULAR,Nodular Neoplasm,NCIT:C36012,NCIT
UNDIFFERENTIATED MALIGNANT NEOPLASM,Undifferentiated Malignant Neoplasm,NCIT:C36051,NCIT
CHRONIC MYELOMONOCYTIC LEUKEMIA 1,Chronic Myelomonocytic Leukemia-1,NCIT:C36061,NCIT
CHRONIC MYELOMONOCYTIC LEUKEMIA 2,Chronic Myelomonocytic Leukemia-2,NCIT:C36062,NCIT
ROSAI-DORFMAN DISEASE,Rosai-Dorfman-Destombes Disease,NCIT:C36075,NCIT
CHOLANGIOCARCINOMA; HILAR/PERIHILAR,Hilar Cholangiocarcinoma,NCIT:C36077,NCIT
PERIHILAR CHOLANGIOCARCINOMA,Hilar Cholangiocarcinoma,NCIT:C36077,NCIT
GERMINAL CENTER B-CELL-LIKE GCB DLBCL,Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,NCIT:C36080,NCIT
GERMINAL CENTER B-CELL TYPE,Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type,NCIT:C36080,NCIT
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,NCIT:C36081,NCIT
PH+-ALL,B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1,NCIT:C36312,NCIT
BENIGN_NEOPLASIA,Benign Neoplasm,NCIT:C3677,NCIT
BASAL CELL ADENOCARCINOMA,Salivary Gland Basal Cell Adenocarcinoma,NCIT:C3678,NCIT
GOBLET CELL CARCINOID OF THE APPENDIX,Appendix Goblet Cell Adenocarcinoma,NCIT:C3689,NCIT
UNDIFFERENTIATED CARCINOMA,Undifferentiated Carcinoma,NCIT:C3692,NCIT
UNDIFFERENTIATED_CARCINOMA,Undifferentiated Carcinoma,NCIT:C3692,NCIT
ATYPICAL NEVUS,Cutaneous Dysplastic Nevus,NCIT:C3694,NCIT
MYXOPAPILLARY EPENDYMOMA,Myxopapillary Ependymoma,NCIT:C3697,NCIT
CHOROID PLEXUS PAPILLOMA,Choroid Plexus Papilloma,NCIT:C3698,NCIT
DEDIFFERENTIATED LIPOSARCOMA,Dedifferentiated Liposarcoma,NCIT:C3704,NCIT
SARC_DDLPS,Dedifferentiated Liposarcoma,NCIT:C3704,NCIT
PLEOMORPHIC LIPOSARCOMA,Pleomorphic Liposarcoma,NCIT:C3705,NCIT
GERM CELL TUMOR,Germ Cell Tumor,NCIT:C3708,NCIT
EPITHELIOID SARCOMA,Epithelioid Sarcoma,NCIT:C3714,NCIT
EPITHELIOID_SARCOMA,Epithelioid Sarcoma,NCIT:C3714,NCIT
NEUROEPITHELIOMA,Primitive Neuroectodermal Tumor,NCIT:C3716,NCIT
PRIMITIVE NEUROECTODERMAL TUMOR,Primitive Neuroectodermal Tumor,NCIT:C3716,NCIT
PRIMITIVE NEUROECTODERMAL TUMOR PNET,Primitive Neuroectodermal Tumor,NCIT:C3716,NCIT
PNET,Primitive Neuroectodermal Tumor,NCIT:C3716,NCIT
ANAPLASTIC LARGE CELL LYMPHOMA,Anaplastic Large Cell Lymphoma,NCIT:C3720,NCIT
ANAPLASTIC_LARGE_CELL_LYMPHOMA,Anaplastic Large Cell Lymphoma,NCIT:C3720,NCIT
"T-CELL, NON-HODGKINS, ANAPLASTIC LARGE CELL ALCL",Anaplastic Large Cell Lymphoma,NCIT:C3720,NCIT
T_CELL_ALCL,Anaplastic Large Cell Lymphoma,NCIT:C3720,NCIT
CD30+_ANAPLASTIC_LARGE_CELL_LYMPHOMA,Anaplastic Large Cell Lymphoma,NCIT:C3720,NCIT
SOLID PSEUDOPAPILLARY NEOPLASM OF THE PANCREAS,Solid Pseudopapillary Neoplasm of the Pancreas,NCIT:C37212,NCIT
PANCREAS-COLLOID MUCINOUS NON-CYSTIC CARCINOMA,Pancreatic Colloid Carcinoma,NCIT:C37214,NCIT
PDA - MUCINOUS NON-CYSTIC CARCINOMA,Pancreatic Colloid Carcinoma,NCIT:C37214,NCIT
DESMOPLASTIC MELANOMA,Desmoplastic Melanoma,NCIT:C37257,NCIT
ADENOSQUAMOUS CARCINOMA,Adenosquamous Carcinoma,NCIT:C3727,NCIT
MIXED_ADENOSQUAMOUS_CARCINOMA,Adenosquamous Carcinoma,NCIT:C3727,NCIT
ADENOSQUAMOUS,Adenosquamous Carcinoma,NCIT:C3727,NCIT
HEPATOBLASTOMA,Hepatoblastoma,NCIT:C3728,NCIT
LIHB,Hepatoblastoma,NCIT:C3728,NCIT
HEAD & NECK SQUAMOUS CELL CARCINOMA BASALOID TYPE,Head and Neck Basaloid Squamous Cell Carcinoma,NCIT:C37290,NCIT
MESENCHYMAL CHONDROSARCOMA,Mesenchymal Chondrosarcoma,NCIT:C3737,NCIT
CLEAR CELL SARCOMA,Clear Cell Sarcoma of Soft Tissue,NCIT:C3745,NCIT
ALVEOLAR RHABDOMYOSARCOMA,Alveolar Rhabdomyosarcoma,NCIT:C3749,NCIT
"RHABDOMYOSARCOMA, ALVEOLAR SUBTYPE",Alveolar Rhabdomyosarcoma,NCIT:C3749,NCIT
"RHABDOMYOSARCOMA, ALVEOLAR",Alveolar Rhabdomyosarcoma,NCIT:C3749,NCIT
ALVEOLAR SOFT PART SARCOMA,Alveolar Soft Part Sarcoma,NCIT:C3750,NCIT
ASPS,Alveolar Soft Part Sarcoma,NCIT:C3750,NCIT
EMBRYONAL CARCINOMA,Embryonal Carcinoma,NCIT:C3752,NCIT
EMBRYONAL,Embryonal Carcinoma,NCIT:C3752,NCIT
EMBRYONAL CARCINOMA,Embryonal Carcinoma,NCIT:C3752,NCIT
EMBRYONAL CARCINOMA[NOT AVAILABLE],Embryonal Carcinoma,NCIT:C3752,NCIT
EMBRYONAL CARCINOMA[NOT AVAILABLE][NOT AVAILABLE][NOT AVAILABLE],Embryonal Carcinoma,NCIT:C3752,NCIT
EMBRYO_CARCINOMA,Embryonal Carcinoma,NCIT:C3752,NCIT
HEPATOCELLULAR ADENOMA,Hepatocellular Adenoma,NCIT:C3758,NCIT
CLASSICAL HCA,Hepatocellular Adenoma,NCIT:C3758,NCIT
CLEAR CELL ADENOCARCINOMA,Clear Cell Adenocarcinoma,NCIT:C3766,NCIT
CLEAR CELL CARCINOMA,Clear Cell Adenocarcinoma,NCIT:C3766,NCIT
CLEAR_CELL_CARCINOMA,Clear Cell Adenocarcinoma,NCIT:C3766,NCIT
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,NCIT:C3768,NCIT
ACINIC CELL CARCINOMA,Acinar Cell Carcinoma,NCIT:C3768,NCIT
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,NCIT:C3768,NCIT
ENDOMETRIOID CARCINOMA,Endometrioid Adenocarcinoma,NCIT:C3769,NCIT
ENDOMETRIOID_CARCINOMA,Endometrioid Adenocarcinoma,NCIT:C3769,NCIT
"ADENOCARCINOMA, ENDOMETRIOID",Endometrioid Adenocarcinoma,NCIT:C3769,NCIT
LOBULAR CARCINOMA,Breast Lobular Carcinoma,NCIT:C3771,NCIT
MUCOEPIDERMOID CARCINOMA,Mucoepidermoid Carcinoma,NCIT:C3772,NCIT
MUCOEPIDERMOID_CARCINOMA,Mucoepidermoid Carcinoma,NCIT:C3772,NCIT
"CARCINOMA, MUCOEPIDERMOID",Mucoepidermoid Carcinoma,NCIT:C3772,NCIT
NEUROENDOCRINE CARCINOMA,Neuroendocrine Carcinoma,NCIT:C3773,NCIT
"NEUROENDOCRINE CARCINOMA, NOS",Neuroendocrine Carcinoma,NCIT:C3773,NCIT
NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,NCIT:C3773,NCIT
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,NCIT:C3773,NCIT
"ADENOCARCINOMA, SIGNET RING CELL",Signet Ring Cell Adenocarcinoma,NCIT:C3774,NCIT
MUCINOUS CYSTADENOCARCINOMA,Mucinous Cystadenocarcinoma,NCIT:C3776,NCIT
"CYSTADENOCARCINOMA, MUCINOUS",Mucinous Cystadenocarcinoma,NCIT:C3776,NCIT
SEROUS CYSTADENOCARCINOMA,Serous Cystadenocarcinoma,NCIT:C3778,NCIT
"CARCINOMA, GIANT CELL",Giant Cell Carcinoma,NCIT:C3779,NCIT
LARGE_CELL_CARCINOMA,Large Cell Carcinoma,NCIT:C3780,NCIT
