official_label,clean_code
facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome,EFO:MONDO_0009074
Dandy-Walker malformation-postaxial polydactyly syndrome,EFO:MONDO_0009075
DOORS syndrome,EFO:MONDO_0009079
split hand-foot malformation 1 with sensorineural hearing loss,EFO:MONDO_0009080
high myopia-sensorineural deafness syndrome,EFO:MONDO_0009082
conductive deafness-ptosis-skeletal anomalies syndrome,EFO:MONDO_0009084
deafness-vitiligo-achalasia syndrome,EFO:MONDO_0009085
deafness-small bowel diverticulosis-neuropathy syndrome,EFO:MONDO_0009086
deafness-oligodontia syndrome,EFO:MONDO_0009089
non-acquired combined pituitary hormone deficiency with spine abnormalities,EFO:MONDO_0009091
polycystic lipomembranous osteodysplasia with sclerosing leukoencephaly,EFO:MONDO_0009092
dermochondrocorneal dystrophy,EFO:MONDO_0009094
"dermatoosteolysis, Kirghizian type",EFO:MONDO_0009095
obsolete_obsolete hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia,EFO:MONDO_0009096
"persistent hyperplastic primary vitreous, autosomal recessive",EFO:MONDO_0009097
nephrogenic diabetes insipidus-intracranial calcification syndrome,EFO:MONDO_0009099
Donnai-Barrow syndrome,EFO:MONDO_0009104
trichohepatoenteric syndrome,EFO:MONDO_0009105
diastematomyelia,EFO:MONDO_0009106
diastrophic dysplasia,EFO:MONDO_0009107
hyperdibasic aminoaciduria type 1,EFO:MONDO_0009108
lysinuric protein intolerance,EFO:MONDO_0009109
dicarboxylic aminoaciduria,EFO:MONDO_0009110
dihydropyrimidinuria,EFO:MONDO_0009111
rhizomelic chondrodysplasia punctata type 2,EFO:MONDO_0009112
hemolytic anemia due to diphosphoglycerate mutase deficiency,EFO:MONDO_0009113
congenital sucrase-isomaltase deficiency,EFO:MONDO_0009114
congenital lactase deficiency,EFO:MONDO_0009115
"diverticulosis of bowel, hernia, and retinal detachment",EFO:MONDO_0009120
von Voss-Cherstvoy syndrome,EFO:MONDO_0009121
orthostatic hypotension 1,EFO:MONDO_0009123
Dubowitz syndrome,EFO:MONDO_0009124
duodenal atresia,EFO:MONDO_0009126
"dwarfism, intellectual disability, and eye abnormality",EFO:MONDO_0009128
Dyggve-Melchior-Clausen disease,EFO:MONDO_0009130
Riley-Day syndrome,EFO:MONDO_0009131
"cerebellar ataxia, intellectual disability, and dysequilibrium",EFO:MONDO_0009133
congenital dyserythropoietic anemia type 2,EFO:MONDO_0009134
dysosteosclerosis,EFO:MONDO_0009138
"dyssegmental dysplasia, Rolland-Desbuquois type",EFO:MONDO_0009139
Silverman-Handmaker type dyssegmental dysplasia,EFO:MONDO_0009140
torsion dystonia 2,EFO:MONDO_0009141
SchC6pf-Schulz-Passarge syndrome,EFO:MONDO_0009145
ectodermal dysplasia-sensorineural deafness syndrome,EFO:MONDO_0009146
Rosselli-Gulienetti syndrome,EFO:MONDO_0009148
ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome,EFO:MONDO_0009149
hypohidrotic ectodermal dysplasia-hypothyroidism-ciliary dyskinesia syndrome,EFO:MONDO_0009150
cleft lip/palate-ectodermal dysplasia syndrome,EFO:MONDO_0009151
EEM syndrome,EFO:MONDO_0009155
ectrodactyly-polydactyly syndrome,EFO:MONDO_0009156
"Ehlers-Danlos syndrome, fibronectinemic type",EFO:MONDO_0009158
"Ehlers-Danlos syndrome, cardiac valvular type",EFO:MONDO_0009159
"Ehlers-Danlos syndrome, dermatosparaxis type",EFO:MONDO_0009161
Ellis-van Creveld syndrome,EFO:MONDO_0009162
pontocerebellar hypoplasia type 4,EFO:MONDO_0009166
Bonnemann-Meinecke-Reich syndrome,EFO:MONDO_0009167
Fowler syndrome,EFO:MONDO_0009168
congenital enteropathy due to enteropeptidase deficiency,EFO:MONDO_0009173
epidermodysplasia verruciformis,EFO:MONDO_0009176
late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,EFO:MONDO_0009177
recessive dystrophic epidermolysis bullosa,EFO:MONDO_0009179
"junctional epidermolysis bullosa, non-Herlitz type",EFO:MONDO_0009180
"epidermolysis bullosa simplex 5B, with muscular dystrophy",EFO:MONDO_0009181
junctional epidermolysis bullosa Herlitz type,EFO:MONDO_0009182
junctional epidermolysis bullosa with pyloric atresia,EFO:MONDO_0009183
amelocerebrohypohidrotic syndrome,EFO:MONDO_0009185
epilepsy-telangiectasia syndrome,EFO:MONDO_0009188
multiple epiphyseal dysplasia type 4,EFO:MONDO_0009189
Lowry-Wood syndrome,EFO:MONDO_0009191
Wolcott-Rallison syndrome,EFO:MONDO_0009192
ermine phenotype,EFO:MONDO_0009196
congenital lethal erythroderma,EFO:MONDO_0009198
eyebrow duplication-syndactyly syndrome,EFO:MONDO_0009200
focal facial dermal dysplasia type III,EFO:MONDO_0009203
lethal faciocardiomelic dysplasia,EFO:MONDO_0009204
faciocardiorenal syndrome,EFO:MONDO_0009205
"factor V and factor VIII, combined deficiency of, type 1",EFO:MONDO_0009206
autosomal recessive faciodigitogenital syndrome,EFO:MONDO_0009209
congenital factor V deficiency,EFO:MONDO_0009210
congenital factor VII deficiency,EFO:MONDO_0009211
congenital factor X deficiency,EFO:MONDO_0009212
Fanconi anemia complementation group C,EFO:MONDO_0009213
Fanconi anemia complementation group D2,EFO:MONDO_0009214
glycogen storage disease due to GLUT2 deficiency,EFO:MONDO_0009216
Farber lipogranulomatosis,EFO:MONDO_0009218
femur-fibula-ulna complex,EFO:MONDO_0009221
Gollop-Wolfgang complex,EFO:MONDO_0009222
hypogonadotropic hypogonadism 23 with or without anosmia,EFO:MONDO_0009223
gingival fibromatosis-facial dysmorphism syndrome,EFO:MONDO_0009228
hyaline fibromatosis syndrome,EFO:MONDO_0009229
"fibrosclerosis, multifocal",EFO:MONDO_0009230
acromesomelic dysplasia 2B,EFO:MONDO_0009231
Fuhrmann syndrome,EFO:MONDO_0009232
Fibulo-ulnar hypoplasia-renal anomalies syndrome,EFO:MONDO_0009233
congenital high-molecular-weight kininogen deficiency,EFO:MONDO_0009234
familial benign flecked retina,EFO:MONDO_0009235
Kandori fleck retina,EFO:MONDO_0009236
hereditary folate malabsorption,EFO:MONDO_0009238
hypogonadotropic hypogonadism 24 without anosmia,EFO:MONDO_0009239
formiminoglutamic aciduria,EFO:MONDO_0009240
fountain syndrome,EFO:MONDO_0009241
brittle cornea syndrome,EFO:MONDO_0009242
frontofacionasal dysplasia,EFO:MONDO_0009247
hereditary fructose intolerance,EFO:MONDO_0009249
"fructose-1,6-bisphosphatase deficiency",EFO:MONDO_0009251
essential fructosuria,EFO:MONDO_0009252
Fryns syndrome,EFO:MONDO_0009253
fucosidosis,EFO:MONDO_0009254
galactokinase deficiency,EFO:MONDO_0009255
galactose epimerase deficiency,EFO:MONDO_0009257
classic galactosemia,EFO:MONDO_0009258
gamma-glutamylcysteine synthetase deficiency,EFO:MONDO_0009259
GM1 gangliosidosis type 1,EFO:MONDO_0009260
GM1 gangliosidosis type 2,EFO:MONDO_0009261
GM1 gangliosidosis type 3,EFO:MONDO_0009262
GAPO syndrome,EFO:MONDO_0009263
Gaucher disease type I,EFO:MONDO_0009265
Gaucher disease type II,EFO:MONDO_0009266
Gaucher disease type III,EFO:MONDO_0009267
Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome,EFO:MONDO_0009268
genito-palato-cardiac syndrome,EFO:MONDO_0009270
geroderma osteodysplastica,EFO:MONDO_0009271
German syndrome,EFO:MONDO_0009272
"hydatidiform mole, recurrent, 1",EFO:MONDO_0009273
ghosal hematodiaphyseal dysplasia,EFO:MONDO_0009274
neonatal hemochromatosis,EFO:MONDO_0009275
Bernard-Soulier syndrome,EFO:MONDO_0009276
triple-A syndrome,EFO:MONDO_0009279
glutaryl-CoA dehydrogenase deficiency,EFO:MONDO_0009281
multiple acyl-CoA dehydrogenase deficiency,EFO:MONDO_0009282
glutaric acidemia type 3,EFO:MONDO_0009283
glutathione synthetase deficiency without 5-oxoprolinuria,EFO:MONDO_0009284
gamma-glutamyl transpeptidase deficiency,EFO:MONDO_0009285
glycogen storage disease due to glucose-6-phosphatase deficiency type IA,EFO:MONDO_0009287
glycogen storage disease Ib,EFO:MONDO_0009288
glycogen storage disease II,EFO:MONDO_0009290
glycogen storage disease III,EFO:MONDO_0009291
glycogen storage disease due to glycogen branching enzyme deficiency,EFO:MONDO_0009292
glycogen storage disease V,EFO:MONDO_0009293
glycogen storage disease VI,EFO:MONDO_0009294
glycogen storage disease VII,EFO:MONDO_0009295
glycoprotein storage disease,EFO:MONDO_0009296
familial renal glucosuria,EFO:MONDO_0009297
46 XX gonadal dysgenesis,EFO:MONDO_0009299
XY type gonadal dysgenesis-associated anomalies syndrome,EFO:MONDO_0009302
granulocytopenia with immunoglobulin abnormality,EFO:MONDO_0009305
combined immunodeficiency with skin granulomas,EFO:MONDO_0009306
lipodystrophy due to peptidic growth factors deficiency,EFO:MONDO_0009312
Grubben-de Cock-Borghgraef syndrome,EFO:MONDO_0009313
congenital factor XII deficiency,EFO:MONDO_0009315
obsolete_obsolete hair defect-photosensitivity-intellectual disability syndrome,EFO:MONDO_0009316
Hallermann-Streiff syndrome,EFO:MONDO_0009318
pantothenate kinase-associated neurodegeneration,EFO:MONDO_0009319
Hall-Riggs syndrome,EFO:MONDO_0009320
hallux varus-preaxial polysyndactyly syndrome,EFO:MONDO_0009321
Hartnup disease,EFO:MONDO_0009324
obsolete_obsolete deafness-enamel hypoplasia-nail defects syndrome,EFO:MONDO_0009325
congenital heart block,EFO:MONDO_0009326
pulmonary venoocclusive disease 2,EFO:MONDO_0009329
isolated hemihyperplasia,EFO:MONDO_0009331
congenital hematological disorder,EFO:MONDO_0009332
mullerian derivatives-lymphangiectasia-polydactyly syndrome,EFO:MONDO_0009333
"hemolytic uremic syndrome, atypical, susceptibility to, 1",EFO:MONDO_0009335
hepatic veno-occlusive disease-immunodeficiency syndrome,EFO:MONDO_0009338
congenital bile acid synthesis defect 2,EFO:MONDO_0009339
non-spherocytic hemolytic anemia due to hexokinase deficiency,EFO:MONDO_0009340
Mowat-Wilson syndrome,EFO:MONDO_0009341
Hirschsprung disease-hearing loss-polydactyly syndrome,EFO:MONDO_0009342
Hirschsprung disease-nail hypoplasia-dysmorphism syndrome,EFO:MONDO_0009344
histidinemia,EFO:MONDO_0009345
histidinuria due to a renal tubular defect,EFO:MONDO_0009346
classic Hodgkin lymphoma,EFO:MONDO_0009348
Holzgreve-Wagner-Rehder syndrome,EFO:MONDO_0009350
homocarnosinosis,EFO:MONDO_0009351
classic homocystinuria,EFO:MONDO_0009352
homocystinuria due to methylene tetrahydrofolate reductase deficiency,EFO:MONDO_0009353
methylcobalamin deficiency type cblE,EFO:MONDO_0009354
multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome,EFO:MONDO_0009359
growth delay-hydrocephaly-lung hypoplasia syndrome,EFO:MONDO_0009362
hydrocephaly-tall stature-joint laxity syndrome,EFO:MONDO_0009363
"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1",EFO:MONDO_0009364
McKusick-Kaufman syndrome,EFO:MONDO_0009367
L-2-hydroxyglutaric aciduria,EFO:MONDO_0009370
3-hydroxyisobutyric aciduria,EFO:MONDO_0009371
encephalopathy due to hydroxykynureninuria,EFO:MONDO_0009372
seizures-intellectual disability due to hydroxylysinuria syndrome,EFO:MONDO_0009373
hydroxyprolinemia,EFO:MONDO_0009374
hyperammonemia due to N-acetylglutamate synthase deficiency,EFO:MONDO_0009377
hyper-beta-alaninemia,EFO:MONDO_0009378
Rotor syndrome,EFO:MONDO_0009379
Dubin-Johnson syndrome,EFO:MONDO_0009380
transient familial neonatal hyperbilirubinemia,EFO:MONDO_0009383
"Leydig cell hypoplasia, type 1",EFO:MONDO_0009384
familial lipoprotein lipase deficiency,EFO:MONDO_0009387
hyperlysinemia,EFO:MONDO_0009388
"hyperopia, high",EFO:MONDO_0009392
ornithine translocase deficiency,EFO:MONDO_0009393
juvenile Paget disease,EFO:MONDO_0009394
hyperostosis corticalis generalisata,EFO:MONDO_0009395
neonatal severe primary hyperparathyroidism,EFO:MONDO_0009397
hyperprolinemia type 1,EFO:MONDO_0009400
hyperprolinemia type 2,EFO:MONDO_0009401
acrofrontofacionasal dysostosis 2,EFO:MONDO_0009402
hypertelorism and tetralogy of fallot,EFO:MONDO_0009403
"hypertelorism, microtia, facial clefting syndrome",EFO:MONDO_0009404
cervical hypertrichosis-peripheral neuropathy syndrome,EFO:MONDO_0009405
hypertrichotic osteochondrodysplasia Cantu type,EFO:MONDO_0009406
obsolete_obsolete Addison disease,EFO:MONDO_0009410
autoimmune polyendocrine syndrome type 1,EFO:MONDO_0009411
"immunodeficiency, common variable, 2",EFO:MONDO_0009413
glycogen storage disorder due to hepatic glycogen synthase deficiency,EFO:MONDO_0009414
hypoinsulinemic hypoglycemia and body hemihypertrophy,EFO:MONDO_0009416
hypergonadotropic hypogonadism-cataract syndrome,EFO:MONDO_0009417
Woodhouse-Sakati syndrome,EFO:MONDO_0009419
primary hypergonadotropic hypogonadism-partial alopecia syndrome,EFO:MONDO_0009420
hypomandibular faciocranial dysostosis,EFO:MONDO_0009425
hypoparathyroidism-retardation-dysmorphism syndrome,EFO:MONDO_0009426
obsolete_obsolete infantile hypophosphatasia,EFO:MONDO_0009427
obsolete_obsolete childhood hypophosphatasia,EFO:MONDO_0009428
hereditary hypophosphatemic rickets with hypercalciuria,EFO:MONDO_0009431
"hypospadias-intellectual disability, Goldblatt type syndrome",EFO:MONDO_0009435
congenital hypothalamic hamartoma syndrome,EFO:MONDO_0009436
Bamforth-Lazarus syndrome,EFO:MONDO_0009437
"ichthyosiform erythroderma, corneal involvement, and hearing loss",EFO:MONDO_0009440
autosomal recessive congenital ichthyosis 4B,EFO:MONDO_0009443
ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,EFO:MONDO_0009444
ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,EFO:MONDO_0009445
ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,EFO:MONDO_0009446
iminoglycinuria,EFO:MONDO_0009448
Nezelof syndrome,EFO:MONDO_0009451
Vici syndrome,EFO:MONDO_0009452
immune deficiency disease,EFO:MONDO_0009453
Schimke immuno-osseous dysplasia,EFO:MONDO_0009458
"channelopathy-associated congenital insensitivity to pain, autosomal recessive",EFO:MONDO_0009459
spermatogenic failure 5,EFO:MONDO_0009461
multiple intestinal atresia,EFO:MONDO_0009465
natal teeth-intestinal pseudoobstruction-patent ductus syndrome,EFO:MONDO_0009467
benign recurrent intrahepatic cholestasis type 1,EFO:MONDO_0009469
isotretinoin-like syndrome,EFO:MONDO_0009473
isovaleric acidemia,EFO:MONDO_0009475
atresia of small intestine,EFO:MONDO_0009476
combined immunodeficiency due to DOCK8 deficiency,EFO:MONDO_0009478
Johanson-Blizzard syndrome,EFO:MONDO_0009479
Joubert syndrome with oculorenal defect,EFO:MONDO_0009480
hypogonadotropic hypogonadism 3 with or without anosmia,EFO:MONDO_0009482
Kapur-Toriello syndrome,EFO:MONDO_0009483
"oculocerebrofacial syndrome, Kaufman type",EFO:MONDO_0009485
autosomal recessive Kenny-Caffey syndrome,EFO:MONDO_0009486
"hereditary palmoplantar keratoderma, Gamborg-Nielsen type",EFO:MONDO_0009489
Papillon-Lefevre disease,EFO:MONDO_0009490
Haim-Munk syndrome,EFO:MONDO_0009491
succinyl-CoA:3-ketoacid CoA transferase deficiency,EFO:MONDO_0009492
Richards-Rundle syndrome,EFO:MONDO_0009493
Keutel syndrome,EFO:MONDO_0009495
lethal Kniest-like dysplasia,EFO:MONDO_0009498
Krabbe disease,EFO:MONDO_0009499
"kuru, susceptibility to",EFO:MONDO_0009500
metabolic myopathy due to lactate transporter defect,EFO:MONDO_0009501
pyruvate dehydrogenase E2 deficiency,EFO:MONDO_0009502
pyruvate dehydrogenase E3-binding protein deficiency,EFO:MONDO_0009503
mitochondrial DNA depletion syndrome 9,EFO:MONDO_0009504
lactic aciduria due to D-lactic acid,EFO:MONDO_0009505
specific granule deficiency,EFO:MONDO_0009506
Lambert syndrome,EFO:MONDO_0009507
"Larsen-like syndrome, B3GAT3 type",EFO:MONDO_0009511
lethal Larsen-like syndrome,EFO:MONDO_0009512
laryngo-onycho-cutaneous syndrome,EFO:MONDO_0009513
Laurence-Moon syndrome,EFO:MONDO_0009514
Norum disease,EFO:MONDO_0009515
absence deformity of leg-cataract syndrome,EFO:MONDO_0009516
Donohue syndrome,EFO:MONDO_0009517
3-hydroxy-3-methylglutaric aciduria,EFO:MONDO_0009520
Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome,EFO:MONDO_0009522
Lichtenstein syndrome,EFO:MONDO_0009523
intellectual disability-spasticity-ectrodactyly syndrome,EFO:MONDO_0009524
split hand-foot malformation 3,EFO:MONDO_0009525
chylomicron retention disease,EFO:MONDO_0009528
pyruvate dehydrogenase E3 deficiency,EFO:MONDO_0009529
lipoid proteinosis,EFO:MONDO_0009530
Miller-Dieker lissencephaly syndrome,EFO:MONDO_0009532
Dahlberg-Borer-Newcomer syndrome,EFO:MONDO_0009533
prominent glabella-microcephaly-hypogenitalism syndrome,EFO:MONDO_0009543
"macrocephaly/megalencephaly syndrome, autosomal recessive",EFO:MONDO_0009544
macrosomia-microphthalmia-cleft palate syndrome,EFO:MONDO_0009547
renal hypomagnesemia 5 with ocular involvement,EFO:MONDO_0009548
severe early-childhood-onset retinal dystrophy,EFO:MONDO_0009549
renal hypomagnesemia 3,EFO:MONDO_0009550
mal de Meleda,EFO:MONDO_0009552
malonic aciduria,EFO:MONDO_0009556
mandibuloacral dysplasia with type A lipodystrophy,EFO:MONDO_0009557
mandibulofacial dysostosis with mental deficiency,EFO:MONDO_0009559
oculotrichoanal syndrome,EFO:MONDO_0009560
alpha-mannosidosis,EFO:MONDO_0009561
beta-mannosidosis,EFO:MONDO_0009562
maple syrup urine disease,EFO:MONDO_0009563
Marden-Walker syndrome,EFO:MONDO_0009564
microcephaly-glomerulonephritis-marfanoid habitus syndrome,EFO:MONDO_0009565
marfanoid habitus-autosomal recessive intellectual disability syndrome,EFO:MONDO_0009566
Marinesco-Sjogren syndrome,EFO:MONDO_0009567
mast syndrome,EFO:MONDO_0009568
Hennekam-Beemer syndrome,EFO:MONDO_0009569
McDonough syndrome,EFO:MONDO_0009570
thiamine-responsive megaloblastic anemia syndrome,EFO:MONDO_0009575
megalocornea,EFO:MONDO_0009576
megalocornea-intellectual disability syndrome,EFO:MONDO_0009577
neurocutaneous melanocytosis,EFO:MONDO_0009578
Frank-Ter Haar syndrome,EFO:MONDO_0009579
"intellectual disability, autosomal recessive 1",EFO:MONDO_0009580
intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome,EFO:MONDO_0009581
Mietens syndrome,EFO:MONDO_0009582
"blepharophimosis - intellectual disability syndrome, Ohdo type",EFO:MONDO_0009583
"intellectual disability, Buenos-Aires type",EFO:MONDO_0009584
encephalopathy due to beta-mercaptolactate-cysteine disulfiduria,EFO:MONDO_0009585
Langer mesomelic dysplasia,EFO:MONDO_0009588
mesomelic dwarfism-cleft palate-camptodactyly syndrome,EFO:MONDO_0009589
"metachromatic leukodystrophy, juvenile form",EFO:MONDO_0009591
metaphyseal acroscyphodysplasia,EFO:MONDO_0009592
"spondylometaphyseal dysplasia, Sedaghatian type",EFO:MONDO_0009593
"metaphyseal chondrodysplasia, Kaitila type",EFO:MONDO_0009594
cartilage-hair hypoplasia,EFO:MONDO_0009595
"metaphyseal chondrodysplasia, Spahr type",EFO:MONDO_0009597
metaphyseal chondrodysplasia-retinitis pigmentosa syndrome,EFO:MONDO_0009598
metaphyseal dysostosis-intellectual disability-conductive deafness syndrome,EFO:MONDO_0009599
metaphyseal dysplasia without hypotrichosis,EFO:MONDO_0009601
3-hydroxyisobutyryl-CoA hydrolase deficiency,EFO:MONDO_0009603
methionine adenosyltransferase deficiency,EFO:MONDO_0009607
methylcobalamin deficiency type cblG,EFO:MONDO_0009609
3-methylglutaconic aciduria type 1,EFO:MONDO_0009610
3-methylglutaconic aciduria type 4,EFO:MONDO_0009611
methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,EFO:MONDO_0009612
"methylmalonic aciduria, cblA type",EFO:MONDO_0009613
"methylmalonic aciduria, cblB type",EFO:MONDO_0009614
methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,EFO:MONDO_0009615
"microcephalic primordial dwarfism, Toriello type",EFO:MONDO_0009616
"microcephaly 1, primary, autosomal recessive",EFO:MONDO_0009617
microcephaly-cardiomyopathy syndrome,EFO:MONDO_0009618
microcephaly-micromelia syndrome,EFO:MONDO_0009619
Say-Barber-Miller syndrome,EFO:MONDO_0009620
microcephaly-cervical spine fusion anomalies syndrome,EFO:MONDO_0009621
Jawad syndrome,EFO:MONDO_0009622
Nijmegen breakage syndrome,EFO:MONDO_0009623
microcephaly and chorioretinopathy 1,EFO:MONDO_0009624
pseudo-TORCH syndrome,EFO:MONDO_0009626
Galloway-Mowat syndrome,EFO:MONDO_0009627
"microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma",EFO:MONDO_0009633
microvillus inclusion disease,EFO:MONDO_0009635
mitochondrial DNA depletion syndrome 3 (hepatocerebral type),EFO:MONDO_0009636
inborn mitochondrial myopathy,EFO:MONDO_0009637
obsolete_obsolete mitochondrial complex II deficiency,EFO:MONDO_0009641
orofaciodigital syndrome type II,EFO:MONDO_0009642
sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,EFO:MONDO_0009643
sulfite oxidase deficiency due to molybdenum cofactor deficiency type B,EFO:MONDO_0009644
monosomy 7 myelodysplasia and leukemia syndrome 1,EFO:MONDO_0009646
mucolipidosis type II,EFO:MONDO_0009650
GNPTG-mucolipidosis,EFO:MONDO_0009652
mucolipidosis type IV,EFO:MONDO_0009653
mucopolysaccharidosis type 3A,EFO:MONDO_0009655
mucopolysaccharidosis type 3B,EFO:MONDO_0009656
mucopolysaccharidosis type 3C,EFO:MONDO_0009657
mucopolysaccharidosis type 3D,EFO:MONDO_0009658
mucopolysaccharidosis type 4A,EFO:MONDO_0009659
mucopolysaccharidosis type 4B,EFO:MONDO_0009660
mucopolysaccharidosis type 6,EFO:MONDO_0009661
mucopolysaccharidosis type 7,EFO:MONDO_0009662
mulibrey nanism,EFO:MONDO_0009664
biotinidase deficiency,EFO:MONDO_0009665
holocarboxylase synthetase deficiency,EFO:MONDO_0009666
"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A3",EFO:MONDO_0009667
lethal multiple pterygium syndrome,EFO:MONDO_0009668
"spinal muscular atrophy, type 1",EFO:MONDO_0009669
lethal congenital contracture syndrome 1,EFO:MONDO_0009670
intellectual disability-myopathy-short stature-endocrine defect syndrome,EFO:MONDO_0009671
"spinal muscular atrophy, type III",EFO:MONDO_0009672
"spinal muscular atrophy, type II",EFO:MONDO_0009673
autosomal recessive limb-girdle muscular dystrophy type 2A,EFO:MONDO_0009675
autosomal recessive limb-girdle muscular dystrophy type 2B,EFO:MONDO_0009676
autosomal recessive limb-girdle muscular dystrophy type 2C,EFO:MONDO_0009677
"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4",EFO:MONDO_0009678
arthrogryposis due to muscular dystrophy,EFO:MONDO_0009679
congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,EFO:MONDO_0009680
autosomal recessive limb-girdle muscular dystrophy type 2H,EFO:MONDO_0009683
Miyoshi myopathy,EFO:MONDO_0009685
myeloperoxidase deficiency,EFO:MONDO_0009694
juvenile myoclonic epilepsy,EFO:MONDO_0009696
Lafora disease,EFO:MONDO_0009697
Unverricht-Lundborg syndrome,EFO:MONDO_0009698
action myoclonus-renal failure syndrome,EFO:MONDO_0009699
obsolete_obsolete Carey-Fineman-Ziter syndrome,EFO:MONDO_0009700
myopathy with abnormal lipid metabolism,EFO:MONDO_0009703
"carnitine palmitoyl transferase II deficiency, myopathic form",EFO:MONDO_0009704
carnitine palmitoyl transferase 1A deficiency,EFO:MONDO_0009705
hereditary myopathy with lactic acidosis due to ISCU deficiency,EFO:MONDO_0009706
"myopathy, centronuclear, 2",EFO:MONDO_0009709
Thomsen and Becker disease,EFO:MONDO_0009710
congenital fiber-type disproportion myopathy,EFO:MONDO_0009711
congenital multicore myopathy with external ophthalmoplegia,EFO:MONDO_0009712
myosclerosis,EFO:MONDO_0009714
Richieri Costa-da Silva syndrome,EFO:MONDO_0009716
Schwartz-Jampel syndrome,EFO:MONDO_0009717
familial atrial myxoma,EFO:MONDO_0009719
Keipert syndrome,EFO:MONDO_0009720
Nathalie syndrome,EFO:MONDO_0009721
Bailey-Bloch congenital myopathy,EFO:MONDO_0009722
Leigh syndrome,EFO:MONDO_0009723
nail-patella-like renal disease,EFO:MONDO_0009724
proteosome-associated autoinflammatory syndrome,EFO:MONDO_0009726
atelosteogenesis type II,EFO:MONDO_0009727
nephronophthisis 1,EFO:MONDO_0009728
nephropathy - deafness - hyperparathyroidism syndrome,EFO:MONDO_0009729
nephrosis-deafness-urinary tract-digital malformations syndrome,EFO:MONDO_0009731
"congenital nephrotic syndrome, Finnish type",EFO:MONDO_0009732
"hyperinsulinemic hypoglycemia, familial, 1",EFO:MONDO_0009734
Netherton syndrome,EFO:MONDO_0009735
galactosialidosis,EFO:MONDO_0009737
sialidosis type 2,EFO:MONDO_0009738
obsolete_obsolete infantile neuroaxonal dystrophy,EFO:MONDO_0009739
neurofaciodigitorenal syndrome,EFO:MONDO_0009740
neuroectodermal melanolysosomal disease,EFO:MONDO_0009742
neuronal ceroid lipofuscinosis 1,EFO:MONDO_0009744
neuronal ceroid lipofuscinosis 5,EFO:MONDO_0009745
hereditary sensory and autonomic neuropathy type 4,EFO:MONDO_0009746
mitochondrial DNA depletion syndrome 6 (hepatocerebral type),EFO:MONDO_0009747
hereditary sensory and autonomic neuropathy with spastic paraplegia,EFO:MONDO_0009748
Niemann-Pick disease type A,EFO:MONDO_0009756
Norman-Roberts syndrome,EFO:MONDO_0009760
"nystagmus, congenital, autosomal recessive",EFO:MONDO_0009762
"ocular motor apraxia, Cogan type",EFO:MONDO_0009764
"oculocerebral hypopigmentation syndrome, Cross type",EFO:MONDO_0009767
oculo-palato-cerebral syndrome,EFO:MONDO_0009769
oculotrichodysplasia,EFO:MONDO_0009771
odonto-onycho-dermal dysplasia,EFO:MONDO_0009773
cloacal exstrophy,EFO:MONDO_0009774
spermatogenic failure 1,EFO:MONDO_0009776
Oliver syndrome,EFO:MONDO_0009777
autosomal recessive omodysplasia,EFO:MONDO_0009779
lethal omphalocele-cleft palate syndrome,EFO:MONDO_0009780
opsismodysplasia,EFO:MONDO_0009785
optic atrophy 6,EFO:MONDO_0009786
3-methylglutaconic aciduria type 3,EFO:MONDO_0009787
ichthyosis-oral and digital anomalies syndrome,EFO:MONDO_0009792
orofaciodigital syndrome III,EFO:MONDO_0009793
orofaciodigital syndrome IV,EFO:MONDO_0009794
orofaciodigital syndrome IX,EFO:MONDO_0009795
ornithine aminotransferase deficiency,EFO:MONDO_0009796
orotic aciduria,EFO:MONDO_0009797
Primrose syndrome,EFO:MONDO_0009798
"familial osteodysplasia, Anderson type",EFO:MONDO_0009801
congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,EFO:MONDO_0009803
osteogenesis imperfecta type 3,EFO:MONDO_0009804
autosomal recessive distal osteolysis syndrome,EFO:MONDO_0009810
osteopenia-intellectual disability-sparse hair syndrome,EFO:MONDO_0009814
autosomal recessive osteopetrosis 1,EFO:MONDO_0009815
autosomal recessive osteopetrosis 2,EFO:MONDO_0009816
autosomal recessive osteopetrosis 3,EFO:MONDO_0009818
